date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 7",boxscore,ARI,None,COL,W,9,5,None,1-1,3, 0.5,Webb,Jennings,Mantei,3:01,N,"25,918",+,None
"Thursday, Apr 8",boxscore,ARI,None,COL,W-wo,6,5,11,2-1,1, Tied,Randolph,Chacon,None,3:14,N,"26,448",++,None
"Friday, Apr 9",boxscore,ARI,None,STL,L,6,13,None,2-2,2, 1.0,Carpenter,Daigle,None,2:41,N,"35,930",-,None
"Saturday, Apr 10",boxscore,ARI,None,STL,L,2,10,None,2-3,3, 2.0,Morris,Sparks,None,2:12,N,"38,842",--,None
"Sunday, Apr 11",boxscore,ARI,None,STL,L,5,6,None,2-4,4, 2.0,Lincoln,Mantei,Isringhausen,3:05,D,"32,072",---,None
"Monday, Apr 12",boxscore,ARI,@,COL,L,4,7,None,2-5,5, 2.5,Nunez,Koplove,Chacon,3:03,D,"48,013",----,None
"Wednesday, Apr 14",boxscore,ARI,@,COL,L,4,14,None,2-6,5, 3.0,Kennedy,Dessens,None,2:34,N,"23,128",-----,None
"Thursday, Apr 15",boxscore,ARI,@,COL,W,11,10,None,3-6,5, 3.0,Koplove,Elarton,Mantei,3:10,D,"22,320",+,None
"Friday, Apr 16",boxscore,ARI,@,SDP,W,5,0,None,4-6,3, 3.0,Johnson,Peavy,None,2:30,N,"37,300",++,None
"Saturday, Apr 17",boxscore,ARI,@,SDP,L,2,3,None,4-7,4, 4.0,Valdez,Webb,Hoffman,2:26,N,"42,261",-,None
"Sunday, Apr 18",boxscore,ARI,@,SDP,L-wo,5,6,None,4-8,5, 5.0,Oropesa,Mantei,None,3:04,D,"41,730",--,None
"Tuesday, Apr 20",boxscore,ARI,@,MIL,L,2,4,None,4-9,5, 5.0,Sheets,Dessens,Kolb,2:40,N,"10,244",---,None
"Wednesday, Apr 21",boxscore,ARI,@,MIL,L,6,10,None,4-10,5, 6.0,Ford,Johnson,None,2:57,N,"11,223",----,None
"Thursday, Apr 22",boxscore,ARI,@,MIL,W,11,9,15,5-10,5, 5.0,Sparks,Hernandez,None,5:22,D,"13,879",+,None
