"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Apr 1","boxscore","ARI","None","COL","L",0,6,"None","0-2",5,"Thomson","Blair","None","2:46","N",43758,"--","None",1998,-2,-6,0,6,-6,0,1,-1,0,43758
"Thursday, Apr 2","boxscore","ARI","None","COL","L",4,6,"None","0-3",5,"Astacio","Anderson","Dipoto","2:53","N",42876,"---","None",1998,-3,-2,4,12,-8,0,2,-2,0,86634
"Friday, Apr 3","boxscore","ARI","None","SFG","L",3,8,"None","0-4",5,"Gardner","Suppan","None","2:43","N",45590,"----","None",1998,-3,-5,7,20,-13,0,3,-3,0,132224
"Saturday, Apr 4","boxscore","ARI","None","SFG","L",3,5,"None","0-5",5,"Darwin","Olson","Nen","2:51","D",47047,"-----","None",1998,-4,-2,10,25,-15,0,4,-4,0,179271
"Sunday, Apr 5","boxscore","ARI","None","SFG","W",3,2,"None","1-5",5,"Benes","Estes","Rodriguez","2:33","N",47593,"+","None",1998,-3,1,13,27,-14,1,4,-3,0.2,226864
"Tuesday, Apr 7","boxscore","ARI","@","LAD","L",1,9,"None","1-6",5,"Park","Blair","None","2:48","D",52424,"-","None",1998,-4,-8,14,36,-22,1,5,-4,0.166666666666667,279288
"Wednesday, Apr 8","boxscore","ARI","@","LAD","W",3,0,"None","2-6",5,"Anderson","Nomo","Rodriguez","2:16","N",37016,"+","None",1998,-4,3,17,36,-19,2,5,-3,0.285714285714286,316304
"Thursday, Apr 9","boxscore","ARI","@","LAD","L",2,7,"None","2-7",5,"Valdez","Suppan","None","2:38","N",39541,"-","None",1998,-5,-5,19,43,-24,2,6,-4,0.25,355845
"Friday, Apr 10","boxscore","ARI","@","SDP","L-wo",4,6,"None","2-8",5,"Miceli","Rodriguez","None","2:19","N",27243,"--","None",1998,-6,-2,23,49,-26,2,7,-5,0.222222222222222,383088
"Saturday, Apr 11","boxscore","ARI","@","SDP","L",0,7,"None","2-9",5,"Smith","Adamson","None","2:19","N",37753,"---","None",1998,-7,-7,23,56,-33,2,8,-6,0.2,420841
"Sunday, Apr 12","boxscore","ARI","@","SDP","L",2,4,"None","2-10",5,"Hamilton","Blair","Hoffman","2:03","D",26217,"----","None",1998,-8,-2,25,60,-35,2,9,-7,0.181818181818182,447058
"Monday, Apr 13","boxscore","ARI","@","SDP","L",0,1,"None","2-11",5,"Ashby","Anderson","None","1:59","D",36278,"-----","None",1998,-9,-1,25,61,-36,2,10,-8,0.166666666666667,483336
"Tuesday, Apr 14","boxscore","ARI","@","STL","L",5,15,"None","2-12",5,"Busby","Sodowsky","None","2:51","N",31477,"------","None",1998,-9,-10,30,76,-46,2,11,-9,0.153846153846154,514813
"Thursday, Apr 16","boxscore","ARI","@","STL","L",4,5,"None","2-13",5,"Stottlemyre","Adamson","Brantley","2:30","D",NA,"-------","None",1998,-9.5,-1,34,81,-47,2,12,-10,0.142857142857143,NA
"Thursday, Apr 16","boxscore","ARI","@","STL","W",8,2,"None","3-13",5,"Benes","Osborne","None","2:30","D",32039,"+","1998-04-15 (Rain)",1998,-9.5,6,42,83,-41,3,12,-9,0.2,NA
"Friday, Apr 17","boxscore","ARI","None","FLA","W",7,5,"None","4-13",5,"Springer","Darensbourg","Rodriguez","3:05","N",47401,"++","None",1998,-9.5,2,49,88,-39,4,12,-8,0.25,NA
"Saturday, Apr 18","boxscore","ARI","None","FLA","W",7,5,"None","5-13",5,"Manuel","Alfonseca","Rodriguez","2:27","D",46910,"+++","None",1998,-9.5,2,56,93,-37,5,12,-7,0.294117647058824,NA
"Sunday, Apr 19","boxscore","ARI","None","FLA","L",3,4,"None","5-14",5,"Meadows","Suppan","Stanifer","2:33","N",47339,"-","None",1998,-10,-1,59,97,-38,5,13,-8,0.277777777777778,NA
"Monday, Apr 20","boxscore","ARI","None","FLA","W",15,4,"None","6-14",5,"Sodowsky","Hernandez","None","3:27","N",45256,"+","None",1998,-9.5,11,74,101,-27,6,13,-7,0.315789473684211,NA
"Wednesday, Apr 22","boxscore","ARI","@","ATL","L",2,5,"None","6-15",5,"Smoltz","Benes","None","2:37","N",30952,"-","None",1998,-10,-3,76,106,-30,6,14,-8,0.3,NA
"Thursday, Apr 23","boxscore","ARI","@","ATL","L",1,3,"None","6-16",5,"Glavine","Blair","Wohlers","2:27","N",33013,"--","None",1998,-11,-2,77,109,-32,6,15,-9,0.285714285714286,NA
"Friday, Apr 24","boxscore","ARI","@","ATL","L-wo",5,6,"None","6-17",5,"Ligtenberg","Springer","None","2:54","N",41514,"---","None",1998,-11,-1,82,115,-33,6,16,-10,0.272727272727273,NA
"Saturday, Apr 25","boxscore","ARI","@","FLA","W",4,3,"11","7-17",5,"Brow","Darensbourg","Rodriguez","3:26","N",28710,"+","None",1998,-11,1,86,118,-32,7,16,-9,0.304347826086957,NA
"Sunday, Apr 26","boxscore","ARI","@","FLA","L",6,12,"None","7-18",5,"Ludwick","Adamson","None","3:00","D",24782,"-","None",1998,-11,-6,92,130,-38,7,17,-10,0.291666666666667,NA
"Monday, Apr 27","boxscore","ARI","None","ATL","L",5,6,"None","7-19",5,"Cather","Daal","Wohlers","2:59","N",47410,"--","1998-04-29 (Schedule change)",1998,-11,-1,97,136,-39,7,18,-11,0.28,NA
"Tuesday, Apr 28","boxscore","ARI","None","ATL","L",2,12,"None","7-20",5,"Glavine","Blair","None","2:54","N",47593,"---","None",1998,-12,-10,99,148,-49,7,19,-12,0.269230769230769,NA
"Friday, May 1","boxscore","ARI","@","MON","L",4,7,"None","7-21",5,"Vazquez","Anderson","Urbina","2:29","N",6952,"----","None",1998,-12.5,-3,103,155,-52,7,20,-13,0.259259259259259,NA
"Saturday, May 2","boxscore","ARI","@","MON","L-wo",4,5,"12","7-22",5,"Bennett","Springer","None","3:29","N",8026,"-----","None",1998,-13.5,-1,107,160,-53,7,21,-14,0.25,NA
"Sunday, May 3","boxscore","ARI","@","MON","L",1,4,"None","7-23",5,"Hermanson","Blair","None","2:24","D",10467,"------","None",1998,-13.5,-3,108,164,-56,7,22,-15,0.241379310344828,NA
"Monday, May 4","boxscore","ARI","@","NYM","W",4,2,"11","8-23",5,"Olson","Bohanon","None","3:52","N",18980,"+","None",1998,-13.5,2,112,166,-54,8,22,-14,0.266666666666667,NA
