date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Tuesday, Apr 3",boxscore,ATL,None,NYM,L,4,6,10,1-1,4, 1.0,Cook,Ligtenberg,Benitez,3:17,D,"42,117",-,None
"Wednesday, Apr 4",boxscore,ATL,None,NYM,W-wo,3,2,None,2-1,3, 1.0,Rocker,Wall,None,3:18,N,"27,924",+,None
"Thursday, Apr 5",boxscore,ATL,None,NYM,L,1,7,None,2-2,4, 1.5,Reed,Perez,None,2:53,N,"34,219",-,None
"Friday, Apr 6",boxscore,ATL,@,FLA,W,7,5,None,3-2,3, 0.5,Maddux,Grilli,Rocker,2:53,N,"15,857",+,None
"Saturday, Apr 7",boxscore,ATL,@,FLA,L,0,8,None,3-3,3, 1.5,Dempster,Burkett,None,2:46,N,"27,224",-,None
"Sunday, Apr 8",boxscore,ATL,@,FLA,L,1,6,None,3-4,3, 2.5,Clement,Glavine,None,2:24,D,"20,880",--,None
"Monday, Apr 9",boxscore,ATL,@,NYM,L,4,9,None,3-5,4, 3.5,Appier,Millwood,None,3:03,D,"53,640",---,None
"Wednesday, Apr 11",boxscore,ATL,@,NYM,W,2,0,None,4-5,3, 2.5,Maddux,Reed,Rocker,2:04,N,"36,048",+,None
"Thursday, Apr 12",boxscore,ATL,@,NYM,L-wo,0,1,10,4-6,4, 3.0,Benitez,Ligtenberg,None,2:52,N,"27,694",-,None
"Friday, Apr 13",boxscore,ATL,None,PHI,W,4,2,None,5-6,3, 2.0,Glavine,Wolf,Rocker,2:50,N,"31,017",+,None
"Saturday, Apr 14",boxscore,ATL,None,PHI,L,1,2,None,5-7,3, 3.0,Daal,Millwood,Mesa,2:44,N,"35,979",-,None
"Sunday, Apr 15",boxscore,ATL,None,PHI,W,3,0,None,6-7,3, 2.0,Perez,Person,Rocker,2:30,D,"24,472",+,None
"Monday, Apr 16",boxscore,ATL,None,FLA,W-wo,4,3,None,7-7,3, 1.5,Rocker,Miceli,None,2:30,N,"24,015",++,None
"Tuesday, Apr 17",boxscore,ATL,None,FLA,L,2,3,None,7-8,3, 2.5,Nunez,Burkett,Alfonseca,2:50,N,"27,522",-,None
"Wednesday, Apr 18",boxscore,ATL,None,FLA,W,1,0,None,8-8,3, 1.0,Glavine,Dempster,Rocker,2:33,D,"30,233",+,None
"Friday, Apr 20",boxscore,ATL,@,PHI,L,3,8,None,8-9,2, 2.0,Gomes,Perez,None,2:53,N,"16,245",-,None
"Saturday, Apr 21",boxscore,ATL,@,PHI,L,1,4,None,8-10,3, 3.0,Person,Maddux,None,2:40,N,"17,123",--,None
"Sunday, Apr 22",boxscore,ATL,@,PHI,L,2,3,None,8-11,5, 4.0,Telemaco,Burkett,Gomes,2:22,D,"26,756",---,None
"Monday, Apr 23",boxscore,ATL,@,HOU,W,9,7,None,9-11,3, 4.0,Glavine,Dotel,None,3:30,N,"29,122",+,None
"Tuesday, Apr 24",boxscore,ATL,@,HOU,L,6,11,None,9-12,3, 5.0,Reynolds,Perez,Bottenfield,2:45,N,"29,216",-,None
"Wednesday, Apr 25",boxscore,ATL,@,HOU,W,11,3,None,10-12,2, 5.0,Millwood,Elarton,None,3:01,N,"31,223",+,None
"Thursday, Apr 26",boxscore,ATL,@,ARI,L,6,13,None,10-13,3, 5.0,Ellis,Maddux,None,2:37,N,"27,362",-,None
"Friday, Apr 27",boxscore,ATL,@,ARI,W,9,0,None,11-13,3, 4.0,Burkett,Reynoso,None,2:21,N,"32,663",+,None
