"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Apr 13","boxscore","ATL","None","PIT","L",0,6,"None","0-2",9,"Law","Johnson","None","2:04","N",12721,"--","None",1966,-2,-6,0,6,-6,0,1,-1,0,12721
"Friday, Apr 15","boxscore","ATL","@","NYM","W",3,2,"None","1-2",6,"Lemaster","Fisher","O'Dell","2:20","D",52812,"+","None",1966,-2,1,3,8,-5,1,1,0,0.5,65533
"Saturday, Apr 16","boxscore","ATL","@","NYM","L",1,3,"None","1-3",8,"Hamilton","Fischer","None","2:30","D",22471,"-","None",1966,-2.5,-2,4,11,-7,1,2,-1,0.333333333333333,88004
"Sunday, Apr 17","boxscore","ATL","@","NYM","L-wo",4,5,"None","1-4",8,"Bearnarth","O'Dell","None","3:13","D",26965,"--","None",1966,-3.5,-1,8,16,-8,1,3,-2,0.25,114969
"Tuesday, Apr 19","boxscore","ATL","@","PHI","W",3,1,"None","2-4",6,"Carroll","Bunning","None","2:31","N",7476,"+","None",1966,-3.5,2,11,17,-6,2,3,-1,0.4,122445
"Wednesday, Apr 20","boxscore","ATL","@","PHI","W",8,1,"None","3-4",6,"Johnson","Culp","None","2:39","N",6855,"++","None",1966,-3.5,7,19,18,1,3,3,0,0.5,129300
"Thursday, Apr 21","boxscore","ATL","@","PHI","W",5,4,"None","4-4",4,"Niekro","Short","None","2:52","N",5744,"+++","None",1966,-3.5,1,24,22,2,4,3,1,0.571428571428571,135044
"Friday, Apr 22","boxscore","ATL","None","NYM","W",8,4,"None","5-4",4,"Cloninger","Hamilton","O'Dell","3:09","N",15665,"++++","None",1966,-2.5,4,32,26,6,5,3,2,0.625,150709
"Saturday, Apr 23","boxscore","ATL","None","NYM","W",5,4,"None","6-4",4,"Fischer","Selma","Olivo","2:44","D",19539,"+++++","None",1966,-2.5,1,37,30,7,6,3,3,0.666666666666667,170248
"Sunday, Apr 24","boxscore","ATL","None","NYM","W",5,2,"None","7-4",3,"Blasingame","Fisher","O'Dell","2:53","D",NA,"++++++","None",1966,-2,3,42,32,10,7,3,4,0.7,NA
"Sunday, Apr 24","boxscore","ATL","None","NYM","L",3,4,"None","7-5",3,"McGraw","Lemaster","Richardson","2:31","D",40477,"-","None",1966,-2,-1,45,36,9,7,4,3,0.636363636363636,NA
"Monday, Apr 25","boxscore","ATL","@","SFG","W",5,0,"None","8-5",3,"Johnson","Shaw","None","2:20","D",8259,"+","None",1966,-1,5,50,36,14,8,4,4,0.666666666666667,NA
"Tuesday, Apr 26","boxscore","ATL","@","SFG","W",11,3,"None","9-5",2,"Cloninger","Bolin","Carroll","2:34","N",14069,"++","None",1966,-0.5,8,61,39,22,9,4,5,0.692307692307692,NA
"Wednesday, Apr 27","boxscore","ATL","@","LAD","L",1,4,"None","9-6",2,"Sutton","Hippauf","None","2:23","N",19328,"-","None",1966,-1,-3,62,43,19,9,5,4,0.642857142857143,NA
"Thursday, Apr 28","boxscore","ATL","@","LAD","L",2,8,"None","9-7",4,"Drysdale","Blasingame","None","2:25","N",18225,"--","None",1966,-2,-6,64,51,13,9,6,3,0.6,NA
"Friday, Apr 29","boxscore","ATL","None","HOU","W-wo",4,3,"None","10-7",3,"O'Dell","Sembera","None","2:51","N",14405,"+","None",1966,-1,1,68,54,14,10,6,4,0.625,NA
"Saturday, Apr 30","boxscore","ATL","None","HOU","L",4,5,"None","10-8",5,"Owens","Niekro","None","2:40","N",18891,"-","None",1966,-1.5,-1,72,59,13,10,7,3,0.588235294117647,NA
"Sunday, May 1","boxscore","ATL","None","HOU","L",1,7,"None","10-9",5,"Cuellar","Cloninger","None","2:17","D",16216,"--","None",1966,-2.5,-6,73,66,7,10,8,2,0.555555555555556,NA
"Tuesday, May 3","boxscore","ATL","None","PHI","W-wo",9,8,"10","11-9",4,"Niekro","Herbert","None","3:42","N",10485,"+","None",1966,-2.5,1,82,74,8,11,8,3,0.578947368421053,NA
"Wednesday, May 4","boxscore","ATL","None","PHI","L",1,2,"None","11-10",6,"Short","Johnson","None","2:22","N",11588,"-","None",1966,-3.5,-1,83,76,7,11,9,2,0.55,NA
"Thursday, May 5","boxscore","ATL","None","PHI","W",4,3,"None","12-10",4,"Olivo","Wagner","O'Dell","2:54","N",11236,"+","None",1966,-3,1,87,79,8,12,9,3,0.571428571428571,NA
"Friday, May 6","boxscore","ATL","@","HOU","W",6,0,"None","13-10",3,"Lemaster","Latman","None","2:41","N",22948,"++","None",1966,-3,6,93,79,14,13,9,4,0.590909090909091,NA
"Saturday, May 7","boxscore","ATL","@","HOU","L",0,3,"None","13-11",5,"Dierker","Blasingame","Raymond","2:27","N",28809,"-","None",1966,-4,-3,93,82,11,13,10,3,0.565217391304348,NA
"Sunday, May 8","boxscore","ATL","@","HOU","L-wo",4,5,"None","13-12",5,"Owens","Niekro","None","2:22","D",23304,"--","None",1966,-5,-1,97,87,10,13,11,2,0.541666666666667,NA
"Monday, May 9","boxscore","ATL","None","CIN","L",4,7,"None","13-13",6,"Jay","Cloninger","McCool","2:55","N",9718,"---","None",1966,-5.5,-3,101,94,7,13,12,1,0.52,NA
"Tuesday, May 10","boxscore","ATL","None","CIN","L",2,8,"None","13-14",7,"Maloney","Lemaster","Nottebart","2:25","N",NA,"----","None",1966,-7,-6,103,102,1,13,13,0,0.5,NA
"Tuesday, May 10","boxscore","ATL","None","CIN","L",0,8,"None","13-15",7,"Pappas","Fischer","None","2:24","N",14119,"-----","None",1966,-7,-8,103,110,-7,13,14,-1,0.481481481481481,NA
"Wednesday, May 11","boxscore","ATL","None","CIN","W",8,1,"None","14-15",6,"Cloninger","Ellis","Olivo","2:20","N",8140,"+","None",1966,-7,7,111,111,0,14,14,0,0.5,NA
"Thursday, May 12","boxscore","ATL","@","STL","L-wo",3,4,"12","14-16",6,"Dennis","Niekro","None","3:28","N",46048,"-","None",1966,-8,-1,114,115,-1,14,15,-1,0.482758620689655,NA
"Friday, May 13","boxscore","ATL","@","STL","L",0,8,"None","14-17",6,"Jackson","Johnson","None","2:25","N",14165,"--","None",1966,-9,-8,114,123,-9,14,16,-2,0.466666666666667,NA
"Saturday, May 14","boxscore","ATL","@","STL","W",3,0,"None","15-17",6,"Lemaster","Gibson","None","2:12","N",25272,"+","None",1966,-8,3,117,123,-6,15,16,-1,0.483870967741935,NA
"Sunday, May 15","boxscore","ATL","@","STL","L",3,5,"None","15-18",7,"Mahaffey","Cloninger","Briles","2:35","D",25802,"-","None",1966,-8,-2,120,128,-8,15,17,-2,0.46875,NA
"Tuesday, May 17","boxscore","ATL","@","PIT","L",2,5,"None","15-19",8,"Veale","Blasingame","Face","2:29","N",7938,"--","None",1966,-8,-3,122,133,-11,15,18,-3,0.454545454545455,NA
"Wednesday, May 18","boxscore","ATL","@","PIT","W",4,2,"None","16-19",7,"Johnson","Law","None","2:32","N",7642,"+","None",1966,-8,2,126,135,-9,16,18,-2,0.470588235294118,NA
"Friday, May 20","boxscore","ATL","None","CHC","W",12,2,"None","17-19",7,"Lemaster","Holtzman","None","2:23","N",16001,"++","None",1966,-6.5,10,138,137,1,17,18,-1,0.485714285714286,NA
"Saturday, May 21","boxscore","ATL","None","CHC","L",6,7,"10","17-20",7,"Hands","Olivo","None","3:02","D",11675,"-","None",1966,-7.5,-1,144,144,0,17,19,-2,0.472222222222222,NA
"Sunday, May 22","boxscore","ATL","None","CHC","W",5,2,"None","18-20",7,"Blasingame","Ellsworth","Olivo","2:50","D",NA,"+","None",1966,-7.5,3,149,146,3,18,19,-1,0.486486486486487,NA
"Sunday, May 22","boxscore","ATL","None","CHC","L",3,4,"None","18-21",7,"Abernathy","Johnson","Jenkins","2:34","D",23442,"-","None",1966,-7.5,-1,152,150,2,18,20,-2,0.473684210526316,NA
"Monday, May 23","boxscore","ATL","@","CIN","W",6,4,"None","19-21",7,"Fischer","Ellis","O'Dell","2:55","N",5482,"+","None",1966,-7,2,158,154,4,19,20,-1,0.487179487179487,NA
"Tuesday, May 24","boxscore","ATL","@","CIN","L",2,8,"None","19-22",7,"Jay","Lemaster","McCool","2:31","N",5510,"-","None",1966,-8,-6,160,162,-2,19,21,-2,0.475,NA
"Wednesday, May 25","boxscore","ATL","@","CIN","L",2,6,"None","19-23",7,"Pappas","Cloninger","None","2:39","N",6909,"--","None",1966,-8,-4,162,168,-6,19,22,-3,0.463414634146341,NA
"Friday, May 27","boxscore","ATL","@","CHC","W",5,3,"None","20-23",7,"Blasingame","Broglio","O'Dell","2:44","D",3242,"+","None",1966,-7.5,2,167,171,-4,20,22,-2,0.476190476190476,NA
"Saturday, May 28","boxscore","ATL","@","CHC","L-wo",5,8,"12","20-24",7,"Hendley","Abernathy","None","4:25","D",8882,"-","None",1966,-7.5,-3,172,179,-7,20,23,-3,0.465116279069767,NA
"Sunday, May 29","boxscore","ATL","@","CHC","L-wo",2,3,"10","20-25",8,"Estrada","O'Dell","None","2:55","D",16039,"--","None",1966,-8.5,-1,174,182,-8,20,24,-4,0.454545454545455,NA
"Monday, May 30","boxscore","ATL","None","LAD","L",6,10,"None","20-26",8,"Drysdale","Cloninger","None","2:32","N",40702,"---","None",1966,-9.5,-4,180,192,-12,20,25,-5,0.444444444444444,NA
"Tuesday, May 31","boxscore","ATL","None","LAD","L",2,6,"None","20-27",8,"Osteen","Blasingame","Regan","2:50","N",26974,"----","None",1966,-10.5,-4,182,198,-16,20,26,-6,0.434782608695652,NA
"Wednesday, Jun 1","boxscore","ATL","None","SFG","L",3,4,"None","20-28",8,"Herbel","Johnson","McDaniel","2:22","N",26951,"-----","None",1966,-11.5,-1,185,202,-17,20,27,-7,0.425531914893617,NA
"Thursday, Jun 2","boxscore","ATL","None","SFG","L",0,5,"None","20-29",8,"Bolin","Lemaster","None","2:18","N",29467,"------","None",1966,-12.5,-5,185,207,-22,20,28,-8,0.416666666666667,NA
"Friday, Jun 3","boxscore","ATL","None","STL","L",2,3,"None","20-30",9,"Gibson","Fischer","Hoerner","2:14","N",12349,"-------","None",1966,-12.5,-1,187,210,-23,20,29,-9,0.408163265306122,NA
"Saturday, Jun 4","boxscore","ATL","None","STL","W-wo",2,1,"None","21-30",8,"Abernathy","Simmons","None","2:14","D",11027,"+","None",1966,-11,1,189,211,-22,21,29,-8,0.42,NA
"Saturday, Jun 4","boxscore","ATL","None","STL","W",4,1,"None","22-30",8,"Cloninger","Stallard","None","2:26","N",18969,"++","None",1966,-11,3,193,212,-19,22,29,-7,0.431372549019608,NA
"Sunday, Jun 5","boxscore","ATL","None","STL","W",14,4,"None","23-30",8,"O'Dell","Jackson","None","2:59","D",18942,"+++","None",1966,-11,10,207,216,-9,23,29,-6,0.442307692307692,NA
"Tuesday, Jun 7","boxscore","ATL","@","NYM","W",11,6,"None","24-30",7,"Carroll","Selma","Abernathy","2:59","D",14513,"++++","None",1966,-9.5,5,218,222,-4,24,29,-5,0.452830188679245,NA
"Wednesday, Jun 8","boxscore","ATL","@","NYM","W",7,6,"None","25-30",6,"Carroll","Fisher","Abernathy","3:02","N",16901,"+++++","None",1966,-8.5,1,225,228,-3,25,29,-4,0.462962962962963,NA
"Thursday, Jun 9","boxscore","ATL","@","NYM","W",8,4,"None","26-30",6,"Cloninger","Hamilton","None","2:52","N",13356,"++++++","None",1966,-8.5,4,233,232,1,26,29,-3,0.472727272727273,NA
"Friday, Jun 10","boxscore","ATL","@","PIT","W",8,2,"None","27-30",6,"Johnson","Veale","Olivo","2:30","N",15177,"+++++++","None",1966,-7.5,6,241,234,7,27,29,-2,0.482142857142857,NA
"Saturday, Jun 11","boxscore","ATL","@","PIT","L",3,5,"None","27-31",7,"Blass","Umbach","Face","2:36","D",8763,"-","None",1966,-8.5,-2,244,239,5,27,30,-3,0.473684210526316,NA
"Sunday, Jun 12","boxscore","ATL","@","PIT","L",8,11,"None","27-32",7,"Sisk","Carroll","Face","3:06","D",14520,"--","None",1966,-8.5,-3,252,250,2,27,31,-4,0.46551724137931,NA
"Monday, Jun 13","boxscore","ATL","@","PHI","L",2,6,"None","27-33",7,"Jackson","Cloninger","None","2:22","N",NA,"---","None",1966,-10,-4,254,256,-2,27,32,-5,0.457627118644068,NA
"Monday, Jun 13","boxscore","ATL","@","PHI","L",4,6,"None","27-34",7,"Buhl","Blasingame","Fox","2:43","N",21642,"----","1966-04-18 (Rain)",1966,-10,-2,258,262,-4,27,33,-6,0.45,NA
"Tuesday, Jun 14","boxscore","ATL","@","PHI","W",11,6,"None","28-34",7,"Johnson","Wise","Olivo","3:26","N",16759,"+","None",1966,-10,5,269,268,1,28,33,-5,0.459016393442623,NA
"Wednesday, Jun 15","boxscore","ATL","None","NYM","L",4,5,"None","28-35",8,"Hepler","O'Dell","Hamilton","2:53","N",13972,"-","None",1966,-11,-1,273,273,0,28,34,-6,0.451612903225806,NA
"Thursday, Jun 16","boxscore","ATL","None","NYM","W",17,1,"None","29-35",7,"Cloninger","Gardner","None","2:54","N",15108,"+","None",1966,-11,16,290,274,16,29,34,-5,0.46031746031746,NA
"Friday, Jun 17","boxscore","ATL","None","PIT","L",2,4,"None","29-36",7,"Cardwell","Carroll","Fryman","2:53","N",17704,"-","None",1966,-12,-2,292,278,14,29,35,-6,0.453125,NA
"Saturday, Jun 18","boxscore","ATL","None","PIT","L",6,9,"None","29-37",8,"Law","Blasingame","Face","3:15","N",21083,"--","None",1966,-12,-3,298,287,11,29,36,-7,0.446153846153846,NA
"Sunday, Jun 19","boxscore","ATL","None","PIT","L",1,2,"11","29-38",8,"Veale","Abernathy","None","2:49","D",17229,"---","None",1966,-12,-1,299,289,10,29,37,-8,0.439393939393939,NA
"Monday, Jun 20","boxscore","ATL","None","PHI","W",7,5,"None","30-38",8,"Cloninger","Fox","None","2:48","N",16790,"+","None",1966,-11.5,2,306,294,12,30,37,-7,0.447761194029851,NA
"Tuesday, Jun 21","boxscore","ATL","None","PHI","W",4,1,"None","31-38",8,"Lemaster","Jackson","None","2:18","N",11649,"++","None",1966,-11.5,3,310,295,15,31,37,-6,0.455882352941176,NA
"Wednesday, Jun 22","boxscore","ATL","None","PHI","L",3,7,"None","31-39",8,"Buhl","Jay","None","2:35","N",12544,"-","None",1966,-13,-4,313,302,11,31,38,-7,0.449275362318841,NA
"Friday, Jun 24","boxscore","ATL","None","LAD","L",0,4,"None","31-40",8,"Osteen","Blasingame","Regan","2:39","N",30043,"--","None",1966,-13.5,-4,313,306,7,31,39,-8,0.442857142857143,NA
"Saturday, Jun 25","boxscore","ATL","None","LAD","W",5,4,"None","32-40",8,"Johnson","Sutton","None","2:25","D",32063,"+","None",1966,-12,1,318,310,8,32,39,-7,0.450704225352113,NA
"Saturday, Jun 25","boxscore","ATL","None","LAD","W",4,3,"None","33-40",8,"Cloninger","Drysdale","Olivo","2:58","N",47226,"++","None",1966,-12,1,322,313,9,33,39,-6,0.458333333333333,NA
"Sunday, Jun 26","boxscore","ATL","None","LAD","L",1,2,"None","33-41",8,"Koufax","Lemaster","None","3:01","D",51275,"-","None",1966,-13,-1,323,315,8,33,40,-7,0.452054794520548,NA
"Monday, Jun 27","boxscore","ATL","None","CHC","L",1,5,"None","33-42",8,"Ellsworth","Jay","None","2:29","N",10147,"--","None",1966,-14,-4,324,320,4,33,41,-8,0.445945945945946,NA
"Tuesday, Jun 28","boxscore","ATL","None","CHC","W",4,2,"None","34-42",8,"Carroll","Holtzman","None","2:05","N",10664,"+","None",1966,-14,2,328,322,6,34,41,-7,0.453333333333333,NA
"Wednesday, Jun 29","boxscore","ATL","None","CHC","L",5,9,"None","34-43",8,"Lee","Olivo","Hendley","2:48","D",8163,"-","None",1966,-14,-4,333,331,2,34,42,-8,0.447368421052632,NA
"Thursday, Jun 30","boxscore","ATL","@","SFG","L",1,3,"None","34-44",8,"Perry","Johnson","None","2:05","D",12526,"--","None",1966,-15,-2,334,334,0,34,43,-9,0.441558441558442,NA
"Friday, Jul 1","boxscore","ATL","@","SFG","L",5,9,"None","34-45",8,"Linzy","Abernathy","Priddy","2:46","N",15670,"---","None",1966,-16,-4,339,343,-4,34,44,-10,0.435897435897436,NA
"Saturday, Jul 2","boxscore","ATL","@","SFG","W",3,1,"10","35-45",8,"Olivo","Linzy","Carroll","2:35","D",19794,"+","None",1966,-15,2,342,344,-2,35,44,-9,0.443037974683544,NA
"Sunday, Jul 3","boxscore","ATL","@","SFG","W",17,3,"None","36-45",8,"Cloninger","Gibbon","None","2:42","D",27002,"++","None",1966,-14,14,359,347,12,36,44,-8,0.45,NA
"Monday, Jul 4","boxscore","ATL","@","HOU","W",3,2,"None","37-45",8,"Johnson","Giusti","None","1:55","N",26679,"+++","None",1966,-13.5,1,362,349,13,37,44,-7,0.45679012345679,NA
"Tuesday, Jul 5","boxscore","ATL","@","HOU","W",9,4,"None","38-45",8,"Lemaster","Cuellar","None","2:16","N",20004,"++++","None",1966,-12.5,5,371,353,18,38,44,-6,0.463414634146341,NA
"Wednesday, Jul 6","boxscore","ATL","@","HOU","W",8,1,"None","39-45",7,"Schwall","Farrell","Carroll","2:24","N",28533,"+++++","None",1966,-12.5,7,379,354,25,39,44,-5,0.469879518072289,NA
"Thursday, Jul 7","boxscore","ATL","@","LAD","L",2,3,"None","39-46",7,"Drysdale","Olivo","Regan","2:37","N",25108,"-","None",1966,-13.5,-1,381,357,24,39,45,-6,0.464285714285714,NA
