"team","var","min_val","max_val"
"ATL","date",Inf,-Inf
"ATL","boxscore",Inf,-Inf
"ATL","team",Inf,-Inf
"ATL","home_or_away",0,0
"ATL","opponent",Inf,-Inf
"ATL","win_or_loss",Inf,-Inf
"ATL","runs",0,20
"ATL","runs_allowed",0,23
"ATL","innings",0,20
"ATL","win_loss_record",Inf,-Inf
"ATL","rank",1,10
"ATL","games_behind",0.5,40.5
"ATL","win",0,0
"ATL","loss",0,0
"ATL","save",0,0
"ATL","time",0,0
"ATL","day_or_night",0,0
"ATL","attendance",0,72123
"ATL","streak",Inf,-Inf
"ATL","originally_scheduled",0,0
"ATL","year",1966,2017
"ATL","games_ahead",-40.5,22
"ATL","run_diff",-21,18
"ATL","r_so_far",0,35777
"ATL","ra_so_far",6,34836
"ATL","rd_so_far",-1310,1396
"ATL","wins_so_far",0,4233
"ATL","losses_so_far",1,4019
"ATL","record_so_far",0,0.7
"ATL","attendance_so_far",12721,202598861
