date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 20",boxscore,BAL,None,WSH,L,7,8,None,1-1,4, 1.0,Clevenger,Coleman,Kralick,2:53,N,"11,087",-,None
"Thursday, Apr 21",boxscore,BAL,None,WSH,L,5,6,None,1-2,5, 1.5,Stobbs,Fisher,None,3:03,N,"9,377",--,None
"Friday, Apr 22",boxscore,BAL,@,NYY,L,0,5,None,1-3,7, 2.5,Ford,Wilhelm,Terry,2:24,D,"36,386",---,None
"Saturday, Apr 23",boxscore,BAL,@,NYY,L,2,3,None,1-4,7, 3.5,Short,Coleman,Duren,3:03,D,"18,653",----,None
"Sunday, Apr 24",boxscore,BAL,@,NYY,L,9,15,None,1-5,8, 4.5,Coates,Fisher,James,3:00,D,"19,460",-----,None
"Monday, Apr 25",boxscore,BAL,@,WSH,W,3,2,None,2-5,7, 4.0,Pappas,Kemmerer,None,2:20,N,"8,459",+,None
"Tuesday, Apr 26",boxscore,BAL,@,WSH,W,11,10,None,3-5,7, 3.0,Estrada,Pascual,None,2:57,D,"2,343",++,None
"Wednesday, Apr 27",boxscore,BAL,None,BOS,W,8,3,None,4-5,5, 2.0,Portocarrero,Sullivan,None,2:20,N,"6,247",+++,None
"Thursday, Apr 28",boxscore,BAL,None,BOS,W,6,1,None,5-5,4, 1.0,Barber,Monbouquette,None,2:14,N,"6,058",++++,None
"Friday, Apr 29",boxscore,BAL,None,NYY,W,2,1,None,6-5,1, Tied,Brown,Short,None,2:34,N,"17,913",+++++,None
"Saturday, Apr 30",boxscore,BAL,None,NYY,L,0,16,None,6-6,4, 1.0,Coates,Pappas,None,2:43,D,"13,267",-,None
"Sunday, May 1",boxscore,BAL,None,NYY,W,9,5,None,7-6,2, 1.0,Estrada,Gabler,None,3:13,D,"11,474",+,None
"Monday, May 2",boxscore,BAL,None,CHW,W,11,6,None,8-6,1, Tied,Portocarrero,Ferrarese,None,3:09,N,"8,254",++,None
"Tuesday, May 3",boxscore,BAL,None,CHW,L,3,5,None,8-7,3, 1.0,Pierce,Barber,None,2:26,N,"10,701",-,None
"Wednesday, May 4",boxscore,BAL,None,CHW,W,6,4,None,9-7,2, 0.5,Wilhelm,Baumann,Walker,2:43,N,"9,364",+,None
"Thursday, May 5",boxscore,BAL,None,CLE,L,6,11,None,9-8,3, 1.0,Hawkins,Pappas,Bell,3:14,N,"8,816",-,None
"Friday, May 6",boxscore,BAL,None,CLE,W,9,2,None,10-8,3, 1.0,Brown,Stigman,None,2:31,N,"12,510",+,None
