"team","var","min_val","max_val"
"BAL","date",Inf,-Inf
"BAL","boxscore",Inf,-Inf
"BAL","team",Inf,-Inf
"BAL","home_or_away",0,0
"BAL","opponent",Inf,-Inf
"BAL","win_or_loss",Inf,-Inf
"BAL","runs",0,23
"BAL","runs_allowed",0,30
"BAL","innings",0,19
"BAL","win_loss_record",Inf,-Inf
"BAL","rank",1,10
"BAL","games_behind",0.5,57.5
"BAL","win",0,0
"BAL","loss",0,0
"BAL","save",0,0
"BAL","time",Inf,-Inf
"BAL","day_or_night",Inf,-Inf
"BAL","attendance",0,64540
"BAL","streak",Inf,-Inf
"BAL","originally_scheduled",0,0
"BAL","year",1954,2017
"BAL","games_ahead",-57.5,22
"BAL","run_diff",-27,22
"BAL","r_so_far",3,44405
"BAL","ra_so_far",2,43790
"BAL","rd_so_far",-653,1931
"BAL","wins_so_far",1,5190
"BAL","losses_so_far",0,4954
"BAL","record_so_far",0.3125,1
"BAL","attendance_so_far",4847,225249642
