date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 9",boxscore,BOS,@,DET,L-wo,5,6,10,0-2,7, 2.0,Hernandez,Stanley,None,3:37,D,"11,393",--,None
"Thursday, Apr 10",boxscore,BOS,@,DET,W,4,2,None,1-2,6, 2.0,Nipper,Petry,Sambito,2:53,D,"11,035",+,None
"Friday, Apr 11",boxscore,BOS,@,CHW,W,7,2,None,2-2,5, 1.0,Clemens,Bannister,None,2:48,N,"12,928",++,None
"Saturday, Apr 12",boxscore,BOS,@,CHW,L,1,3,None,2-3,5, 2.0,Seaver,Hurst,Schmidt,2:21,N,"14,094",-,None
"Sunday, Apr 13",boxscore,BOS,@,CHW,W,12,2,None,3-3,2, 2.0,Lollar,Cowley,None,3:00,D,"25,153",+,None
"Monday, Apr 14",boxscore,BOS,None,KCR,L,2,8,None,3-4,5, 2.5,Leibrandt,Boyd,None,2:44,D,"34,764",-,None
"Wednesday, Apr 16",boxscore,BOS,None,KCR,L,0,1,None,3-5,7, 3.5,Saberhagen,Nipper,None,2:05,D,"11,164",--,None
"Thursday, Apr 17",boxscore,BOS,None,KCR,W,6,2,None,4-5,5, 2.5,Clemens,Gubicza,None,2:19,D,"10,583",+,None
"Friday, Apr 18",boxscore,BOS,None,CHW,W,2,1,None,5-5,3, 1.5,Hurst,Seaver,None,2:06,N,"17,978",++,None
"Saturday, Apr 19",boxscore,BOS,None,CHW,W,3,2,None,6-5,2, 0.5,Boyd,Agosto,None,2:27,D,"20,667",+++,None
"Sunday, Apr 20",boxscore,BOS,None,CHW,W,6,2,None,7-5,2, 0.5,Brown,Bannister,None,2:36,D,"23,441",++++,None
"Monday, Apr 21",boxscore,BOS,None,DET,L,4,5,None,7-6,3, 1.5,Terrell,Nipper,Hernandez,3:17,D,"30,487",-,None
"Tuesday, Apr 22",boxscore,BOS,None,DET,W,6,4,None,8-6,2, 1.5,Clemens,Morris,Stanley,2:55,N,"16,763",+,None
"Wednesday, Apr 23",boxscore,BOS,None,DET,L,1,3,None,8-7,3, 2.5,Tanana,Hurst,Hernandez,3:14,N,"13,988",-,None
"Friday, Apr 25",boxscore,BOS,@,KCR,L,0,6,None,8-8,3, 4.0,Leibrandt,Boyd,None,2:14,N,"26,400",--,None
"Saturday, Apr 26",boxscore,BOS,@,KCR,W,6,1,None,9-8,2, 3.0,Nipper,Saberhagen,None,2:22,N,"31,497",+,None
"Tuesday, Apr 29",boxscore,BOS,None,SEA,W,3,1,None,10-8,2, 2.5,Clemens,Moore,None,2:39,N,"13,414",++,None
"Wednesday, Apr 30",boxscore,BOS,None,SEA,W,9,4,None,11-8,2, 2.5,Stewart,Nunez,Stanley,3:17,N,"13,161",+++,None
"Thursday, May 1",boxscore,BOS,None,SEA,W,12,2,None,12-8,2, 1.5,Boyd,Swift,None,2:23,N,"13,109",++++,None
"Friday, May 2",boxscore,BOS,None,OAK,L,1,4,None,12-9,3, 1.5,Andujar,Nipper,None,2:24,N,"17,720",-,None
"Saturday, May 3",boxscore,BOS,None,OAK,W,4,3,None,13-9,3, 1.5,Stewart,Codiroli,Stanley,3:01,D,"20,046",+,None
"Sunday, May 4",boxscore,BOS,None,OAK,W,4,1,None,14-9,3, 0.5,Clemens,Langford,Stanley,2:27,D,"25,190",++,None
"Monday, May 5",boxscore,BOS,None,CAL,W,3,0,None,15-9,3, 0.5,Hurst,Witt,None,2:35,N,"16,886",+++,None
"Tuesday, May 6",boxscore,BOS,None,CAL,L,2,6,None,15-10,3, 1.5,Forster,Boyd,Corbett,2:50,D,"14,072",-,None
"Wednesday, May 7",boxscore,BOS,@,SEA,W,11,5,None,16-10,3, 1.5,Nipper,Wilcox,None,3:25,N,"8,523",+,None
"Thursday, May 8",boxscore,BOS,@,SEA,W,4,2,None,17-10,3, 1.0,Brown,Morgan,Stanley,2:58,N,"8,319",++,None
"Friday, May 9",boxscore,BOS,@,OAK,W,9,6,10,18-10,2, 0.5,Stanley,Atherton,Sambito,3:24,N,"25,098",+++,None
"Saturday, May 10",boxscore,BOS,@,OAK,W,4,2,10,19-10,2, 0.5,Hurst,Ontiveros,None,3:09,D,"28,000",++++,None
"Sunday, May 11",boxscore,BOS,@,OAK,W,6,5,None,20-10,1,up 1.0,Boyd,Haas,Sambito,3:03,D,"23,872",+++++,None
"Monday, May 12",boxscore,BOS,@,CAL,L,1,7,None,20-11,1, Tied,Sutton,Nipper,None,2:35,N,"25,450",-,None
"Tuesday, May 13",boxscore,BOS,@,CAL,L,4,5,None,20-12,2, 1.0,Romanick,Brown,Corbett,2:56,N,"27,420",--,None
"Wednesday, May 14",boxscore,BOS,@,CAL,W,8,5,None,21-12,1, Tied,Clemens,Bryden,Sambito,3:15,N,"32,966",+,None
"Friday, May 16",boxscore,BOS,None,TEX,L,1,4,None,21-13,1,up 0.5,Guzman,Hurst,None,2:33,N,"23,673",-,None
"Saturday, May 17",boxscore,BOS,None,TEX,W,8,2,None,22-13,1,up 0.5,Boyd,Hough,None,2:51,D,"31,168",+,None
"Sunday, May 18",boxscore,BOS,None,TEX,W-wo,5,4,10,23-13,1,up 0.5,Stanley,Harris,None,3:42,D,"26,572",++,None
"Monday, May 19",boxscore,BOS,None,MIN,W-wo,8,7,None,24-13,1,up 1.0,Sambito,Davis,None,3:10,N,"18,428",+++,None
"Tuesday, May 20",boxscore,BOS,None,MIN,W,17,7,None,25-13,1,up 2.0,Clemens,Viola,None,3:16,N,"20,880",++++,None
"Wednesday, May 21",boxscore,BOS,None,MIN,W,3,2,None,26-13,1,up 2.0,Stewart,Portugal,Stanley,2:43,N,"16,018",+++++,None
"Friday, May 23",boxscore,BOS,@,TEX,W,2,1,None,27-13,1,up 1.5,Boyd,Correa,Stanley,2:45,N,"18,300",++++++,None
"Saturday, May 24",boxscore,BOS,@,TEX,L-wo,2,3,None,27-14,1,up 0.5,Williams,Stanley,None,2:59,N,"19,300",-,None
"Sunday, May 25",boxscore,BOS,@,TEX,W,7,1,None,28-14,1,up 0.5,Clemens,Mason,None,2:44,D,"38,998",+,None
"Monday, May 26",boxscore,BOS,@,CLE,W,5,3,None,29-14,1,up 1.5,Hurst,Candiotti,Stanley,3:15,D,"27,019",++,None
"Tuesday, May 27",boxscore,BOS,@,CLE,W,2,0,6,30-14,1,up 2.0,Brown,Heaton,Crawford,1:54,N,"6,661",+++,None
"Wednesday, May 28",boxscore,BOS,@,CLE,W,13,7,None,31-14,1,up 2.0,Boyd,Schulze,None,3:06,N,"12,010",++++,None
"Friday, May 30",boxscore,BOS,@,MIN,L,5,13,None,31-15,1,up 1.5,Atherton,Woodward,None,3:25,N,"16,669",-,None
"Saturday, May 31",boxscore,BOS,@,MIN,W,7,2,None,32-15,1,up 2.5,Hurst,Smithson,None,2:59,N,"20,217",+,None
"Sunday, Jun 1",boxscore,BOS,@,MIN,W,6,3,None,33-15,1,up 2.5,Clemens,Portugal,None,2:30,D,"16,645",++,None
"Monday, Jun 2",boxscore,BOS,None,CLE,W,3,1,None,34-15,1,up 3.5,Boyd,Heaton,Crawford,3:08,N,"20,803",+++,None
"Tuesday, Jun 3",boxscore,BOS,None,CLE,W,5,1,None,35-15,1,up 4.5,Brown,Schulze,None,2:46,N,"17,432",++++,None
"Wednesday, Jun 4",boxscore,BOS,None,CLE,W,6,4,None,36-15,1,up 4.5,Woodward,Niekro,Stanley,2:35,N,"25,681",+++++,None
"Thursday, Jun 5",boxscore,BOS,@,MIL,L,5,7,None,36-16,1,up 4.0,Wegman,Sellers,Clear,2:36,N,"8,706",-,None
"Friday, Jun 6",boxscore,BOS,@,MIL,W,3,0,None,37-16,1,up 5.0,Clemens,Darwin,None,2:29,N,"15,807",+,None
"Saturday, Jun 7",boxscore,BOS,@,MIL,L,0,3,None,37-17,1,up 4.0,Higuera,Boyd,None,2:16,N,"37,134",-,None
"Sunday, Jun 8",boxscore,BOS,@,MIL,L,3,7,None,37-18,1,up 3.0,Leary,Brown,Plesac,2:52,D,"34,546",--,None
"Monday, Jun 9",boxscore,BOS,@,TOR,L,1,5,None,37-19,1,up 3.0,Stieb,Woodward,None,2:34,N,"27,551",---,None
"Tuesday, Jun 10",boxscore,BOS,@,TOR,W,4,3,10,38-19,1,up 4.0,Stanley,Eichhorn,None,3:26,N,"28,149",+,None
"Wednesday, Jun 11",boxscore,BOS,@,TOR,W,3,2,None,39-19,1,up 4.0,Clemens,Alexander,Stanley,2:29,N,"25,226",++,None
"Friday, Jun 13",boxscore,BOS,None,MIL,W,5,3,None,40-19,1,up 4.5,Boyd,Higuera,Stanley,2:58,N,"29,927",+++,None
"Saturday, Jun 14",boxscore,BOS,None,MIL,L,0,2,None,40-20,1,up 3.5,Leary,Brown,Plesac,2:39,D,"33,784",-,None
"Sunday, Jun 15",boxscore,BOS,None,MIL,L,3,7,None,40-21,1,up 3.5,Nieves,Sellers,Clear,2:57,D,"33,632",--,None
"Monday, Jun 16",boxscore,BOS,@,NYY,W,10,1,None,41-21,1,up 4.5,Clemens,Guidry,None,2:42,N,"45,576",+,None
"Tuesday, Jun 17",boxscore,BOS,@,NYY,W,7,6,None,42-21,1,up 5.5,Stanley,Niekro,Sambito,3:49,N,"40,167",++,None
"Wednesday, Jun 18",boxscore,BOS,@,NYY,W,5,2,None,43-21,1,up 6.5,Boyd,Shirley,None,2:58,N,"41,841",+++,None
"Friday, Jun 20",boxscore,BOS,None,BAL,L,3,14,None,43-22,1,up 6.0,Boddicker,Brown,None,3:19,N,"34,826",-,None
"Saturday, Jun 21",boxscore,BOS,None,BAL,W,7,2,None,44-22,1,up 6.0,Clemens,Dixon,None,3:01,D,"35,707",+,None
"Sunday, Jun 22",boxscore,BOS,None,BAL,L,0,4,None,44-23,1,up 6.0,Davis,Sellers,Aase,2:37,D,"33,816",-,None
"Monday, Jun 23",boxscore,BOS,None,NYY,L,3,11,None,44-24,1,up 5.0,Fisher,Boyd,None,3:24,N,"35,355",--,None
"Tuesday, Jun 24",boxscore,BOS,None,NYY,L,1,8,None,44-25,1,up 4.0,Rasmussen,Woodward,None,3:05,N,"34,382",---,None
"Wednesday, Jun 25",boxscore,BOS,None,NYY,W,5,4,None,45-25,1,up 5.0,Nipper,Drabek,Sambito,2:48,N,"35,015",+,None
"Friday, Jun 27",boxscore,BOS,@,BAL,W,5,3,None,46-25,1,up 6.0,Clemens,Dixon,Stanley,3:09,N,"52,159",++,None
