"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Saturday, Apr 27","None","BOS","@","BLA","L",6,12,"None","0-2",6,"None","None","None","None","None",NA,"--","None",1901,-2.5,-6,6,12,-6,0,1,0,NA
"Monday, Apr 29","None","BOS","@","PHA","L",5,8,"None","0-3",7,"None","None","None","None","None",NA,"---","None",1901,-4,-3,11,20,-9,0,2,0,NA
"Tuesday, Apr 30","None","BOS","@","PHA","W",8,6,"None","1-3",5,"None","None","None","2:20","None",NA,"+","None",1901,-3,2,19,26,-7,1,2,0.333333333333333,NA
"Wednesday, May 1","None","BOS","@","PHA","L",1,14,"None","1-4",7,"None","None","None","None","None",NA,"-","None",1901,-3,-13,20,40,-20,1,3,0.25,NA
"Thursday, May 2","None","BOS","@","PHA","W",23,12,"None","2-4",5,"None","None","None","None","None",NA,"+","None",1901,-3,11,43,52,-9,2,3,0.4,NA
"Friday, May 3","None","BOS","@","WSH","L",4,9,"None","2-5",6,"None","None","None","None","None",NA,"-","None",1901,-4,-5,47,61,-14,2,4,0.333333333333333,NA
"Saturday, May 4","None","BOS","@","WSH","W",10,2,"None","3-5",5,"None","None","None","None","None",NA,"+","None",1901,-3,8,57,63,-6,3,4,0.428571428571429,NA
"Monday, May 6","None","BOS","@","WSH","W",9,5,"None","4-5",5,"None","None","None","None","None",NA,"++","None",1901,-3.5,4,66,68,-2,4,4,0.5,NA
"Tuesday, May 7","None","BOS","@","WSH","W",7,3,"None","5-5",4,"None","None","None","None","None",NA,"+++","None",1901,-3.5,4,73,71,2,5,4,0.555555555555556,NA
"Wednesday, May 8","None","BOS","None","PHA","W",12,4,"None","6-5",4,"None","None","None","None","None",NA,"++++","None",1901,-3,8,85,75,10,6,4,0.6,NA
"Thursday, May 9","None","BOS","None","PHA","W",9,3,"None","7-5",4,"None","None","None","None","None",NA,"+++++","None",1901,-2,6,94,78,16,7,4,0.636363636363636,NA
"Saturday, May 11","None","BOS","None","WSH","L",2,3,"None","7-6",4,"None","None","None","None","None",NA,"-","None",1901,-3.5,-1,96,81,15,7,5,0.583333333333333,NA
"Monday, May 13","None","BOS","None","WSH","L",2,5,"None","7-7",5,"None","None","None","None","None",NA,"--","None",1901,-5,-3,98,86,12,7,6,0.538461538461538,NA
"Tuesday, May 14","None","BOS","None","WSH","L",2,3,"None","7-8",5,"None","None","None","None","None",NA,"---","None",1901,-5,-1,100,89,11,7,7,0.5,NA
"Wednesday, May 15","None","BOS","None","WSH","L",0,4,"None","7-9",5,"None","None","None","None","None",NA,"----","None",1901,-5.5,-4,100,93,7,7,8,0.466666666666667,NA
"Thursday, May 16","None","BOS","None","BLA","L",7,8,"None","7-10",5,"None","None","None","None","None",NA,"-----","None",1901,-6.5,-1,107,101,6,7,9,0.4375,NA
"Friday, May 17","None","BOS","None","BLA","W",7,2,"None","8-10",5,"None","None","None","None","None",NA,"+","None",1901,-6.5,5,114,103,11,8,9,0.470588235294118,NA
"Wednesday, May 22","None","BOS","@","DET","W",9,5,"None","9-10",5,"None","None","None","None","None",NA,"++","None",1901,-5,4,123,108,15,9,9,0.5,NA
"Thursday, May 23","None","BOS","@","DET","W",4,2,"None","10-10",5,"None","None","None","None","None",NA,"+++","None",1901,-4.5,2,127,110,17,10,9,0.526315789473684,NA
"Friday, May 24","None","BOS","@","DET","L",0,3,"None","10-11",5,"None","None","None","None","None",NA,"-","None",1901,-5,-3,127,113,14,10,10,0.5,NA
"Saturday, May 25","None","BOS","@","CLE","W",5,0,"None","11-11",5,"None","None","None","None","None",NA,"+","None",1901,-5,5,132,113,19,11,10,0.523809523809524,NA
"Thursday, May 30","None","BOS","@","CHW","L",3,8,"None","11-12",5,"None","None","None","1:45","None",1700,"-","None",1901,-8,-5,135,121,14,11,11,0.5,NA
"Thursday, May 30","None","BOS","@","CHW","L",3,5,"None","11-13",5,"None","None","None","1:47","None",13000,"--","None",1901,-8,-2,138,126,12,11,12,0.478260869565217,NA
"Friday, May 31","None","BOS","@","CHW","L",5,10,"None","11-14",5,"None","None","None","None","None",NA,"---","None",1901,-9,-5,143,136,7,11,13,0.458333333333333,NA
"Saturday, Jun 1","None","BOS","@","CHW","W",10,5,"None","12-14",5,"None","None","None","None","None",NA,"+","None",1901,-8,5,153,141,12,12,13,0.48,NA
"Sunday, Jun 2","None","BOS","@","MLA","W",13,2,"None","13-14",5,"None","None","None","None","None",NA,"++","None",1901,-7,11,166,143,23,13,13,0.5,NA
"Monday, Jun 3","None","BOS","@","MLA","L",2,4,"None","13-15",6,"None","None","None","None","None",NA,"-","None",1901,-7,-2,168,147,21,13,14,0.481481481481481,NA
"Tuesday, Jun 4","None","BOS","@","MLA","L",2,5,"None","13-16",6,"None","None","None","None","None",NA,"--","None",1901,-8,-3,170,152,18,13,15,0.464285714285714,NA
"Wednesday, Jun 5","None","BOS","@","MLA","W",7,4,"None","14-16",5,"None","None","None","None","None",NA,"+","None",1901,-7.5,3,177,156,21,14,15,0.482758620689655,NA
"Friday, Jun 7","None","BOS","None","MLA","W",4,2,"None","15-16",5,"None","None","None","None","None",NA,"++","None",1901,-7.5,2,181,158,23,15,15,0.5,NA
"Saturday, Jun 8","None","BOS","None","MLA","W",12,4,"None","16-16",5,"None","None","None","None","None",NA,"+++","None",1901,-6.5,8,193,162,31,16,15,0.516129032258065,NA
"Monday, Jun 10","None","BOS","None","MLA","W",7,4,"None","17-16",4,"None","None","None","None","None",NA,"++++","None",1901,-6.5,3,200,166,34,17,15,0.53125,NA
"Tuesday, Jun 11","None","BOS","None","MLA","W",8,4,"None","18-16",4,"None","None","None","None","None",NA,"+++++","None",1901,-5.5,4,208,170,38,18,15,0.545454545454545,NA
"Wednesday, Jun 12","None","BOS","None","DET","W",4,2,"None","19-16",4,"None","None","None","None","None",NA,"++++++","None",1901,-4.5,2,212,172,40,19,15,0.558823529411765,NA
