date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Apr 7",boxscore,CHC,None,NYM,L,4,9,None,0-2,5, 2.0,Zachry,Holtzman,Lockwood,3:07,D,"9,805",--,None
"Tuesday, Apr 10",boxscore,CHC,@,STL,L,0,7,None,0-3,6, 3.0,Sykes,McGlothen,None,2:28,N,"10,190",---,None
"Saturday, Apr 14",boxscore,CHC,@,MON,L,0,2,None,0-4,6, 4.0,Grimsley,Reuschel,Sosa,2:05,D,"35,654",----,None
"Sunday, Apr 15",boxscore,CHC,@,MON,W,5,1,None,1-4,6, 3.0,McGlothen,Rogers,None,2:18,D,"13,014",+,None
"Monday, Apr 16",boxscore,CHC,@,MON,L,0,2,None,1-5,6, 4.0,Lee,Krukow,None,1:54,D,"10,004",-,None
"Tuesday, Apr 17",boxscore,CHC,None,STL,W,5,3,None,2-5,6, 4.0,Holtzman,Denny,Sutter,2:19,D,"11,010",+,None
"Wednesday, Apr 18",boxscore,CHC,None,STL,L,2,3,14,2-6,6, 5.0,Bruno,Moore,Knowles,3:28,D,"12,825",-,None
"Thursday, Apr 19",boxscore,CHC,None,STL,W,3,2,None,3-6,4, 4.5,Lamp,Forsch,Sutter,2:01,D,"9,117",+,None
"Friday, Apr 20",boxscore,CHC,None,MON,W,8,5,None,4-6,4, 3.5,McGlothen,Fryman,Sutter,2:21,D,"6,225",++,None
"Saturday, Apr 21",boxscore,CHC,None,MON,W,4,3,None,5-6,3, 3.0,Moore,Palmer,Sutter,3:02,D,"19,911",+++,None
"Sunday, Apr 22",boxscore,CHC,None,MON,W,4,1,None,6-6,3, 2.0,Reuschel,Sanderson,None,2:00,D,"20,041",++++,None
"Wednesday, Apr 25",boxscore,CHC,None,HOU,W,4,0,None,7-6,3, 3.0,Lamp,Ruhle,None,2:01,D,"6,388",+++++,None
"Thursday, Apr 26",boxscore,CHC,None,HOU,L,2,6,None,7-7,4, 3.5,Richard,McGlothen,Sambito,3:00,D,"4,777",-,None
"Friday, Apr 27",boxscore,CHC,@,ATL,L,2,3,None,7-8,4, 4.5,Niekro,Moore,None,2:27,N,"12,930",--,None
"Saturday, Apr 28",boxscore,CHC,@,ATL,&V,2,7,None,7-9,4, 4.5,Matula,Reuschel,Garber,2:22,N,"18,785",---,None
"Sunday, Apr 29",boxscore,CHC,@,ATL,W,6,5,None,8-9,4, 4.5,McGlothen,Garber,Sutter,2:59,D,"5,041",+,None
"Tuesday, May 1",boxscore,CHC,@,CIN,W,5,1,None,9-9,3, 5.0,Holtzman,Norman,None,2:22,N,"15,378",++,None
"Wednesday, May 2",boxscore,CHC,@,CIN,L,1,4,None,9-10,4, 5.5,LaCoss,Reuschel,Bair,2:05,N,"17,218",-,None
"Friday, May 4",boxscore,CHC,None,ATL,W,6,2,None,10-10,4, 5.0,Krukow,Matula,McGlothen,2:43,D,"3,928",+,None
"Saturday, May 5",boxscore,CHC,None,ATL,W,9,3,None,11-10,3, 4.0,Lamp,Niekro,None,2:04,D,"16,312",++,None
"Sunday, May 6",boxscore,CHC,None,ATL,W-wo,14,13,None,12-10,3, 4.0,Sutter,Garber,None,3:07,D,"21,984",+++,None
"Tuesday, May 8",boxscore,CHC,None,CIN,L,7,8,None,12-11,4, 5.5,LaCoss,Holtzman,Pastore,3:11,D,"12,254",-,None
"Wednesday, May 9",boxscore,CHC,None,CIN,L,4,7,None,12-12,4, 6.5,Moskau,McGlothen,Bair,2:46,D,"10,922",--,None
"Thursday, May 10",boxscore,CHC,None,CIN,W-wo,9,8,18,13-12,4, 6.5,McGlothen,Sarmiento,None,5:17,D,"9,164",+,None
"Friday, May 11",boxscore,CHC,@,HOU,W,5,3,None,14-12,3, 5.5,Reuschel,Riccelli,Sutter,2:47,N,"14,715",++,None
"Saturday, May 12",boxscore,CHC,@,HOU,L,3,11,None,14-13,3, 5.0,Forsch,McGlothen,None,2:20,N,None,-,None
"Saturday, May 12",boxscore,CHC,@,HOU,W,2,0,None,15-13,3, 5.0,Holtzman,Williams,None,2:10,N,"35,997",+,None
"Sunday, May 13",boxscore,CHC,@,HOU,L,0,3,None,15-14,4, 6.0,Niekro,Krukow,None,2:09,D,"13,604",-,None
"Tuesday, May 15",boxscore,CHC,None,PHI,W,7,1,None,16-14,4, 5.0,McGlothen,Espinosa,None,2:20,D,"13,834",+,None
"Wednesday, May 16",boxscore,CHC,None,PHI,L,0,13,None,16-15,4, 6.0,Carlton,Reuschel,None,2:21,D,"18,015",-,None
"Thursday, May 17",boxscore,CHC,None,PHI,L,22,23,10,16-16,4, 7.0,Eastwick,Sutter,None,4:03,D,"14,952",--,None
"Friday, May 18",boxscore,CHC,None,PIT,L,5,9,None,16-17,4, 7.0,Candelaria,Holtzman,None,2:12,D,"12,578",---,None
"Saturday, May 19",boxscore,CHC,None,PIT,L,0,3,None,16-18,4, 7.0,Rooker,Krukow,Jackson,2:42,D,"29,460",----,None
"Sunday, May 20",boxscore,CHC,None,PIT,L,5,6,None,16-19,5, 7.0,Robinson,McGlothen,Tekulve,2:52,D,"30,998",-----,None
"Tuesday, May 22",boxscore,CHC,@,NYM,L,2,4,None,16-20,5, 8.5,Kobel,Lamp,Murray,2:14,N,"6,550",------,None
"Thursday, May 24",boxscore,CHC,@,NYM,W,9,7,None,17-20,5, 8.0,Holtzman,Falcone,Sutter,2:57,N,None,+,None
"Thursday, May 24",boxscore,CHC,@,NYM,L,2,4,None,17-21,5, 8.0,Zachry,Krukow,Lockwood,2:29,N,"4,320",-,1979-05-23 (Rain)
"Friday, May 25",boxscore,CHC,@,PHI,W,3,0,None,18-21,5, 7.0,McGlothen,Espinosa,Sutter,2:20,N,"34,456",+,None
"Saturday, May 26",boxscore,CHC,@,PHI,W,4,1,None,19-21,4, 6.5,Lamp,Christenson,Tidrow,2:36,N,"32,313",++,None
"Sunday, May 27",boxscore,CHC,@,PHI,L,4,6,None,19-22,5, 7.0,Carlton,Caudill,None,2:37,D,"47,087",-,None
"Monday, May 28",boxscore,CHC,@,PHI,W,4,1,None,20-22,5, 6.5,Tidrow,Lerch,Sutter,2:30,N,"51,381",+,None
"Tuesday, May 29",boxscore,CHC,@,PIT,L,0,8,None,20-23,5, 7.5,Robinson,Holtzman,None,2:07,N,"7,196",-,None
"Wednesday, May 30",boxscore,CHC,@,PIT,L,2,9,None,20-24,5, 8.5,Rooker,McGlothen,None,2:26,N,"7,107",--,None
"Thursday, May 31",boxscore,CHC,@,PIT,L-wo,3,4,10,20-25,5, 9.5,Kison,Sutter,None,3:27,N,"6,438",---,None
"Friday, Jun 1",boxscore,CHC,None,SFG,W,8,2,None,21-25,5, 8.5,Reuschel,Nastu,None,2:13,D,"9,688",+,None
"Saturday, Jun 2",boxscore,CHC,None,SFG,L,6,8,None,21-26,5, 8.5,Moffitt,Tidrow,Lavelle,2:44,D,"32,721",-,None
"Sunday, Jun 3",boxscore,CHC,None,SFG,W,2,1,None,22-26,5, 7.5,Krukow,Curtis,Sutter,2:10,D,"29,665",+,None
"Tuesday, Jun 5",boxscore,CHC,None,SDP,L,3,11,None,22-27,5, 8.0,Rasmussen,Lamp,None,2:40,D,"12,675",-,None
"Wednesday, Jun 6",boxscore,CHC,None,SDP,W,3,0,None,23-27,5, 8.0,Reuschel,Jones,Sutter,2:05,D,"12,145",+,None
"Thursday, Jun 7",boxscore,CHC,None,SDP,W,4,3,None,24-27,5, 7.5,McGlothen,Shirley,Sutter,2:37,D,"5,775",++,None
"Friday, Jun 8",boxscore,CHC,None,LAD,L,4,11,7,24-28,5, 7.5,Hooton,Krukow,None,2:03,D,"21,162",-,None
"Saturday, Jun 9",boxscore,CHC,None,LAD,W,5,3,None,25-28,5, 6.5,Lamp,Sutcliffe,Tidrow,2:46,D,"25,683",+,None
"Sunday, Jun 10",boxscore,CHC,None,LAD,W,10,3,None,26-28,5, 5.5,Reuschel,Sutton,McGlothen,2:31,D,"24,088",++,None
"Tuesday, Jun 12",boxscore,CHC,@,SFG,L,2,7,None,26-29,5, 6.5,Knepper,Holtzman,None,2:54,N,"28,210",-,None
"Wednesday, Jun 13",boxscore,CHC,@,SFG,W,3,2,10,27-29,5, 6.5,Sutter,Moffitt,None,3:03,N,"9,284",+,None
"Thursday, Jun 14",boxscore,CHC,@,SFG,W,8,6,None,28-29,5, 6.5,Tidrow,Lavelle,Sutter,2:59,N,"9,005",++,None
"Friday, Jun 15",boxscore,CHC,@,SDP,W,3,2,None,29-29,5, 5.5,Hernandez,D'Acquisto,Tidrow,2:29,N,"23,595",+++,None
"Saturday, Jun 16",boxscore,CHC,@,SDP,W,5,2,None,30-29,5, 5.5,Holtzman,Perry,Sutter,2:39,N,"27,713",++++,None
"Sunday, Jun 17",boxscore,CHC,@,SDP,W,8,5,None,31-29,5, 5.5,Krukow,Owchinko,Sutter,2:43,D,"17,166",+++++,None
"Monday, Jun 18",boxscore,CHC,@,LAD,L,3,7,None,31-30,5, 5.5,Hooton,Lamp,None,2:32,D,"27,569",-,None
"Tuesday, Jun 19",boxscore,CHC,@,LAD,W,7,4,None,32-30,5, 5.5,Tidrow,Sutcliffe,Sutter,3:01,N,"38,605",+,None
"Friday, Jun 22",boxscore,CHC,@,PIT,L,2,7,None,32-31,5, 7.0,Blyleven,Holtzman,None,2:33,N,"21,006",-,None
"Saturday, Jun 23",boxscore,CHC,@,PIT,W,4,3,None,33-31,4, 7.0,Krukow,Robinson,Sutter,2:34,N,"18,513",+,None
"Sunday, Jun 24",boxscore,CHC,@,PIT,W,5,0,None,34-31,4, 6.0,Reuschel,Kison,None,2:35,D,"43,402",++,None
"Monday, Jun 25",boxscore,CHC,None,PHI,W,8,2,None,35-31,2, 6.0,McGlothen,Carlton,None,2:33,D,"27,246",+++,None
"Tuesday, Jun 26",boxscore,CHC,None,PHI,L,3,5,None,35-32,3, 7.0,Ruthven,Moore,McGraw,2:30,D,"35,970",-,None
"Wednesday, Jun 27",boxscore,CHC,None,PHI,W,11,4,None,36-32,2, 6.0,Krukow,Lerch,None,2:44,D,"29,858",+,None
"Saturday, Jun 30",boxscore,CHC,None,NYM,L,8,9,11,36-33,2, 6.5,Twitchell,Tidrow,Glynn,3:31,D,"28,394",-,None
"Sunday, Jul 1",boxscore,CHC,None,NYM,W-wo,5,4,None,37-33,2, 5.5,Tidrow,Twitchell,None,2:48,D,None,+,None
"Sunday, Jul 1",boxscore,CHC,None,NYM,W,8,2,None,38-33,2, 5.5,McGlothen,Falcone,None,2:10,D,"36,609",++,1979-04-08 (Inclement weather)
"Monday, Jul 2",boxscore,CHC,None,MON,L,0,5,None,38-34,2, 6.5,Rogers,Lamp,None,2:41,D,"21,864",-,None
"Tuesday, Jul 3",boxscore,CHC,None,MON,W-wo,3,2,None,39-34,2, 5.5,Sutter,Fryman,None,2:40,D,"24,979",+,None
"Wednesday, Jul 4",boxscore,CHC,None,MON,L,1,2,None,39-35,3, 6.5,Lee,Caudill,Sosa,2:10,D,"29,705",-,None
"Thursday, Jul 5",boxscore,CHC,None,MON,W,3,1,None,40-35,2, 5.5,Reuschel,Sanderson,Sutter,2:28,D,"22,790",+,None
"Friday, Jul 6",boxscore,CHC,None,HOU,L,2,4,None,40-36,2, 6.5,Niekro,McGlothen,Sambito,2:50,D,"25,612",-,None
"Saturday, Jul 7",boxscore,CHC,None,HOU,W,6,0,None,41-36,2, 6.0,Holtzman,Williams,None,2:10,D,None,+,None
"Saturday, Jul 7",boxscore,CHC,None,HOU,W,8,3,None,42-36,2, 6.0,Lamp,Niemann,None,2:32,D,"36,135",++,1979-04-24 (Rain)
"Sunday, Jul 8",boxscore,CHC,None,HOU,W,10,0,None,43-36,2, 5.0,Krukow,Forsch,Moore,2:35,D,"37,614",+++,None
"Monday, Jul 9",boxscore,CHC,@,ATL,W,7,4,None,44-36,2, 5.0,Tidrow,Niekro,Sutter,3:00,N,"3,227",++++,None
"Tuesday, Jul 10",boxscore,CHC,@,ATL,W,7,3,None,45-36,2, 4.0,Reuschel,Solomon,Sutter,2:10,N,"5,687",+++++,None
"Wednesday, Jul 11",boxscore,CHC,@,ATL,L,5,6,None,45-37,2, 4.0,Brizzolara,McGlothen,Garber,2:23,N,"8,519",-,None
"Thursday, Jul 12",boxscore,CHC,@,CIN,W,10,8,None,46-37,2, 3.0,Sutter,Bair,None,3:23,N,"21,804",+,None
"Friday, Jul 13",boxscore,CHC,@,CIN,W,3,1,None,47-37,2, 2.5,Lamp,Norman,Sutter,2:04,N,"23,990",++,None
"Saturday, Jul 14",boxscore,CHC,@,CIN,W,1,0,None,48-37,2, 1.5,Krukow,Bonham,Sutter,2:45,N,"50,335",+++,None
"Sunday, Jul 15",boxscore,CHC,@,CIN,L,1,7,None,48-38,2, 2.5,Seaver,Reuschel,None,2:24,D,"36,071",-,None
"Thursday, Jul 19",boxscore,CHC,None,ATL,L,2,8,None,48-39,2, 2.5,Niekro,Lamp,None,2:30,D,"38,319",--,None
"Friday, Jul 20",boxscore,CHC,None,ATL,W,10,2,None,49-39,2, 1.5,Reuschel,Brizzolara,None,2:20,D,"22,646",+,None
"Saturday, Jul 21",boxscore,CHC,None,ATL,W-wo,3,2,None,50-39,2, 1.5,Tidrow,Garber,None,2:31,D,"28,279",++,None
"Sunday, Jul 22",boxscore,CHC,None,CIN,L,1,12,None,50-40,3, 1.5,Bonham,Holtzman,None,2:37,D,None,-,None
"Sunday, Jul 22",boxscore,CHC,None,CIN,W,8,4,None,51-40,3, 1.5,Tidrow,Soto,None,3:09,D,"41,052",+,None
"Monday, Jul 23",boxscore,CHC,None,CIN,W-wo,2,1,None,52-40,3, 1.5,Hernandez,Hume,None,2:23,D,"36,993",++,None
"Tuesday, Jul 24",boxscore,CHC,@,HOU,L,1,6,None,52-41,3, 1.5,Forsch,Lamp,None,2:15,N,"28,431",-,None
"Wednesday, Jul 25",boxscore,CHC,@,HOU,L,4,6,None,52-42,3, 2.5,Richard,Reuschel,Sambito,2:47,N,"21,910",--,None
"Thursday, Jul 26",boxscore,CHC,@,NYM,W,9,2,None,53-42,2, 2.0,Krukow,Hausman,None,2:51,N,"4,315",+,1979-09-17 (Schedule change)
"Friday, Jul 27",boxscore,CHC,@,NYM,W,4,2,None,54-42,2, 0.5,Tidrow,Ellis,Sutter,2:25,N,"13,144",++,None
"Saturday, Jul 28",boxscore,CHC,@,NYM,L,4,6,None,54-43,3, 1.0,Falcone,Holtzman,Allen,2:43,D,"11,359",-,None
"Sunday, Jul 29",boxscore,CHC,@,NYM,L,0,4,7,54-44,3, 1.5,Kobel,Lamp,Glynn,2:03,D,"27,605",--,None
