date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Thursday, Apr 12*boxscore*CHC*None*PHI*L*4*5*None*1-1*1* Tied*Mulholland*Wilson*McDowell*2:53*D*None*-*1990-04-11 (Snow)
Thursday, Apr 12*boxscore*CHC*None*PHI*W*6*3*None*2-1*1* Tied*Nunez*Combs*Williams*2:45*D*7,717*+*1990-04-09 (Rain)
Friday, Apr 13*boxscore*CHC*@*PIT*W*2*0*None*3-1*1* Tied*Maddux*Walk*Williams*2:22*N*44,799*++*None
Saturday, Apr 14*boxscore*CHC*@*PIT*W*4*1*None*4-1*1*up 1.0*Harkey*Drabek*Williams*2:53*D*13,226*+++*None
Sunday, Apr 15*boxscore*CHC*@*PIT*L-wo*3*4*10*4-2*1*up 1.0*Patterson*Lancaster*None*3:14*D*6,289*-*None
Monday, Apr 16*boxscore*CHC*None*NYM*L*1*10*None*4-3*1* Tied*Viola*Wilson*Pena*2:48*D*13,813*--*1990-04-06 (Strike)
Tuesday, Apr 17*boxscore*CHC*@*NYM*W*8*6*13*5-3*1* Tied*Assenmacher*Innis*Wilkins*4:38*N*13,964*+*None
Wednesday, Apr 18*boxscore*CHC*@*NYM*W*8*5*None*6-3*1*up 1.0*Maddux*Cone*None*2:58*N*21,561*++*None
Thursday, Apr 19*boxscore*CHC*@*NYM*L*1*4*None*6-4*1* Tied*Gooden*Harkey*Franco*2:43*D*18,780*-*None
Friday, Apr 20*boxscore*CHC*None*PIT*L*4*9*7*6-5*2* 1.0*Roesler*Bielecki*None*2:29*D*15,171*--*None
Saturday, Apr 21*boxscore*CHC*None*PIT*L*3*4*None*6-6*3* 1.0*Smiley*Wilson*Landrum*2:33*N*37,091*---*None
Sunday, Apr 22*boxscore*CHC*None*PIT*L*2*3*None*6-7*4* 2.0*Heaton*Nunez*Power*2:38*D*33,583*----*None
Tuesday, Apr 24*boxscore*CHC*@*SDP*L*3*13*None*6-8*5* 2.5*Rasmussen*Maddux*None*2:39*N*19,474*-----*None
Wednesday, Apr 25*boxscore*CHC*@*SDP*L*0*3*None*6-9*6* 3.5*Whitson*Bielecki*None*2:22*N*22,305*------*None
Thursday, Apr 26*boxscore*CHC*@*SDP*W*3*1*None*7-9*6* 3.5*Harkey*Hurst*Williams*2:24*D*29,168*+*None
Friday, Apr 27*boxscore*CHC*@*LAD*L*0*5*None*7-10*6* 4.5*Valenzuela*Nunez*None*2:26*N*37,809*-*None
Saturday, Apr 28*boxscore*CHC*@*LAD*L-wo*4*5*None*7-11*6* 5.5*Martinez*Williams*None*2:48*N*45,791*--*None
Sunday, Apr 29*boxscore*CHC*@*LAD*W*4*0*None*8-11*6* 5.5*Maddux*Morgan*None*2:13*N*41,893*+*None
Tuesday, May 1*boxscore*CHC*@*SFG*W*7*4*None*9-11*5* 4.5*Bielecki*Knepper*Williams*3:13*N*21,714*++*None
Wednesday, May 2*boxscore*CHC*@*SFG*W*9*6*None*10-11*4* 3.5*Harkey*Garrelts*Assenmacher*2:44*D*18,279*+++*None
Saturday, May 5*boxscore*CHC*None*SDP*W-wo*3*2*None*11-11*4* 3.5*Maddux*Lefferts*None*2:28*D*None*++++*None
Saturday, May 5*boxscore*CHC*None*SDP*L*5*6*None*11-12*4* 3.5*Rasmussen*Nunez*Harris*2:33*D*33,695*-*1990-05-04 (Rain)
Sunday, May 6*boxscore*CHC*None*SDP*L*3*8*None*11-13*5* 5.0*Whitson*Bielecki*None*2:18*D*34,077*--*None
Monday, May 7*boxscore*CHC*None*ATL*L*8*9*None*11-14*5* 6.0*Kerfeld*Williams*Boever*3:19*N*32,266*---*None
Tuesday, May 8*boxscore*CHC*None*ATL*W-wo*10*8*11*12-14*5* 6.0*Long*Henry*None*3:50*D*18,503*+*None
Wednesday, May 9*boxscore*CHC*None*ATL*W*4*0*5*13-14*5* 6.0*Lancaster*Smith*None*1:14*D*14,266*++*None
Friday, May 11*boxscore*CHC*@*CIN*L*5*7*None*13-15*5* 6.5*Charlton*Williams*Dibble*2:54*N*38,900*-*None
Saturday, May 12*boxscore*CHC*@*CIN*W*4*2*None*14-15*5* 6.5*Bielecki*Browning*Williams*2:16*N*33,646*+*None
Sunday, May 13*boxscore*CHC*@*CIN*L*9*13*None*14-16*5* 7.5*Dibble*Wilson*None*3:36*D*32,251*-*None
Monday, May 14*boxscore*CHC*@*ATL*L*2*3*None*14-17*5* 7.5*Henry*Williams*Kerfeld*2:44*N*16,417*--*None
