date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Thursday, Apr 14",boxscore,CHW,None,CAL,L,1,2,None,1-1,5, 1.5,Lopez,Horlen,None,2:42,D,"3,766",-,None
"Saturday, Apr 16",boxscore,CHW,None,KCA,W-wo,2,1,11,2-1,5, 2.0,Locker,Wyatt,None,2:56,D,"6,953",+,None
"Sunday, Apr 17",boxscore,CHW,None,KCA,W,5,0,None,3-1,4, 1.0,Buzhardt,Sheldon,None,2:08,D,"15,807",++,None
"Tuesday, Apr 19",boxscore,CHW,@,CAL,W,3,1,None,4-1,4, 1.0,John,Lopez,Fisher,2:38,N,"31,660",+++,None
"Wednesday, Apr 20",boxscore,CHW,@,CAL,L-wo,3,4,11,4-2,4, 2.0,Sukla,Fisher,None,3:38,N,"12,381",-,None
"Thursday, Apr 21",boxscore,CHW,@,CAL,W,8,6,None,5-2,3, 1.5,Howard,Newman,Fisher,3:41,N,"12,726",+,None
"Saturday, Apr 23",boxscore,CHW,@,KCA,L,1,2,None,5-3,4, 2.5,Hunter,Buzhardt,Wyatt,2:18,D,"5,865",-,None
"Sunday, Apr 24",boxscore,CHW,@,KCA,W,4,3,10,6-3,4, 2.0,Fisher,Krausse,None,2:55,D,"10,084",+,None
"Monday, Apr 25",boxscore,CHW,@,WSA,W,3,2,None,7-3,4, 2.0,Pizarro,Cox,None,2:46,N,"3,772",++,None
"Tuesday, Apr 26",boxscore,CHW,@,WSA,W,4,1,None,8-3,3, 2.0,Horlen,Segui,Fisher,2:55,D,"1,124",+++,None
"Wednesday, Apr 27",boxscore,CHW,@,BOS,W,8,6,None,9-3,3, 1.5,Locker,Grilli,Higgins,3:04,D,"1,578",++++,None
"Friday, Apr 29",boxscore,CHW,@,CLE,W,4,1,None,10-3,3, 1.0,Peters,Bell,Locker,2:36,N,"13,023",+++++,None
"Sunday, May 1",boxscore,CHW,@,CLE,L,0,1,None,10-4,3, 2.5,McDowell,John,None,2:51,D,"9,655",-,None
"Tuesday, May 3",boxscore,CHW,None,MIN,L,2,4,None,10-5,3, 3.0,Pascual,Horlen,None,1:58,N,"12,487",--,None
"Wednesday, May 4",boxscore,CHW,None,MIN,L,1,6,None,10-6,3, 4.0,Kaat,Buzhardt,None,2:36,N,"11,981",---,None
"Friday, May 6",boxscore,CHW,None,DET,L,0,1,None,10-7,5, 4.5,McLain,Peters,None,2:19,N,"15,333",----,None
"Saturday, May 7",boxscore,CHW,None,DET,W,1,0,None,11-7,3, 4.5,John,Sparma,None,2:39,D,"6,929",+,None
"Sunday, May 8",boxscore,CHW,None,DET,L,1,3,11,11-8,4, 4.0,Gladding,Locker,None,3:04,D,"8,239",-,None
"Tuesday, May 10",boxscore,CHW,@,BAL,L-wo,2,3,12,11-9,5, 5.0,Watt,Locker,None,3:45,N,"6,515",--,None
"Wednesday, May 11",boxscore,CHW,@,BAL,W,3,2,11,12-9,5, 4.0,Locker,Brabender,Buzhardt,3:27,N,"10,063",+,None
"Thursday, May 12",boxscore,CHW,@,BAL,W,5,3,None,13-9,4, 3.0,Lamabe,Watt,Fisher,3:08,N,"6,079",++,None
"Friday, May 13",boxscore,CHW,@,DET,L,4,5,None,13-10,5, 4.0,McLain,Horlen,Sherry,3:05,N,"7,565",-,None
"Saturday, May 14",boxscore,CHW,@,DET,W,13,3,None,14-10,5, 4.0,Peters,Lolich,None,2:56,D,"8,084",+,None
"Sunday, May 15",boxscore,CHW,@,DET,L,6,8,None,14-11,5, 4.5,Sherry,Fisher,None,3:30,D,"13,602",-,None
"Tuesday, May 17",boxscore,CHW,@,MIN,L,3,8,None,14-12,6, 5.5,Kaat,Horlen,None,2:15,N,"13,457",--,None
"Wednesday, May 18",boxscore,CHW,@,MIN,L,1,7,None,14-13,6, 5.5,Grant,Peters,None,1:55,N,"13,196",---,None
"Thursday, May 19",boxscore,CHW,@,MIN,L-wo,3,4,10,14-14,6, 5.5,Klippstein,Locker,None,2:40,D,"9,861",----,None
"Friday, May 20",boxscore,CHW,None,CLE,L,2,3,None,14-15,6, 6.5,Bell,John,None,2:39,N,"16,530",-----,None
"Saturday, May 21",boxscore,CHW,None,CLE,W,7,2,None,15-15,6, 5.5,Pizarro,McDowell,Locker,3:05,D,"8,646",+,None
"Sunday, May 22",boxscore,CHW,None,CLE,L,2,3,None,15-16,6, 7.5,Siebert,Fisher,McDowell,3:00,D,None,-,None
"Sunday, May 22",boxscore,CHW,None,CLE,L,1,4,None,15-17,6, 7.5,O'Donoghue,Howard,None,2:45,D,"40,058",--,None
