"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Thursday, Apr 25","None","CHW","None","CLE","W",7,3,"None","2-0",1,"None","None","None","None","None",NA,"++","None",1901,0.5,4,7,3,4,1,0,1,1,NA
"Saturday, Apr 27","None","CHW","None","CLE","L",4,10,"None","2-1",4,"None","None","None","None","None",NA,"-","None",1901,-1,-6,11,13,-2,1,1,0,0.5,NA
"Sunday, Apr 28","None","CHW","None","CLE","W",13,1,"None","3-1",2,"None","None","None","None","None",NA,"+","None",1901,-1,12,24,14,10,2,1,1,0.666666666666667,NA
"Monday, Apr 29","None","CHW","None","DET","L",2,3,"None","3-2",3,"None","None","None","None","None",NA,"-","None",1901,-2,-1,26,17,9,2,2,0,0.5,NA
"Tuesday, Apr 30","None","CHW","None","DET","W",4,2,"None","4-2",3,"None","None","None","1:50","None",2000,"+","None",1901,-1,2,30,19,11,3,2,1,0.6,NA
"Wednesday, May 1","None","CHW","None","DET","W",19,9,"None","5-2",1,"None","None","None","None","None",NA,"++","None",1901,0,10,49,28,21,4,2,2,0.666666666666667,NA
"Thursday, May 2","None","CHW","None","DET","*V",5,7,"None","5-3",2,"None","None","None","None","None",NA,"-","None",1901,-1,-2,54,35,19,5,3,2,0.625,NA
"Friday, May 3","None","CHW","@","MLA","W",11,3,"None","6-3",2,"None","None","None","None","None",NA,"+","None",1901,-1,8,65,38,27,6,3,3,0.666666666666667,NA
"Saturday, May 4","None","CHW","@","MLA","W",11,3,"None","7-3",1,"None","None","None","None","None",NA,"++","None",1901,0,8,76,41,35,7,3,4,0.7,NA
"Sunday, May 5","None","CHW","@","MLA","L",7,21,"None","7-4",2,"None","None","None","None","None",NA,"-","None",1901,-1,-14,83,62,21,7,4,3,0.636363636363636,NA
"Monday, May 6","None","CHW","@","MLA","W",6,3,"None","8-4",2,"None","None","None","None","None",NA,"+","None",1901,-1,3,89,65,24,8,4,4,0.666666666666667,NA
"Wednesday, May 8","None","CHW","@","CLE","W",3,1,"None","9-4",2,"None","None","None","None","None",NA,"++","None",1901,-1,2,92,66,26,9,4,5,0.692307692307692,NA
"Thursday, May 9","None","CHW","@","CLE","W",4,2,"None","10-4",1,"None","None","None","None","None",NA,"+++","None",1901,0,2,96,68,28,10,4,6,0.714285714285714,NA
"Friday, May 10","None","CHW","@","CLE","W",5,4,"None","11-4",1,"None","None","None","None","None",NA,"++++","None",1901,0,1,101,72,29,11,4,7,0.733333333333333,NA
"Saturday, May 11","None","CHW","@","DET","L",4,9,"None","11-5",2,"None","None","None","None","None",NA,"-","None",1901,-1,-5,105,81,24,11,5,6,0.6875,NA
"Sunday, May 12","None","CHW","@","DET","L",5,7,"None","11-6",2,"None","None","None","None","None",NA,"--","None",1901,-2,-2,110,88,22,11,6,5,0.647058823529412,NA
"Monday, May 13","None","CHW","@","DET","L",7,8,"None","11-7",2,"None","None","None","None","None",NA,"---","None",1901,-3,-1,117,96,21,11,7,4,0.611111111111111,NA
"Tuesday, May 14","None","CHW","@","DET","W",6,2,"None","12-7",2,"None","None","None","None","None",NA,"+","None",1901,-2,4,123,98,25,12,7,5,0.631578947368421,NA
"Thursday, May 16","None","CHW","None","MLA","W",14,1,"None","13-7",2,"None","None","None","None","None",NA,"++","None",1901,-2,13,137,99,38,13,7,6,0.65,NA
