date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 10",boxscore,CIN,None,MON,L,1,4,None,1-1,2, 0.5,Gullickson,Tibbs,None,2:19,D,"10,491",-,None
"Friday, Apr 12",boxscore,CIN,@,NYM,L,0,1,None,1-2,6, 1.0,Berenyi,Soto,Sisk,2:24,N,"31,120",--,None
"Saturday, Apr 13",boxscore,CIN,@,NYM,L-wo,1,2,None,1-3,6, 2.0,McDowell,Franco,None,2:24,D,"26,212",---,None
"Sunday, Apr 14",boxscore,CIN,@,NYM,L,0,4,None,1-4,6, 3.0,Gooden,Tibbs,None,2:26,D,"30,456",----,None
"Monday, Apr 15",boxscore,CIN,@,ATL,W,9,8,None,2-4,6, 2.0,Stuper,Perez,Power,2:51,N,"7,404",+,None
"Tuesday, Apr 16",boxscore,CIN,@,ATL,W,2,1,None,3-4,5, 1.0,Soto,Camp,None,2:14,N,"15,175",++,None
"Wednesday, Apr 17",boxscore,CIN,@,ATL,W,6,1,None,4-4,3, 0.5,Browning,Bedrosian,None,2:08,D,"13,513",+++,None
"Thursday, Apr 18",boxscore,CIN,None,SFG,W-wo,4,3,10,5-4,2, 0.5,Willis,Minton,None,2:59,N,"12,410",++++,None
"Friday, Apr 19",boxscore,CIN,None,SFG,W,4,2,None,6-4,1,up 0.5,Stuper,Laskey,Power,2:14,N,"24,839",+++++,None
"Saturday, Apr 20",boxscore,CIN,None,SFG,W-wo,2,1,None,7-4,1,up 0.5,Soto,Williams,None,2:27,D,"18,115",++++++,None
"Sunday, Apr 21",boxscore,CIN,None,SFG,W,1,0,None,8-4,1,up 1.5,Browning,Hammaker,Power,2:16,D,"29,418",+++++++,None
"Monday, Apr 22",boxscore,CIN,@,HOU,L,1,4,None,8-5,1,up 0.5,Scott,Tibbs,Smith,2:04,N,"10,197",-,None
"Tuesday, Apr 23",boxscore,CIN,@,HOU,L,4,6,None,8-6,1, Tied,Mathis,Stuper,Smith,2:22,N,"10,414",--,None
"Wednesday, Apr 24",boxscore,CIN,@,HOU,W,8,3,None,9-6,1,up 0.5,Soto,DiPino,None,2:38,D,"8,513",+,None
"Thursday, Apr 25",boxscore,CIN,@,SFG,L,3,7,None,9-7,2, 0.5,Davis,Hume,None,2:16,D,"4,056",-,None
"Friday, Apr 26",boxscore,CIN,@,SFG,L-wo,6,7,None,9-8,2, 1.5,Blue,Power,None,2:42,N,"12,534",--,None
"Saturday, Apr 27",boxscore,CIN,@,SFG,W,2,1,None,10-8,2, 0.5,Stuper,LaPoint,None,2:10,D,"14,480",+,None
"Sunday, Apr 28",boxscore,CIN,@,SFG,L-wo,1,2,11,10-9,3, 0.5,Minton,Hume,None,3:04,D,"32,963",-,None
"Tuesday, Apr 30",boxscore,CIN,None,ATL,L,4,8,None,10-10,3, 0.5,Garber,Tibbs,None,2:29,N,"14,356",--,None
"Wednesday, May 1",boxscore,CIN,None,ATL,L,9,17,None,10-11,5, 1.5,Mahler,Stuper,None,2:47,D,"6,412",---,None
