"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, May 3","None","CIN","None","PIT","W",7,3,"None","1-1",3,"None","None","None","None","None",NA,"+","None",1882,-1,4,7,3,4,1,0,1,1,NA
"Thursday, May 4","None","CIN","None","PIT","W",19,10,"None","2-1",2,"None","None","None","None","None",NA,"++","None",1882,-1,9,26,13,13,2,0,2,1,NA
"Monday, May 8","None","CIN","None","PIT","L",0,2,"None","2-2",2,"None","None","None","None","None",NA,"-","1882-05-06 (Unknown reason)",1882,-0.5,-2,26,15,11,2,1,1,0.666666666666667,NA
"Saturday, May 13","None","CIN","None","LOU","L",1,11,"None","2-3",4,"None","None","None","None","None",NA,"--","None",1882,-1.5,-10,27,26,1,2,2,0,0.5,NA
"Tuesday, May 16","None","CIN","None","PIT","W",9,4,"None","3-3",2,"None","None","None","None","None",NA,"+","1882-05-16 (Site change)",1882,-1.5,5,36,30,6,3,2,1,0.6,NA
"Thursday, May 18","None","CIN","@","PIT","W",3,2,"None","4-3",2,"None","None","None","None","None",NA,"++","None",1882,-2,1,39,32,7,4,2,2,0.666666666666667,NA
"Friday, May 19","None","CIN","@","PIT","L",7,8,"None","4-4",3,"None","None","None","None","None",NA,"-","None",1882,-2,-1,46,40,6,4,3,1,0.571428571428571,NA
"Saturday, May 20","None","CIN","@","PIT","L",3,5,"None","4-5",4,"None","None","None","None","None",NA,"--","None",1882,-2.5,-2,49,45,4,4,4,0,0.5,NA
"Tuesday, May 23","None","CIN","@","BAL","W",12,8,"None","5-5",4,"None","None","None","None","None",NA,"+","None",1882,-2,4,61,53,8,5,4,1,0.555555555555556,NA
"Thursday, May 25","None","CIN","@","BAL","L",5,6,"None","5-6",4,"None","None","None","None","None",NA,"-","None",1882,-2.5,-1,66,59,7,5,5,0,0.5,NA
