date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 20",boxscore,CLE,@,SLB,W,7,3,None,1-1,4, 1.0,Lemon,Drews,None,2:08,D,"2,919",+,None
"Thursday, Apr 21",boxscore,CLE,@,SLB,W,8,2,None,2-1,2, 1.0,Gromek,Starr,None,2:00,D,"2,995",++,None
"Friday, Apr 22",boxscore,CLE,None,DET,W-wo,4,3,10,3-1,2, 1.0,Bearden,Trout,None,2:30,D,"63,500",+++,None
"Saturday, Apr 23",boxscore,CLE,None,DET,L,4,5,10,3-2,3, 1.0,Newhouser,Zoldak,None,2:35,D,"25,031",-,None
"Tuesday, Apr 26",boxscore,CLE,None,SLB,W,1,0,None,4-2,3, 2.0,Lemon,Embree,None,1:39,D,"8,150",+,None
"Wednesday, Apr 27",boxscore,CLE,None,CHW,W,11,3,None,5-2,2, 1.0,Garcia,Gettel,None,2:31,D,"9,670",++,None
"Friday, Apr 29",boxscore,CLE,@,DET,W,4,1,None,6-2,2, 1.5,Bearden,Hutchinson,None,1:55,D,"17,500",+++,None
"Saturday, Apr 30",boxscore,CLE,@,DET,L,5,7,None,6-3,2, 2.5,Trucks,Paige,None,2:40,D,"56,340",-,None
"Sunday, May 1",boxscore,CLE,@,DET,L,2,3,None,6-4,3, 2.5,Newhouser,Lemon,None,1:45,D,"53,486",--,None
"Wednesday, May 4",boxscore,CLE,None,PHA,W,4,3,None,7-4,2, 3.0,Bearden,Fowler,Benton,2:38,D,"15,500",+,None
"Thursday, May 5",boxscore,CLE,None,BOS,W,7,3,None,8-4,2, 3.0,Feller,Kramer,None,2:15,D,"15,500",++,None
"Saturday, May 7",boxscore,CLE,None,BOS,W-wo,4,3,12,9-4,2, 2.5,Garcia,Parnell,None,3:00,D,"26,037",+++,None
"Sunday, May 8",boxscore,CLE,None,WSH,L,3,7,None,9-5,2, 4.0,Scarborough,Bearden,None,2:15,D,None,-,None
"Sunday, May 8",boxscore,CLE,None,WSH,L,0,2,None,9-6,2, 4.0,Hudson,Benton,None,2:19,D,"49,750",--,None
"Tuesday, May 10",boxscore,CLE,None,WSH,L,0,1,None,9-7,3, 4.5,Haefner,Gromek,None,1:45,D,"6,308",---,None
"Wednesday, May 11",boxscore,CLE,None,NYY,W,3,2,None,10-7,2, 3.5,Benton,Porterfield,Garcia,2:42,N,"61,400",+,None
"Friday, May 13",boxscore,CLE,@,CHW,L,10,11,None,10-8,3, 4.0,Pieretti,Garcia,None,3:11,N,"36,914",-,None
"Sunday, May 15",boxscore,CLE,@,CHW,L,0,10,None,10-9,5, 3.5,Wight,Feller,None,2:00,D,None,--,None
"Sunday, May 15",boxscore,CLE,@,CHW,L,0,2,None,10-10,5, 3.5,Gettel,Gromek,None,1:50,D,"53,325",---,None
"Tuesday, May 17",boxscore,CLE,@,NYY,L,3,4,None,10-11,6, 4.5,Lopat,Bearden,None,2:04,N,"73,150",----,None
"Wednesday, May 18",boxscore,CLE,@,NYY,L,0,6,None,10-12,7, 5.5,Raschi,Feller,None,1:57,D,"28,606",-----,None
"Thursday, May 19",boxscore,CLE,@,NYY,W,3,2,None,11-12,6, 4.5,Gromek,Porterfield,None,2:00,D,"18,571",+,None
"Saturday, May 21",boxscore,CLE,@,BOS,L,0,4,None,11-13,7, 5.5,Dobson,Benton,None,2:00,D,"35,961",-,None
"Sunday, May 22",boxscore,CLE,@,PHA,L,4,5,None,11-14,7, 6.5,Kellner,Paige,None,2:22,D,None,--,None
"Sunday, May 22",boxscore,CLE,@,PHA,L,3,7,7,11-15,7, 6.5,Brissie,Garcia,None,2:00,D,"23,403",---,None
"Monday, May 23",boxscore,CLE,@,PHA,W,7,3,None,12-15,7, 6.5,Wynn,McCahan,None,2:14,N,"23,614",+,None
"Wednesday, May 25",boxscore,CLE,@,WSH,L,2,6,None,12-16,7, 8.0,Hudson,Gromek,None,2:02,N,"28,573",-,None
"Thursday, May 26",boxscore,CLE,@,WSH,L,4,5,8,12-17,7, 8.5,Haefner,Bearden,None,2:04,N,"16,919",--,None
"Friday, May 27",boxscore,CLE,None,CHW,W,4,0,None,13-17,7, 8.5,Benton,Wight,None,1:53,N,"33,235",+,None
"Saturday, May 28",boxscore,CLE,None,CHW,W-wo,3,2,11,14-17,7, 8.5,Wynn,Judson,None,3:05,D,"10,929",++,None
"Sunday, May 29",boxscore,CLE,None,CHW,L,2,4,None,14-18,7, 8.0,Gumpert,Gromek,None,2:15,D,None,-,None
"Sunday, May 29",boxscore,CLE,None,CHW,W-wo,2,1,11,15-18,7, 8.0,Paige,Pierce,None,3:25,D,"47,769",+,None
"Monday, May 30",boxscore,CLE,None,SLB,W-wo,2,1,12,16-18,6, 7.0,Bearden,Garver,None,3:00,D,None,++,None
"Monday, May 30",boxscore,CLE,None,SLB,W,5,0,None,17-18,6, 7.0,Garcia,Fannin,None,1:55,D,"33,809",+++,None
"Wednesday, Jun 1",boxscore,CLE,None,BOS,L,1,3,None,17-19,6, 8.0,Harris,Feller,None,2:45,N,"45,427",-,None
"Thursday, Jun 2",boxscore,CLE,None,BOS,W,8,3,None,18-19,6, 8.0,Lemon,Kinder,None,2:22,N,"35,538",+,None
"Friday, Jun 3",boxscore,CLE,None,BOS,W,8,1,None,19-19,5, 8.0,Wynn,Dobson,None,2:08,D,"12,575",++,None
"Saturday, Jun 4",boxscore,CLE,None,PHA,L,3,10,None,19-20,6, 9.0,Fowler,Bearden,None,2:12,D,"16,443",-,None
"Sunday, Jun 5",boxscore,CLE,None,PHA,L,0,3,None,19-21,6, 10.0,Shantz,Feller,None,2:15,D,None,--,None
"Sunday, Jun 5",boxscore,CLE,None,PHA,L,2,4,None,19-22,6, 10.0,Harris,Paige,None,2:25,D,"50,291",---,None
"Monday, Jun 6",boxscore,CLE,None,PHA,W,11,5,None,20-22,6, 9.5,Garcia,Coleman,Benton,2:20,N,"17,920",+,None
"Tuesday, Jun 7",boxscore,CLE,None,WSH,W,13,11,None,21-22,6, 8.5,Paige,Haynes,None,3:06,N,"17,796",++,None
"Wednesday, Jun 8",boxscore,CLE,None,WSH,W,8,3,None,22-22,6, 7.5,Lemon,Calvert,None,2:05,N,"21,360",+++,None
"Friday, Jun 10",boxscore,CLE,None,NYY,L,2,3,None,22-23,5, 8.0,Raschi,Bearden,None,2:00,N,"67,031",-,None
"Saturday, Jun 11",boxscore,CLE,None,NYY,L,7,12,None,22-24,6, 9.0,Reynolds,Feller,Page,2:18,D,"61,523",--,None
"Sunday, Jun 12",boxscore,CLE,None,NYY,W,6,0,None,23-24,6, 7.0,Lemon,Lopat,None,2:04,D,None,+,None
"Sunday, Jun 12",boxscore,CLE,None,NYY,W,3,1,8,24-24,6, 7.0,Garcia,Byrne,None,2:01,D,"77,543",++,None
