"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Thursday, Apr 25","None","CLE","@","CHW","L",3,7,"None","0-2",8,"None","None","None","None","None",NA,"--","None",1901,-2,-4,3,7,-4,0,1,-1,0,NA
"Saturday, Apr 27","None","CLE","@","CHW","W",10,4,"None","1-2",5,"None","None","None","None","None",NA,"+","None",1901,-2,6,13,11,2,1,1,0,0.5,NA
"Sunday, Apr 28","None","CLE","@","CHW","L",1,13,"None","1-3",5,"None","None","None","None","None",NA,"-","None",1901,-3,-12,14,24,-10,1,2,-1,0.333333333333333,NA
"Monday, Apr 29","None","CLE","None","MLA","W",4,3,"None","2-3",5,"None","None","None","None","None",NA,"+","None",1901,-3,1,18,27,-9,2,2,0,0.5,NA
"Tuesday, Apr 30","None","CLE","None","MLA","L",6,8,"None","2-4",5,"None","None","None","1:58","None",1655,"-","None",1901,-3,-2,24,35,-11,2,3,-1,0.4,NA
"Wednesday, May 1","None","CLE","None","MLA","W",6,3,"None","3-4",5,"None","None","None","None","None",NA,"+","None",1901,-2,3,30,38,-8,3,3,0,0.5,NA
"Thursday, May 2","None","CLE","None","MLA","L",7,9,"None","3-5",5,"None","None","None","None","None",NA,"-","None",1901,-3,-2,37,47,-10,3,4,-1,0.428571428571429,NA
"Friday, May 3","None","CLE","@","DET","L",3,6,"None","3-6",6,"None","None","None","None","None",NA,"--","None",1901,-4,-3,40,53,-13,3,5,-2,0.375,NA
"Saturday, May 4","None","CLE","@","DET","W",11,4,"None","4-6",5,"None","None","None","None","None",NA,"+","None",1901,-3,7,51,57,-6,4,5,-1,0.444444444444444,NA
"Sunday, May 5","None","CLE","@","DET","L",3,10,"None","4-7",7,"None","None","None","None","None",NA,"-","None",1901,-4,-7,54,67,-13,4,6,-2,0.4,NA
"Monday, May 6","None","CLE","@","DET","L",4,5,"None","4-8",7,"None","None","None","None","None",NA,"--","None",1901,-5,-1,58,72,-14,4,7,-3,0.363636363636364,NA
"Wednesday, May 8","None","CLE","None","CHW","L",1,3,"None","4-9",7,"None","None","None","None","None",NA,"---","None",1901,-6,-2,59,75,-16,4,8,-4,0.333333333333333,NA
"Thursday, May 9","None","CLE","None","CHW","L",2,4,"None","4-10",7,"None","None","None","None","None",NA,"----","None",1901,-6,-2,61,79,-18,4,9,-5,0.307692307692308,NA
"Friday, May 10","None","CLE","None","CHW","L",4,5,"None","4-11",7,"None","None","None","None","None",NA,"-----","None",1901,-7,-1,65,84,-19,4,10,-6,0.285714285714286,NA
"Saturday, May 11","None","CLE","@","MLA","L",5,12,"None","4-12",8,"None","None","None","None","None",NA,"------","None",1901,-8,-7,70,96,-26,4,11,-7,0.266666666666667,NA
"Sunday, May 12","None","CLE","@","MLA","L",2,5,"None","4-13",8,"None","None","None","None","None",NA,"-------","None",1901,-9,-3,72,101,-29,4,12,-8,0.25,NA
"Monday, May 13","None","CLE","@","MLA","L",4,5,"None","4-14",8,"None","None","None","None","None",NA,"--------","None",1901,-10,-1,76,106,-30,4,13,-9,0.235294117647059,NA
"Tuesday, May 14","None","CLE","@","MLA","L",1,11,"None","4-15",8,"None","None","None","None","None",NA,"---------","None",1901,-10,-10,77,117,-40,4,14,-10,0.222222222222222,NA
"Thursday, May 16","None","CLE","None","DET","L",2,5,"None","4-16",8,"None","None","None","None","None",NA,"----------","None",1901,-11,-3,79,122,-43,4,15,-11,0.210526315789474,NA
"Friday, May 17","None","CLE","None","DET","L",4,6,"None","4-17",8,"None","None","None","None","None",NA,"-----------","None",1901,-12,-2,83,128,-45,4,16,-12,0.2,NA
"Saturday, May 18","None","CLE","None","DET","W",9,7,"None","5-17",8,"None","None","None","None","None",NA,"+","None",1901,-11,2,92,135,-43,5,16,-11,0.238095238095238,NA
"Sunday, May 19","None","CLE","@","DET","W",11,2,"None","6-17",8,"None","None","None","None","None",NA,"++","None",1901,-10,9,103,137,-34,6,16,-10,0.272727272727273,NA
"Monday, May 20","None","CLE","None","DET","L",1,13,"None","6-18",8,"None","None","None","None","None",NA,"-","None",1901,-11,-12,104,150,-46,6,17,-11,0.260869565217391,NA
"Wednesday, May 22","None","CLE","None","WSH","W",6,5,"None","7-18",8,"None","None","None","None","None",NA,"+","None",1901,-10,1,110,155,-45,7,17,-10,0.291666666666667,NA
"Thursday, May 23","None","CLE","None","WSH","W",14,13,"None","8-18",8,"None","None","None","None","None",NA,"++","None",1901,-9.5,1,124,168,-44,8,17,-9,0.32,NA
"Friday, May 24","None","CLE","None","WSH","T",5,5,"None","8-18",8,"None","None","None","None","None",NA,"++","None",1901,-9.5,0,129,173,-44,9,18,-9,0.333333333333333,NA
"Saturday, May 25","None","CLE","None","BOS","L",0,5,"None","8-19",8,"None","None","None","None","None",NA,"-","None",1901,-10.5,-5,129,178,-49,9,19,-10,0.321428571428571,NA
"Thursday, May 30","None","CLE","None","PHA","L",1,3,"None","8-20",8,"None","None","None","1:30","None",3500,"--","None",1901,-13.5,-2,130,181,-51,9,20,-11,0.310344827586207,NA
"Thursday, May 30","None","CLE","None","PHA","L",2,8,"None","8-21",8,"None","None","None","None","None",7500,"---","None",1901,-13.5,-6,132,189,-57,9,21,-12,0.3,NA
"Friday, May 31","None","CLE","None","PHA","L",14,15,"None","8-22",8,"None","None","None","None","None",NA,"----","None",1901,-14.5,-1,146,204,-58,9,22,-13,0.290322580645161,NA
"Saturday, Jun 1","None","CLE","None","PHA","L",2,6,"None","8-23",8,"None","None","None","None","None",NA,"-----","None",1901,-14.5,-4,148,210,-62,9,23,-14,0.28125,NA
"Monday, Jun 3","None","CLE","None","BLA","L",2,7,"None","8-24",8,"None","None","None","None","None",NA,"------","None",1901,-14,-5,150,217,-67,9,24,-15,0.272727272727273,NA
"Tuesday, Jun 4","None","CLE","None","BLA","W",5,1,"None","9-24",8,"None","None","None","None","None",NA,"+","None",1901,-14,4,155,218,-63,10,24,-14,0.294117647058824,NA
"Thursday, Jun 6","None","CLE","None","BLA","W",4,2,"None","10-24",8,"None","None","None","None","None",NA,"++","None",1901,-13.5,2,159,220,-61,11,24,-13,0.314285714285714,NA
"Friday, Jun 7","None","CLE","@","BLA","L",9,10,"None","10-25",8,"None","None","None","None","None",NA,"-","None",1901,-14.5,-1,168,230,-62,11,25,-14,0.305555555555556,NA
"Saturday, Jun 8","None","CLE","@","BLA","W",13,5,"None","11-25",8,"None","None","None","None","None",NA,"+","None",1901,-13.5,8,181,235,-54,12,25,-13,0.324324324324324,NA
"Monday, Jun 10","None","CLE","@","BLA","W",13,6,"None","12-25",8,"None","None","None","None","None",NA,"++","None",1901,-13.5,7,194,241,-47,13,25,-12,0.342105263157895,NA
"Tuesday, Jun 11","None","CLE","@","BLA","W",8,5,"None","13-25",8,"None","None","None","None","None",NA,"+++","None",1901,-12.5,3,202,246,-44,14,25,-11,0.358974358974359,NA
"Wednesday, Jun 12","None","CLE","@","WSH","W",6,0,"None","14-25",8,"None","None","None","None","None",NA,"++++","None",1901,-11.5,6,208,246,-38,15,25,-10,0.375,NA
"Saturday, Jun 15","None","CLE","@","WSH","W",5,3,"None","15-25",7,"None","None","None","None","None",NA,"+++++","None",1901,-12,2,213,249,-36,16,25,-9,0.390243902439024,NA
"Monday, Jun 17","None","CLE","@","PHA","L",8,12,"None","15-26",7,"None","None","None","None","None",NA,"-","None",1901,-11.5,-4,221,261,-40,16,26,-10,0.380952380952381,NA
"Tuesday, Jun 18","None","CLE","@","PHA","W",9,5,"None","16-26",7,"None","None","None","None","None",NA,"+","None",1901,-10.5,4,230,266,-36,17,26,-9,0.395348837209302,NA
"Wednesday, Jun 19","None","CLE","@","PHA","L",3,4,"None","16-27",7,"None","None","None","None","None",NA,"-","None",1901,-10.5,-1,233,270,-37,17,27,-10,0.386363636363636,NA
"Thursday, Jun 20","None","CLE","@","PHA","W",6,4,"None","17-27",7,"None","None","None","None","None",NA,"+","None",1901,-9.5,2,239,274,-35,18,27,-9,0.4,NA
"Friday, Jun 21","None","CLE","@","BOS","L",3,4,"None","17-28",7,"None","None","None","None","None",NA,"-","None",1901,-10.5,-1,242,278,-36,18,28,-10,0.391304347826087,NA
"Saturday, Jun 22","None","CLE","@","BOS","L",1,8,"None","17-29",7,"None","None","None","None","None",NA,"--","None",1901,-11.5,-7,243,286,-43,18,29,-11,0.382978723404255,NA
"Monday, Jun 24","None","CLE","@","BOS","W",7,1,"None","18-29",7,"None","None","None","None","None",NA,"+","None",1901,-11.5,6,250,287,-37,19,29,-10,0.395833333333333,NA
"Tuesday, Jun 25","None","CLE","@","BOS","L",2,4,"None","18-30",7,"None","None","None","None","None",NA,"-","None",1901,-12.5,-2,252,291,-39,19,30,-11,0.387755102040816,NA
"Wednesday, Jun 26","None","CLE","None","MLA","L",5,8,"None","18-31",7,"None","None","None","None","None",NA,"--","None",1901,-13,-3,257,299,-42,19,31,-12,0.38,NA
"Thursday, Jun 27","None","CLE","@","CHW","L",1,5,"None","18-32",7,"None","None","None","None","None",NA,"---","None",1901,-14,-4,258,304,-46,19,32,-13,0.372549019607843,NA
"Friday, Jun 28","None","CLE","@","CHW","L",6,7,"None","18-33",7,"None","None","None","None","None",NA,"----","None",1901,-15,-1,264,311,-47,19,33,-14,0.365384615384615,NA
"Saturday, Jun 29","None","CLE","@","CHW","L",1,4,"None","18-34",7,"None","None","None","None","None",NA,"-----","None",1901,-16,-3,265,315,-50,19,34,-15,0.358490566037736,NA
"Sunday, Jun 30","None","CLE","@","MLA","W",7,0,"None","19-34",7,"None","None","None","None","None",NA,"+","None",1901,-16,7,272,315,-43,20,34,-14,0.37037037037037,NA
"Monday, Jul 1","None","CLE","@","MLA","W",8,5,"None","20-34",7,"None","None","None","None","None",NA,"++","None",1901,-15.5,3,280,320,-40,21,34,-13,0.381818181818182,NA
"Tuesday, Jul 2","None","CLE","@","MLA","W",6,4,"None","21-34",7,"None","None","None","None","None",NA,"+++","None",1901,-15.5,2,286,324,-38,22,34,-12,0.392857142857143,NA
"Wednesday, Jul 3","None","CLE","None","CHW","L",3,4,"None","21-35",7,"None","None","None","None","None",NA,"-","None",1901,-16.5,-1,289,328,-39,22,35,-13,0.385964912280702,NA
"Thursday, Jul 4","None","CLE","None","CHW","W",8,2,"None","22-35",7,"None","None","None","None","None",NA,"+","None",1901,-14.5,6,297,330,-33,23,35,-12,0.396551724137931,NA
"Thursday, Jul 4","None","CLE","None","CHW","W",6,5,"None","23-35",7,"None","None","None","None","None",NA,"++","None",1901,-14.5,1,303,335,-32,24,35,-11,0.406779661016949,NA
"Friday, Jul 5","None","CLE","None","MLA","L",2,6,"None","23-36",7,"None","None","None","None","None",NA,"-","None",1901,-15.5,-4,305,341,-36,24,36,-12,0.4,NA
"Saturday, Jul 6","None","CLE","None","MLA","W",11,6,"None","24-36",7,"None","None","None","None","None",NA,"+","None",1901,-14.5,5,316,347,-31,25,36,-11,0.409836065573771,NA
"Sunday, Jul 7","None","CLE","@","MLA","L",0,2,"None","24-37",7,"None","None","None","None","None",NA,"-","None",1901,-15,-2,316,349,-33,25,37,-12,0.403225806451613,NA
"Tuesday, Jul 9","None","CLE","None","DET","L",1,11,"None","24-38",7,"None","None","None","None","None",NA,"--","None",1901,-16,-10,317,360,-43,25,38,-13,0.396825396825397,NA
"Wednesday, Jul 10","None","CLE","None","DET","L",4,7,"None","24-39",7,"None","None","None","None","None",NA,"---","None",1901,-16.5,-3,321,367,-46,25,39,-14,0.390625,NA
"Thursday, Jul 11","None","CLE","None","DET","W",6,1,"None","25-39",7,"None","None","None","None","None",NA,"+","None",1901,-16.5,5,327,368,-41,26,39,-13,0.4,NA
"Friday, Jul 12","None","CLE","@","DET","W",5,2,"None","26-39",7,"None","None","None","None","None",NA,"++","None",1901,-16.5,3,332,370,-38,27,39,-12,0.409090909090909,NA
"Saturday, Jul 13","None","CLE","@","DET","L",12,19,"None","26-40",7,"None","None","None","None","None",NA,"-","None",1901,-16.5,-7,344,389,-45,27,40,-13,0.402985074626866,NA
"Sunday, Jul 14","None","CLE","@","DET","L",0,5,"None","26-41",7,"None","None","None","None","None",NA,"--","None",1901,-17.5,-5,344,394,-50,27,41,-14,0.397058823529412,NA
"Tuesday, Jul 16","None","CLE","None","BOS","L",8,10,"None","26-42",7,"None","None","None","None","None",NA,"---","None",1901,-18,-2,352,404,-52,27,42,-15,0.391304347826087,NA
"Wednesday, Jul 17","None","CLE","None","BOS","L",3,9,"None","26-43",7,"None","None","None","None","None",NA,"----","None",1901,-19.5,-6,355,413,-58,27,43,-16,0.385714285714286,NA
"Wednesday, Jul 17","None","CLE","None","BOS","L",2,10,"None","26-44",7,"None","None","None","None","None",NA,"-----","1901-05-28 (Rain)",1901,-19.5,-8,357,423,-66,27,44,-17,0.380281690140845,NA
"Thursday, Jul 18","None","CLE","None","BOS","W",6,5,"None","27-44",7,"None","None","None","None","None",NA,"+","None",1901,-19.5,1,363,428,-65,28,44,-16,0.388888888888889,NA
"Friday, Jul 19","None","CLE","None","BOS","W",2,1,"None","28-44",7,"None","None","None","None","None",NA,"++","1901-05-27 (Wet grounds)",1901,-18.5,1,365,429,-64,29,44,-15,0.397260273972603,NA
"Saturday, Jul 20","None","CLE","None","WSH","L",7,9,"None","28-45",7,"None","None","None","None","None",NA,"-","None",1901,-18.5,-2,372,438,-66,29,45,-16,0.391891891891892,NA
"Monday, Jul 22","None","CLE","None","WSH","W",6,3,"None","29-45",7,"None","None","None","None","None",NA,"+","None",1901,-18,3,378,441,-63,30,45,-15,0.4,NA
"Tuesday, Jul 23","None","CLE","None","WSH","T",4,4,"None","29-45",7,"None","None","None","None","None",NA,"+","None",1901,-18.5,0,382,445,-63,31,46,-15,0.402597402597403,NA
"Wednesday, Jul 24","None","CLE","None","BLA","L",6,9,"None","29-46",7,"None","None","None","None","None",NA,"-","None",1901,-19.5,-3,388,454,-66,31,47,-16,0.397435897435897,NA
"Thursday, Jul 25","None","CLE","None","BLA","L",1,5,"None","29-47",7,"None","None","None","None","None",NA,"--","None",1901,-20.5,-4,389,459,-70,31,48,-17,0.392405063291139,NA
"Friday, Jul 26","None","CLE","None","BLA","L",1,6,"None","29-48",7,"None","None","None","None","None",NA,"---","None",1901,-21.5,-5,390,465,-75,31,49,-18,0.3875,NA
"Saturday, Jul 27","None","CLE","None","PHA","W",4,3,"None","30-48",7,"None","None","None","None","None",NA,"+","None",1901,-21.5,1,394,468,-74,32,49,-17,0.395061728395062,NA
"Tuesday, Jul 30","None","CLE","None","PHA","L",5,11,"None","30-49",7,"None","None","None","None","None",NA,"-","None",1901,-21.5,-6,399,479,-80,32,50,-18,0.390243902439024,NA
"Friday, Aug 2","None","CLE","@","MLA","W",7,0,"None","31-49",7,"None","None","None","None","None",NA,"+","None",1901,-22.5,7,406,479,-73,33,50,-17,0.397590361445783,NA
"Saturday, Aug 3","None","CLE","@","MLA","W",8,7,"None","32-49",7,"None","None","None","None","None",NA,"++","None",1901,-21.5,1,414,486,-72,34,50,-16,0.404761904761905,NA
"Sunday, Aug 4","None","CLE","@","CHW","L",5,9,"None","32-50",7,"None","None","None","None","None",NA,"-","None",1901,-22.5,-4,419,495,-76,34,51,-17,0.4,NA
"Monday, Aug 5","None","CLE","@","CHW","W",6,3,"None","33-50",7,"None","None","None","None","None",NA,"+","None",1901,-21.5,3,425,498,-73,35,51,-16,0.406976744186047,NA
"Wednesday, Aug 7","None","CLE","None","MLA","W",5,4,"None","34-50",7,"None","None","None","None","None",NA,"++","None",1901,-20.5,1,430,502,-72,36,51,-15,0.413793103448276,NA
