"team","var","min_val","max_val"
"CLE","date",Inf,-Inf
"CLE","boxscore",0,0
"CLE","team",Inf,-Inf
"CLE","home_or_away",0,0
"CLE","opponent",Inf,-Inf
"CLE","win_or_loss",Inf,-Inf
"CLE","runs",0,27
"CLE","runs_allowed",0,24
"CLE","innings",0,22
"CLE","win_loss_record",Inf,-Inf
"CLE","rank",1,10
"CLE","games_behind",0.5,49
"CLE","win",0,0
"CLE","loss",0,0
"CLE","save",0,0
"CLE","time",0,0
"CLE","day_or_night",0,0
"CLE","attendance",0,86563
"CLE","streak",Inf,-Inf
"CLE","originally_scheduled",0,0
"CLE","year",1901,2017
"CLE","games_ahead",-49,30
"CLE","run_diff",-21,24
"CLE","r_so_far",3,82235
"CLE","ra_so_far",7,80418
"CLE","rd_so_far",-214,2503
"CLE","wins_so_far",0,9337
"CLE","losses_so_far",1,8943
"CLE","record_so_far",0,0.535046728971963
"CLE","attendance_so_far",0,243927619
