date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Thursday, Apr 27",boxscore,COL,None,NYM,W-wo,8,7,None,2-0,1, Tied,Reed,Lomon,None,3:32,D,"38,087",++,None
"Friday, Apr 28",boxscore,COL,@,HOU,W,2,1,None,3-0,1, Tied,Leskanic,Kile,Ruffin,2:47,N,"30,405",+++,None
"Saturday, Apr 29",boxscore,COL,@,HOU,W,2,1,None,4-0,1,up 1.0,Olivares,Hampton,Ruffin,2:54,N,"19,074",++++,None
"Sunday, Apr 30",boxscore,COL,@,HOU,L,1,3,None,4-1,1, Tied,Brocail,Leskanic,Hudek,2:35,D,"14,455",-,None
"Monday, May 1",boxscore,COL,None,SDP,W,8,3,None,5-1,1,up 1.0,Holmes,Mauser,None,2:55,N,"40,117",+,None
"Tuesday, May 2",boxscore,COL,None,SDP,W-wo,6,5,11,6-1,1,up 2.0,Bailey,Williams,None,3:34,N,"38,387",++,None
"Wednesday, May 3",boxscore,COL,None,SDP,W,12,7,None,7-1,1,up 3.0,Bailey,Hamilton,Ruffin,3:28,D,"37,193",+++,None
"Friday, May 5",boxscore,COL,None,LAD,L,4,6,None,7-2,1,up 1.5,Martinez,Olivares,Seanez,3:18,N,"46,395",-,None
"Saturday, May 6",boxscore,COL,None,LAD,L,11,17,None,7-3,1,up 0.5,Williams,Acevedo,None,3:50,D,"48,394",--,None
"Sunday, May 7",boxscore,COL,None,LAD,L,10,12,None,7-4,2, 0.5,Daal,Reed,Valdez,3:32,D,"48,117",---,None
"Tuesday, May 9",boxscore,COL,None,SFG,W,10,6,None,8-4,1,up 0.5,Ritz,Wilson,None,2:59,N,"41,307",+,None
"Wednesday, May 10",boxscore,COL,None,SFG,W,8,5,None,9-4,1,up 1.5,Holmes,Bautista,None,3:02,N,"43,690",++,None
"Thursday, May 11",boxscore,COL,None,SFG,W,10,4,None,10-4,1,up 2.0,Acevedo,Mulholland,Reed,2:42,D,"45,609",+++,None
"Friday, May 12",boxscore,COL,@,FLA,W,10,6,None,11-4,1,up 2.0,Swift,Gardner,Ruffin,3:24,N,"22,267",++++,None
"Saturday, May 13",boxscore,COL,@,FLA,L,2,8,None,11-5,1,up 2.0,Witt,Freeman,None,2:42,N,"33,626",-,None
