"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, Apr 7","boxscore","COL","@","NYM","L",1,6,"None","0-2",6,"Saberhagen","Ruffin","None","2:33","D",27290,"--","None",1993,-1.5,-5,1,6,-5,0,1,0,27290
"Friday, Apr 9","boxscore","COL","None","MON","W",11,4,"None","1-2",2,"Smith","Bottenfield","None","2:42","D",80227,"+","None",1993,-2,7,12,10,2,1,1,0.5,107517
"Saturday, Apr 10","boxscore","COL","None","MON","W",9,5,"None","2-2",2,"Nied","Martinez","None","2:48","D",65261,"++","None",1993,-1,4,21,15,6,2,1,0.666666666666667,172778
"Sunday, Apr 11","boxscore","COL","None","MON","L",9,19,"None","2-3",4,"Jones","Henry","None","3:47","D",66987,"-","None",1993,-2,-10,30,34,-4,2,2,0.5,239765
"Tuesday, Apr 13","boxscore","COL","None","NYM","L",4,8,"None","2-4",4,"Saberhagen","Holmes","None","3:24","N",52087,"--","None",1993,-2.5,-4,34,42,-8,2,3,0.4,291852
"Wednesday, Apr 14","boxscore","COL","None","NYM","L",3,6,"None","2-5",4,"Fernandez","Smith","Maddux","2:56","N",57489,"---","None",1993,-2.5,-3,37,48,-11,2,4,0.333333333333333,349341
"Thursday, Apr 15","boxscore","COL","None","NYM","W",5,3,"None","3-5",4,"Nied","Gooden","None","2:14","D",52608,"+","None",1993,-2,2,42,51,-9,3,4,0.428571428571429,401949
"Friday, Apr 16","boxscore","COL","@","MON","L",2,3,"None","3-6",4,"Bottenfield","Henry","Rojas","2:14","N",17483,"-","None",1993,-3,-1,44,54,-10,3,5,0.375,419432
"Saturday, Apr 17","boxscore","COL","@","MON","W",9,1,"None","4-6",4,"Ruffin","Martinez","None","2:48","D",23166,"+","None",1993,-2,8,53,55,-2,4,5,0.444444444444444,442598
"Sunday, Apr 18","boxscore","COL","@","MON","L",2,4,"None","4-7",6,"Hill","Wayne","None","3:04","D",25034,"-","None",1993,-3,-2,55,59,-4,4,6,0.4,467632
"Tuesday, Apr 20","boxscore","COL","@","STL","L",0,5,"None","4-8",6,"Arocha","Smith","Olivares","2:17","N",30516,"--","None",1993,-4,-5,55,64,-9,4,7,0.363636363636364,498148
"Wednesday, Apr 21","boxscore","COL","@","STL","W",11,2,"None","5-8",4,"Nied","Magrane","None","2:44","N",25434,"+","None",1993,-3,9,66,66,0,5,7,0.416666666666667,523582
"Thursday, Apr 22","boxscore","COL","@","STL","L",2,5,"None","5-9",5,"Perez","Wayne","Smith","2:26","D",34218,"-","None",1993,-4,-3,68,71,-3,5,8,0.384615384615385,557800
"Friday, Apr 23","boxscore","COL","None","FLA","W",5,4,"None","6-9",4,"Reed","Hammond","Holmes","2:46","N",57784,"+","None",1993,-3,1,73,75,-2,6,8,0.428571428571429,615584
"Saturday, Apr 24","boxscore","COL","None","FLA","L",1,2,"None","6-10",5,"Aquino","Ashby","Harvey","3:14","D",58263,"-","None",1993,-4,-1,74,77,-3,6,9,0.4,673847
"Sunday, Apr 25","boxscore","COL","None","FLA","L",1,11,"None","6-11",5,"Bowen","Smith","None","2:53","D",71192,"--","None",1993,-4,-10,75,88,-13,6,10,0.375,745039
"Monday, Apr 26","boxscore","COL","None","CHC","L",3,6,"None","6-12",6,"Harkey","Nied","Myers","2:46","N",48768,"---","None",1993,-4,-3,78,94,-16,6,11,0.352941176470588,793807
"Tuesday, Apr 27","boxscore","COL","None","CHC","W",11,2,"None","7-12",5,"Henry","Morgan","None","2:18","N",48328,"+","None",1993,-4,9,89,96,-7,7,11,0.388888888888889,842135
"Wednesday, Apr 28","boxscore","COL","None","STL","L",6,7,"None","7-13",7,"Murphy","Holmes","Smith","3:37","N",49765,"-","None",1993,-5,-1,95,103,-8,7,12,0.368421052631579,891900
"Thursday, Apr 29","boxscore","COL","None","STL","L",2,5,"None","7-14",7,"Tewksbury","Ashby","Smith","2:38","D",57472,"--","None",1993,-6,-3,97,108,-11,7,13,0.35,949372
"Friday, Apr 30","boxscore","COL","@","FLA","W",6,2,"None","8-14",5,"Reynoso","Bowen","None","2:42","N",42535,"+","None",1993,-6,4,103,110,-7,8,13,0.380952380952381,991907
"Saturday, May 1","boxscore","COL","@","FLA","L-wo",6,7,"12","8-15",7,"Harvey","Reed","None","4:15","N",43583,"-","None",1993,-7,-1,109,117,-8,8,14,0.363636363636364,1035490
"Sunday, May 2","boxscore","COL","@","FLA","W",2,1,"None","9-15",5,"Henry","Armstrong","Holmes","2:57","N",41370,"+","None",1993,-7,1,111,118,-7,9,14,0.391304347826087,1076860
"Tuesday, May 4","boxscore","COL","@","CHC","W",14,13,"11","10-15",5,"Blair","McElroy","None","3:51","N",32199,"++","None",1993,-6,1,125,131,-6,10,14,0.416666666666667,1109059
"Wednesday, May 5","boxscore","COL","@","CHC","L",2,3,"None","10-16",6,"Hibbard","Reynoso","Myers","2:18","D",20266,"-","None",1993,-7,-1,127,134,-7,10,15,0.4,1129325
"Thursday, May 6","boxscore","COL","None","ATL","L",3,13,"None","10-17",7,"Smoltz","Nied","None","2:50","N",50618,"--","None",1993,-7.5,-10,130,147,-17,10,16,0.384615384615385,1179943
"Friday, May 7","boxscore","COL","None","ATL","L",5,13,"None","10-18",7,"Freeman","Parrett","None","2:58","N",65429,"---","None",1993,-8.5,-8,135,160,-25,10,17,0.37037037037037,1245372
"Saturday, May 8","boxscore","COL","None","ATL","L",7,8,"None","10-19",7,"Mercker","Fredrickson","Stanton","3:30","D",64614,"----","None",1993,-8.5,-1,142,168,-26,10,18,0.357142857142857,1309986
"Sunday, May 9","boxscore","COL","None","ATL","L",7,12,"None","10-20",7,"McMichael","Reed","None","3:26","D",70786,"-----","None",1993,-8.5,-5,149,180,-31,10,19,0.344827586206897,1380772
"Monday, May 10","boxscore","COL","None","SFG","W",7,4,"None","11-20",7,"Reynoso","Wilson","None","2:49","N",50705,"+","None",1993,-8,3,156,184,-28,11,19,0.366666666666667,1431477
"Tuesday, May 11","boxscore","COL","None","SFG","L",3,5,"None","11-21",7,"Swift","Nied","Beck","2:53","N",49072,"-","None",1993,-8.5,-2,159,189,-30,11,20,0.354838709677419,1480549
"Wednesday, May 12","boxscore","COL","None","SFG","L",2,8,"None","11-22",7,"Black","Henry","None","2:37","N",50105,"--","None",1993,-9.5,-6,161,197,-36,11,21,0.34375,1530654
"Thursday, May 13","boxscore","COL","None","SFG","L",8,13,"None","11-23",7,"Burkett","Ruffin","None","3:11","D",58833,"---","None",1993,-10.5,-5,169,210,-41,11,22,0.333333333333333,1589487
"Friday, May 14","boxscore","COL","@","CIN","L",5,13,"None","11-24",7,"Pugh","Ashby","None","2:46","N",48352,"----","None",1993,-10.5,-8,174,223,-49,11,23,0.323529411764706,1637839
"Saturday, May 15","boxscore","COL","@","CIN","L",3,5,"None","11-25",7,"Hill","Reynoso","Reardon","2:52","N",49697,"-----","None",1993,-11.5,-2,177,228,-51,11,24,0.314285714285714,1687536
"Sunday, May 16","boxscore","COL","@","CIN","L",2,14,"None","11-26",7,"Roper","Nied","None","2:50","D",35434,"------","None",1993,-12.5,-12,179,242,-63,11,25,0.305555555555556,1722970
"Monday, May 17","boxscore","COL","@","SDP","L",0,4,"None","11-27",7,"Benes","Henry","None","2:12","N",15251,"-------","None",1993,-13.5,-4,179,246,-67,11,26,0.297297297297297,1738221
"Tuesday, May 18","boxscore","COL","@","SDP","W",2,1,"11","12-27",7,"Wayne","Rodriguez","Holmes","3:20","N",15347,"+","None",1993,-13.5,1,181,247,-66,12,26,0.315789473684211,1753568
"Wednesday, May 19","boxscore","COL","@","SDP","L",3,7,"None","12-28",7,"Harris","Painter","None","2:40","N",12773,"-","None",1993,-14.5,-4,184,254,-70,12,27,0.307692307692308,1766341
"Thursday, May 20","boxscore","COL","@","SDP","L-wo",4,5,"11","12-29",7,"Harris","Holmes","None","3:21","D",22098,"--","None",1993,-15.5,-1,188,259,-71,12,28,0.3,1788439
"Friday, May 21","boxscore","COL","@","LAD","L",0,8,"None","12-30",7,"Hershiser","Nied","None","2:14","N",51818,"---","None",1993,-16.5,-8,188,267,-79,12,29,0.292682926829268,1840257
"Saturday, May 22","boxscore","COL","@","LAD","L",3,4,"None","12-31",7,"McDowell","Henry","Gott","2:46","N",50537,"----","None",1993,-16.5,-1,191,271,-80,12,30,0.285714285714286,1890794
"Sunday, May 23","boxscore","COL","@","LAD","L",0,4,"None","12-32",7,"Martinez","Blair","None","2:27","D",48343,"-----","None",1993,-17.5,-4,191,275,-84,12,31,0.27906976744186,1939137
"Tuesday, May 25","boxscore","COL","@","HOU","W",7,5,"None","13-32",7,"Wayne","Hernandez","Ashby","3:04","N",18812,"+","None",1993,-17.5,2,198,280,-82,13,31,0.295454545454545,1957949
"Wednesday, May 26","boxscore","COL","@","HOU","W",3,2,"None","14-32",7,"Smith","Jones","Parrett","3:13","N",22267,"++","None",1993,-16.5,1,201,282,-81,14,31,0.311111111111111,1980216
"Thursday, May 27","boxscore","COL","@","HOU","L",0,8,"None","14-33",7,"Drabek","Nied","None","2:38","N",22372,"-","None",1993,-16.5,-8,201,290,-89,14,32,0.304347826086957,2002588
"Friday, May 28","boxscore","COL","None","PHI","L",9,15,"None","14-34",7,"Rivera","Henry","None","3:17","N",58312,"--","None",1993,-16.5,-6,210,305,-95,14,33,0.297872340425532,2060900
"Saturday, May 29","boxscore","COL","None","PHI","L",0,6,"None","14-35",7,"Mulholland","Blair","None","2:13","D",56263,"---","None",1993,-17.5,-6,210,311,-101,14,34,0.291666666666667,2117163
"Sunday, May 30","boxscore","COL","None","PHI","L",1,18,"None","14-36",7,"Greene","Painter","None","2:39","D",56710,"----","None",1993,-18.5,-17,211,329,-118,14,35,0.285714285714286,2173873
"Monday, May 31","boxscore","COL","None","PIT","W",6,2,"None","15-36",7,"Reynoso","Wakefield","None","2:34","N",47665,"+","None",1993,-18,4,217,331,-114,15,35,0.3,2221538
"Tuesday, Jun 1","boxscore","COL","None","PIT","L",6,8,"None","15-37",7,"Walk","Smith","None","3:04","N",45752,"-","None",1993,-18.5,-2,223,339,-116,15,36,0.294117647058824,2267290
"Wednesday, Jun 2","boxscore","COL","None","PIT","L",3,5,"None","15-38",7,"Petkovsek","Parrett","Belinda","3:03","N",50122,"--","None",1993,-19.5,-2,226,344,-118,15,37,0.288461538461538,2317412
"Friday, Jun 4","boxscore","COL","@","PHI","W",2,1,"None","16-38",7,"Blair","Mulholland","Wayne","2:32","N",43333,"+","None",1993,-18,1,228,345,-117,16,37,0.30188679245283,2360745
"Saturday, Jun 5","boxscore","COL","@","PHI","L",2,6,"None","16-39",7,"Greene","Reynoso","None","2:35","N",43837,"-","None",1993,-19,-4,230,351,-121,16,38,0.296296296296296,2404582
"Sunday, Jun 6","boxscore","COL","@","PHI","L",7,11,"None","16-40",7,"Schilling","Ashby","None","3:24","D",55714,"--","None",1993,-20,-4,237,362,-125,16,39,0.290909090909091,2460296
"Tuesday, Jun 8","boxscore","COL","@","PIT","W",4,1,"None","17-40",7,"Ruffin","Wagner","Shepherd","2:26","N",16722,"+","None",1993,-19,3,241,363,-122,17,39,0.303571428571429,2477018
"Wednesday, Jun 9","boxscore","COL","@","PIT","L",1,4,"None","17-41",7,"Neagle","Blair","Belinda","2:22","N",30625,"-","None",1993,-20,-3,242,367,-125,17,40,0.298245614035088,2507643
"Friday, Jun 11","boxscore","COL","None","HOU","W",5,4,"None","18-41",7,"Parrett","Hernandez","Holmes","3:19","N",57136,"+","None",1993,-20,1,247,371,-124,18,40,0.310344827586207,2564779
"Saturday, Jun 12","boxscore","COL","None","HOU","W",14,11,"None","19-41",7,"Shepherd","Jones","None","3:27","N",60864,"++","None",1993,-20,3,261,382,-121,19,40,0.322033898305085,2625643
"Sunday, Jun 13","boxscore","COL","None","HOU","W",9,1,"None","20-41",7,"Ruffin","Swindell","None","3:21","D",60349,"+++","None",1993,-20,8,270,383,-113,20,40,0.333333333333333,2685992
"Monday, Jun 14","boxscore","COL","None","LAD","L",4,9,"None","20-42",7,"Astacio","Blair","None","3:02","N",51475,"-","None",1993,-20.5,-5,274,392,-118,20,41,0.327868852459016,2737467
"Tuesday, Jun 15","boxscore","COL","None","LAD","L",4,12,"None","20-43",7,"McDowell","Shepherd","None","3:22","N",55772,"--","None",1993,-20.5,-8,278,404,-126,20,42,0.32258064516129,2793239
"Wednesday, Jun 16","boxscore","COL","None","LAD","W",7,6,"None","21-43",7,"Reynoso","Gross","Grant","2:37","N",51765,"+","None",1993,-20.5,1,285,410,-125,21,42,0.333333333333333,2845004
"Friday, Jun 18","boxscore","COL","None","SDP","L",1,11,"None","21-44",7,"Harris","Ruffin","None","2:42","N",52159,"-","None",1993,-22,-10,286,421,-135,21,43,0.328125,2897163
