"team","var","min_val","max_val"
"COL","date",Inf,-Inf
"COL","boxscore",Inf,-Inf
"COL","team",Inf,-Inf
"COL","home_or_away",Inf,-Inf
"COL","opponent",Inf,-Inf
"COL","win_or_loss",Inf,-Inf
"COL","runs",0,20
"COL","runs_allowed",0,26
"COL","innings",6,22
"COL","win_loss_record",Inf,-Inf
"COL","rank",1,7
"COL","games_behind",0.5,38
"COL","win",Inf,-Inf
"COL","loss",Inf,-Inf
"COL","save",Inf,-Inf
"COL","time",Inf,-Inf
"COL","day_or_night",Inf,-Inf
"COL","attendance",3037,80227
"COL","streak",Inf,-Inf
"COL","originally_scheduled",Inf,-Inf
"COL","year",1993,2017
"COL","games_ahead",-38,5
"COL","run_diff",-19,19
"COL","r_so_far",1,20039
"COL","ra_so_far",6,20914
"COL","rd_so_far",-955,6
"COL","wins_so_far",0,1857
"COL","losses_so_far",1,2106
"COL","record_so_far",0,0.666666666666667
"COL","attendance_so_far",27290,5036256
