date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Thursday, Apr 14",boxscore,DET,@,NYY,W,3,2,None,2-0,1, Tied,McLain,Ramos,Sherry,2:49,D,None,++,None
"Thursday, Apr 14",boxscore,DET,@,NYY,W,5,2,None,3-0,1, Tied,Monbouquette,Friend,None,2:38,D,"13,659",+++,1966-04-13 (Rain)
"Friday, Apr 15",boxscore,DET,None,WSA,W,8,3,None,4-0,1,up 1.0,Pena,Duckworth,None,2:32,D,"36,674",++++,None
"Saturday, Apr 16",boxscore,DET,None,WSA,W,7,5,None,5-0,1,up 1.0,Sherry,Kline,Fox,2:46,D,"8,432",+++++,None
"Sunday, Apr 17",boxscore,DET,None,WSA,L,4,10,None,5-1,1, Tied,Segui,Aguirre,Kline,2:41,D,"15,495",-,None
"Tuesday, Apr 19",boxscore,DET,@,BOS,L,0,7,None,5-2,2, 0.5,Morehead,Monbouquette,Sanders,2:24,D,None,--,None
"Tuesday, Apr 19",boxscore,DET,@,BOS,W,6,4,None,6-2,2, 0.5,McLain,Lonborg,Sherry,3:00,D,"25,335",+,None
"Wednesday, Apr 20",boxscore,DET,@,BOS,L,3,5,None,6-3,3, 1.5,Stephenson,Fox,Radatz,2:46,D,"2,618",-,None
"Saturday, Apr 23",boxscore,DET,@,WSA,L,3,5,None,6-4,4, 2.5,McCormick,Lolich,Cox,2:22,D,"2,901",--,None
"Sunday, Apr 24",boxscore,DET,@,WSA,W,4,0,None,7-4,3, 1.5,Monbouquette,Richert,None,2:30,D,None,+,None
"Sunday, Apr 24",boxscore,DET,@,WSA,W,4,1,None,8-4,3, 1.5,Sparma,Duckworth,Sherry,2:48,D,"11,259",++,1966-04-22 (Wet grounds)
"Monday, Apr 25",boxscore,DET,None,MIN,W,3,0,None,9-4,3, 1.5,McLain,Boswell,None,2:06,N,"12,020",+++,None
"Thursday, Apr 28",boxscore,DET,None,KCA,W,13,5,None,10-4,3, 2.0,Lolich,Hunter,Pena,2:39,D,"1,292",++++,None
"Friday, Apr 29",boxscore,DET,None,BAL,L,1,8,None,10-5,4, 2.0,Bunker,Monbouquette,None,2:16,N,"13,255",-,None
"Saturday, Apr 30",boxscore,DET,None,BAL,L,2,3,None,10-6,4, 3.0,McNally,McLain,Miller,2:22,D,"5,130",--,None
"Sunday, May 1",boxscore,DET,None,BAL,L,1,4,None,10-7,4, 4.0,Barber,Sparma,Hall,2:26,D,"11,719",---,None
"Tuesday, May 3",boxscore,DET,None,BOS,W,8,0,None,11-7,4, 3.5,Lolich,Santiago,None,2:25,N,"2,744",+,None
"Wednesday, May 4",boxscore,DET,None,BOS,L,0,7,None,11-8,4, 4.5,Wilson,Monbouquette,None,2:06,N,"3,965",-,None
"Friday, May 6",boxscore,DET,@,CHW,W,1,0,None,12-8,4, 4.0,McLain,Peters,None,2:19,N,"15,333",+,None
