"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Friday, Apr 26","None","DET","None","MLA","W",6,5,"None","2-0",1,"None","None","None","None","None",NA,"++","1901-04-24 (Rain)",1901,0,1,6,5,1,1,0,1,NA
"Saturday, Apr 27","None","DET","None","MLA","W",13,9,"None","3-0",1,"None","None","None","None","None",NA,"+++","None",1901,0.5,4,19,14,5,2,0,1,NA
"Sunday, Apr 28","None","DET","None","MLA","W",12,11,"None","4-0",1,"None","None","None","None","None",NA,"++++","None",1901,1,1,31,25,6,3,0,1,NA
"Monday, Apr 29","None","DET","@","CHW","W",3,2,"None","5-0",1,"None","None","None","None","None",NA,"+++++","None",1901,1,1,34,27,7,4,0,1,NA
"Tuesday, Apr 30","None","DET","@","CHW","L",2,4,"None","5-1",1,"None","None","None","1:50","None",2000,"-","None",1901,0,-2,36,31,5,4,1,0.8,NA
"Wednesday, May 1","None","DET","@","CHW","L",9,19,"None","5-2",1,"None","None","None","None","None",NA,"--","None",1901,0,-10,45,50,-5,4,2,0.666666666666667,NA
"Thursday, May 2","None","DET","@","CHW","*V",7,5,"None","6-2",1,"None","None","None","None","None",NA,"+","None",1901,1,2,52,55,-3,5,3,0.625,NA
"Friday, May 3","None","DET","None","CLE","W",6,3,"None","7-2",1,"None","None","None","None","None",NA,"++","None",1901,1,3,58,58,0,6,3,0.666666666666667,NA
"Saturday, May 4","None","DET","None","CLE","L",4,11,"None","7-3",1,"None","None","None","None","None",NA,"-","None",1901,0,-7,62,69,-7,6,4,0.6,NA
"Sunday, May 5","None","DET","None","CLE","W",10,3,"None","8-3",1,"None","None","None","None","None",NA,"+","None",1901,1,7,72,72,0,7,4,0.636363636363636,NA
"Monday, May 6","None","DET","None","CLE","W",5,4,"None","9-3",1,"None","None","None","None","None",NA,"++","None",1901,1,1,77,76,1,8,4,0.666666666666667,NA
"Tuesday, May 7","None","DET","@","MLA","W",9,2,"None","10-3",1,"None","None","None","None","None",NA,"+++","None",1901,1.5,7,86,78,8,9,4,0.692307692307692,NA
"Thursday, May 9","None","DET","@","MLA","L",6,7,"None","10-4",1,"None","None","None","None","None",NA,"-","None",1901,0,-1,92,85,7,9,5,0.642857142857143,NA
"Friday, May 10","None","DET","@","MLA","W",7,6,"None","11-4",1,"None","None","None","None","None",NA,"+","None",1901,0,1,99,91,8,10,5,0.666666666666667,NA
"Saturday, May 11","None","DET","None","CHW","W",9,4,"None","12-4",1,"None","None","None","None","None",NA,"++","None",1901,1,5,108,95,13,11,5,0.6875,NA
"Sunday, May 12","None","DET","None","CHW","W",7,5,"None","13-4",1,"None","None","None","None","None",NA,"+++","None",1901,2,2,115,100,15,12,5,0.705882352941177,NA
"Monday, May 13","None","DET","None","CHW","W",8,7,"None","14-4",1,"None","None","None","None","None",NA,"++++","None",1901,3,1,123,107,16,13,5,0.722222222222222,NA
"Tuesday, May 14","None","DET","None","CHW","L",2,6,"None","14-5",1,"None","None","None","None","None",NA,"-","None",1901,2,-4,125,113,12,13,6,0.684210526315789,NA
"Thursday, May 16","None","DET","@","CLE","W",5,2,"None","15-5",1,"None","None","None","None","None",NA,"+","None",1901,2,3,130,115,15,14,6,0.7,NA
"Friday, May 17","None","DET","@","CLE","W",6,4,"None","16-5",1,"None","None","None","None","None",NA,"++","None",1901,2,2,136,119,17,15,6,0.714285714285714,NA
"Saturday, May 18","None","DET","@","CLE","L",7,9,"None","16-6",1,"None","None","None","None","None",NA,"-","None",1901,1,-2,143,128,15,15,7,0.681818181818182,NA
"Sunday, May 19","None","DET","None","CLE","L",2,11,"None","16-7",1,"None","None","None","None","None",NA,"--","None",1901,0,-9,145,139,6,15,8,0.652173913043478,NA
"Monday, May 20","None","DET","@","CLE","W",13,1,"None","17-7",1,"None","None","None","None","None",NA,"+","None",1901,0.5,12,158,140,18,16,8,0.666666666666667,NA
"Wednesday, May 22","None","DET","None","BOS","L",5,9,"None","17-8",1,"None","None","None","None","None",NA,"-","None",1901,0.5,-4,163,149,14,16,9,0.64,NA
"Thursday, May 23","None","DET","None","BOS","L",2,4,"None","17-9",2,"None","None","None","None","None",NA,"--","None",1901,-0.5,-2,165,153,12,16,10,0.615384615384615,NA
"Friday, May 24","None","DET","None","BOS","W",3,0,"None","18-9",1,"None","None","None","None","None",NA,"+","None",1901,0,3,168,153,15,17,10,0.62962962962963,NA
"Saturday, May 25","None","DET","None","WSH","L",5,6,"None","18-10",2,"None","None","None","None","None",NA,"-","None",1901,-1,-1,173,159,14,17,11,0.607142857142857,NA
"Monday, May 27","None","DET","None","WSH","L",4,8,"None","18-11",2,"None","None","None","None","None",NA,"--","1901-05-26 (Rain)",1901,-2.5,-4,177,167,10,17,12,0.586206896551724,NA
"Thursday, May 30","None","DET","None","BLA","L",7,10,"None","18-12",2,"None","None","None","2:20","None",3848,"---","None",1901,-3.5,-3,184,177,7,17,13,0.566666666666667,NA
"Thursday, May 30","None","DET","None","BLA","W",4,1,"None","19-12",2,"None","None","None","1:50","None",12100,"+","None",1901,-3.5,3,188,178,10,18,13,0.580645161290323,NA
"Friday, May 31","None","DET","None","BLA","*H",5,5,"None","20-12",2,"None","None","None","None","None",NA,"++","None",1901,-3.5,0,193,183,10,19,14,0.575757575757576,NA
"Saturday, Jun 1","None","DET","None","BLA","L",1,3,"None","20-13",2,"None","None","None","None","None",NA,"-","None",1901,-3.5,-2,194,186,8,19,15,0.558823529411765,NA
"Sunday, Jun 2","None","DET","None","PHA","L",8,11,"None","20-14",2,"None","None","None","None","None",NA,"--","None",1901,-3.5,-3,202,197,5,19,16,0.542857142857143,NA
"Monday, Jun 3","None","DET","None","PHA","L",1,2,"None","20-15",3,"None","None","None","None","None",NA,"---","None",1901,-3.5,-1,203,199,4,19,17,0.527777777777778,NA
