date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 13",boxscore,HOU,@,LAD,W,7,6,None,1-1,4, 1.0,Owens,Perranoski,None,2:38,N,"24,049",+,None
"Thursday, Apr 14",boxscore,HOU,@,LAD,W,4,2,None,2-1,3, 0.5,Bruce,Sutton,Sembera,2:33,N,"18,550",++,None
"Friday, Apr 15",boxscore,HOU,@,SFG,L,2,6,None,2-2,4, 1.5,Shaw,Farrell,Linzy,2:21,N,"20,274",-,None
"Saturday, Apr 16",boxscore,HOU,@,SFG,L,1,7,None,2-3,7, 2.0,Marichal,Giusti,None,2:22,D,"18,472",--,None
"Sunday, Apr 17",boxscore,HOU,@,SFG,L,1,3,None,2-4,7, 3.0,Bolin,Latman,Linzy,2:08,D,"23,403",---,None
"Monday, Apr 18",boxscore,HOU,None,LAD,L,3,6,None,2-5,7, 3.5,Sutton,Roberts,Regan,2:33,N,"25,182",----,None
"Tuesday, Apr 19",boxscore,HOU,None,LAD,W,8,5,None,3-5,6, 3.5,Cuellar,Drysdale,None,2:28,N,"12,827",+,None
"Wednesday, Apr 20",boxscore,HOU,None,LAD,L,2,3,None,3-6,8, 4.5,Osteen,Bruce,None,2:28,N,"16,222",-,None
"Friday, Apr 22",boxscore,HOU,None,SFG,W,2,0,None,4-6,7, 4.0,Giusti,Shaw,None,2:10,N,"20,094",+,None
"Saturday, Apr 23",boxscore,HOU,None,SFG,W,4,0,None,5-6,7, 4.5,Latman,Bolin,None,2:02,D,"11,963",++,None
"Saturday, Apr 23",boxscore,HOU,None,SFG,L,1,2,None,5-7,7, 4.5,Perry,Roberts,None,1:57,N,"28,041",-,None
"Sunday, Apr 24",boxscore,HOU,None,SFG,L,2,4,None,5-8,7, 4.5,Gibbon,Owens,Linzy,2:14,D,"20,197",--,None
"Monday, Apr 25",boxscore,HOU,None,CIN,W,2,1,None,6-8,7, 3.5,Cuellar,Jay,None,2:17,D,"10,378",+,None
"Wednesday, Apr 27",boxscore,HOU,None,STL,W,3,1,None,7-8,6, 3.0,Giusti,Washburn,None,2:02,N,"14,666",++,None
"Thursday, Apr 28",boxscore,HOU,None,STL,W,4,2,None,8-8,6, 3.0,Roberts,Briles,Raymond,2:31,N,"12,503",+++,None
"Friday, Apr 29",boxscore,HOU,@,ATL,L-wo,3,4,None,8-9,6, 3.0,O'Dell,Sembera,None,2:51,N,"14,405",-,None
"Saturday, Apr 30",boxscore,HOU,@,ATL,W,5,4,None,9-9,6, 2.5,Owens,Niekro,None,2:40,N,"18,891",+,None
"Sunday, May 1",boxscore,HOU,@,ATL,W,7,1,None,10-9,5, 2.5,Cuellar,Cloninger,None,2:17,D,"16,216",++,None
"Tuesday, May 3",boxscore,HOU,None,CHC,W,10,2,None,11-9,4, 2.5,Giusti,Hands,None,2:31,N,"14,460",+++,None
"Wednesday, May 4",boxscore,HOU,None,CHC,W,4,0,None,12-9,3, 2.5,Roberts,Ellsworth,None,2:14,N,"14,947",++++,None
"Thursday, May 5",boxscore,HOU,None,CHC,W-wo,4,3,13,13-9,3, 2.0,Carpin,Abernathy,None,3:29,N,"11,494",+++++,None
"Friday, May 6",boxscore,HOU,None,ATL,L,0,6,None,13-10,3, 3.0,Lemaster,Latman,None,2:41,N,"22,948",-,None
"Saturday, May 7",boxscore,HOU,None,ATL,W,3,0,None,14-10,3, 3.0,Dierker,Blasingame,Raymond,2:27,N,"28,809",+,None
"Sunday, May 8",boxscore,HOU,None,ATL,W-wo,5,4,None,15-10,3, 3.0,Owens,Niekro,None,2:22,D,"23,304",++,None
"Tuesday, May 10",boxscore,HOU,@,NYM,L,4,7,None,15-11,3, 4.0,Selma,Giusti,None,2:37,N,"8,298",-,None
"Wednesday, May 11",boxscore,HOU,@,NYM,W,6,4,None,16-11,2, 4.0,Latman,McGraw,Owens,2:28,N,"9,842",+,None
"Friday, May 13",boxscore,HOU,@,PHI,W,1,0,None,17-11,2, 4.5,Farrell,Short,Raymond,2:11,N,"10,559",++,None
"Saturday, May 14",boxscore,HOU,@,PHI,W,6,5,11,18-11,2, 3.5,Lee,Fox,Raymond,3:37,D,"3,957",+++,None
"Sunday, May 15",boxscore,HOU,@,PHI,L,2,5,None,18-12,2, 3.5,Jackson,Latman,Bunning,2:37,D,"9,208",-,None
"Wednesday, May 18",boxscore,HOU,@,CHC,W,5,1,None,19-12,2, 2.5,Giusti,Broglio,None,2:16,D,None,+,None
"Wednesday, May 18",boxscore,HOU,@,CHC,W,4,2,None,20-12,2, 2.5,Roberts,Ellsworth,Raymond,2:12,D,"3,813",++,1966-05-17 (Rain)
"Thursday, May 19",boxscore,HOU,@,CHC,L,1,7,None,20-13,2, 2.5,Hands,Farrell,Abernathy,2:26,D,"3,952",-,None
"Friday, May 20",boxscore,HOU,None,PHI,L,5,6,10,20-14,2, 2.5,Knowles,Owens,None,3:24,N,"29,763",--,None
"Saturday, May 21",boxscore,HOU,None,PHI,W-wo,4,3,11,21-14,2, 2.5,Lee,Buhl,None,3:21,N,"30,229",+,None
"Sunday, May 22",boxscore,HOU,None,PHI,L,1,6,None,21-15,2, 3.0,Bunning,Latman,None,2:55,D,"20,991",-,None
"Monday, May 23",boxscore,HOU,None,PHI,L,0,9,None,21-16,2, 3.5,Jackson,Giusti,None,2:39,N,"12,384",--,None
"Tuesday, May 24",boxscore,HOU,None,NYM,W,5,3,None,22-16,2, 3.5,Raymond,Fisher,None,2:30,N,"12,447",+,None
"Wednesday, May 25",boxscore,HOU,None,NYM,W,7,1,None,23-16,2, 2.5,Dierker,Gardner,None,2:27,N,"17,461",++,None
"Thursday, May 26",boxscore,HOU,None,PIT,L,2,3,None,23-17,2, 3.5,Blass,Farrell,Mikkelsen,2:10,N,"14,440",-,None
"Friday, May 27",boxscore,HOU,None,PIT,L,0,6,None,23-18,3, 3.5,Veale,Latman,Mikkelsen,2:17,N,"18,104",--,None
