"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","games_behind","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year"
"Wednesday, Apr 11","boxscore","HOU","None","CHC","W","2","0","None","2-0","1"," Tied","Woodeshick","Hobbie","Farrell","2:33","N","20,336","++","None",1962
"Thursday, Apr 12","boxscore","HOU","None","CHC","W","2","0","None","3-0","1"," Tied","Stone","Curtis","None","2:02","D","7,838","+++","None",1962
"Friday, Apr 13","boxscore","HOU","@","PHI","L","2","3","None","3-1","2"," 1.0","Hamilton","Farrell","None","2:30","N","12,633","-","None",1962
"Saturday, Apr 14","boxscore","HOU","@","PHI","L","0","3","None","3-2","6"," 2.0","Mahaffey","Johnson","None","2:06","D","2,732","--","None",1962
"Tuesday, Apr 17","boxscore","HOU","@","NYM","W","5","2","11","4-2","4"," 2.0","Golden","Moford","Tiefenauer","3:22","D","3,191","+","None",1962
"Wednesday, Apr 18","boxscore","HOU","@","CHC","L-wo","2","3","10","4-3","4"," 3.0","Ellsworth","Farrell","None","2:25","D","3,318","-","None",1962
"Thursday, Apr 19","boxscore","HOU","@","CHC","W","6","0","None","5-3","4"," 3.0","Stone","Cardwell","None","2:49","D","3,835","+","None",1962
"Saturday, Apr 21","boxscore","HOU","None","PHI","L","1","3","None","5-4","5"," 4.0","McLish","Johnson","Baldschun","2:42","N","21,841","-","None",1962
"Sunday, Apr 22","boxscore","HOU","None","PHI","L","3","4","None","5-5","6"," 5.0","Owens","Giusti","Baldschun","2:47","D","13,130","--","None",1962
"Tuesday, Apr 24","boxscore","HOU","None","STL","W","4","3","None","6-5","5"," 4.5","Woodeshick","Jackson","None","2:25","N","19,335","+","None",1962
"Wednesday, Apr 25","boxscore","HOU","None","STL","T","5","5","17","6-5","5"," 4.0","None","None","None","5:13","N","17,265","+","None",1962
"Thursday, Apr 26","boxscore","HOU","None","STL","L","2","3","None","6-6","5"," 4.5","Gibson","Johnson","None","2:21","N","15,129","-","None",1962
"Friday, Apr 27","boxscore","HOU","None","MLN","L","1","2","None","6-7","5"," 4.5","Shaw","Shantz","None","2:22","N","16,160","--","None",1962
"Saturday, Apr 28","boxscore","HOU","None","MLN","L","3","9","None","6-8","6"," 4.5","Butler","Giusti","None","2:55","N","22,501","---","None",1962
"Sunday, Apr 29","boxscore","HOU","None","MLN","W-wo","3","2","None","7-8","5"," 5.0","Farrell","McMahon","None","2:13","D","21,050","+","None",1962
"Tuesday, May 1","boxscore","HOU","@","STL","L","4","6","None","7-9","6"," 6.5","Washburn","Stone","Bauta","2:44","N","4,924","-","None",1962
"Wednesday, May 2","boxscore","HOU","@","STL","L","1","4","None","7-10","7"," 7.5","Gibson","Johnson","None","2:27","N","7,880","--","None",1962
