date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 3",boxscore,KCR,@,BAL,L,1,7,None,0-2,4, 1.5,Wells,Gubicza,None,2:41,N,"40,068",--,None
"Thursday, Apr 4",boxscore,KCR,@,BAL,L,3,5,None,0-3,5, 2.0,Rhodes,Pichardo,Myers,2:34,D,"38,753",---,None
"Friday, Apr 5",boxscore,KCR,None,BOS,W-wo,5,4,12,1-3,3, 1.5,Clark,Pennington,None,4:24,D,"39,526",+,None
"Saturday, Apr 6",boxscore,KCR,None,BOS,W,7,3,None,2-3,3, 1.0,Pichardo,Belinda,None,3:04,D,"17,339",++,None
"Sunday, Apr 7",boxscore,KCR,None,BOS,L,1,3,None,2-4,4, 1.0,Moyer,Gubicza,Slocumb,2:35,D,"13,183",-,None
"Tuesday, Apr 9",boxscore,KCR,@,NYY,L,3,7,None,2-5,4, 1.5,Pettitte,Haney,None,3:04,D,"56,329",--,None
"Thursday, Apr 11",boxscore,KCR,@,NYY,L,3,5,None,2-6,5, 2.0,Key,Belcher,Howe,2:41,D,"17,519",---,None
"Friday, Apr 12",boxscore,KCR,@,MIL,W,4,1,None,3-6,4, 1.0,Appier,Bones,Montgomery,2:34,N,"7,113",+,None
"Saturday, Apr 13",boxscore,KCR,@,MIL,W,3,2,None,4-6,2, 0.5,Gubicza,Sparks,Montgomery,2:26,D,"9,224",++,None
"Sunday, Apr 14",boxscore,KCR,@,MIL,L,2,5,None,4-7,4, 1.5,McDonald,Haney,Miranda,3:04,D,"19,131",-,None
"Monday, Apr 15",boxscore,KCR,None,CHW,L,10,11,None,4-8,5, 2.5,Karchner,Pichardo,Hernandez,2:53,N,"12,653",--,None
"Tuesday, Apr 16",boxscore,KCR,None,CHW,W,6,5,None,5-8,4, 2.5,Belcher,Bere,Montgomery,3:08,N,"12,399",+,None
"Wednesday, Apr 17",boxscore,KCR,None,CHW,L,1,3,None,5-9,5, 2.5,Fernandez,Appier,Hernandez,2:53,N,"13,350",-,None
"Thursday, Apr 18",boxscore,KCR,None,MIL,L,2,8,None,5-10,5, 3.0,Sparks,Gubicza,None,2:24,N,"13,153",--,None
"Friday, Apr 19",boxscore,KCR,None,MIL,L,2,8,None,5-11,5, 4.0,McDonald,Haney,None,2:43,N,"15,321",---,None
"Saturday, Apr 20",boxscore,KCR,None,MIL,L,4,12,None,5-12,5, 5.0,Miranda,Jacome,None,3:02,D,"17,220",----,None
"Sunday, Apr 21",boxscore,KCR,None,MIL,L,4,5,None,5-13,5, 6.0,Wickander,Pichardo,Fetters,3:08,D,"14,666",-----,None
"Monday, Apr 22",boxscore,KCR,None,NYY,L,2,6,None,5-14,5, 7.0,Cone,Appier,None,3:20,N,"14,763",------,None
"Tuesday, Apr 23",boxscore,KCR,None,NYY,W,5,2,None,6-14,5, 7.0,Gubicza,Key,Montgomery,2:25,N,"12,536",+,None
"Wednesday, Apr 24",boxscore,KCR,None,BAL,L,8,11,None,6-15,5, 7.0,Mercker,Haney,None,3:25,N,"13,962",-,None
"Thursday, Apr 25",boxscore,KCR,None,BAL,L,2,3,None,6-16,5, 8.0,Rhodes,Valera,Myers,3:04,N,"16,090",--,None
"Friday, Apr 26",boxscore,KCR,@,BOS,W,4,3,None,7-16,5, 8.0,Belcher,Clemens,Montgomery,2:56,N,"22,385",+,None
