"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Apr 9","boxscore","KCR","None","MIN","W-wo",4,3,"17","2-0",1,"Burgmeier","Miller","None","4:32","N",13731,"++","None",1969,1,1,4,3,1,1,0,1,1,13731
"Friday, Apr 11","boxscore","KCR","@","OAK","L",0,5,"None","2-1",1,"Hunter","Morehead","None","2:14","N",5505,"-","None",1969,0,-5,4,8,-4,1,1,0,0.5,19236
"Saturday, Apr 12","boxscore","KCR","@","OAK","W",9,3,"None","3-1",1,"Jones","Dobson","Wickersham","2:47","D",4204,"+","None",1969,0,6,13,11,2,2,1,1,0.666666666666667,23440
"Sunday, Apr 13","boxscore","KCR","@","OAK","W",4,1,"None","4-1",1,"Butler","Odom","Drabowsky","2:18","D",NA,"++","None",1969,0.5,3,17,12,5,3,1,2,0.75,NA
"Sunday, Apr 13","boxscore","KCR","@","OAK","L",0,3,"None","4-2",1,"Nash","Bunker","None","2:07","D",11264,"-","None",1969,0.5,-3,17,15,2,3,2,1,0.6,NA
"Monday, Apr 14","boxscore","KCR","@","SEP","W",2,1,"None","5-2",1,"Nelson","Marshall","Wickersham","2:38","N",3611,"+","None",1969,1.5,1,19,16,3,4,2,2,0.666666666666667,NA
"Wednesday, Apr 16","boxscore","KCR","@","CHW","L",2,5,"None","5-3",1,"Horlen","Morehead","None","1:44","D",11163,"-","None",1969,0.5,-3,21,21,0,4,3,1,0.571428571428571,NA
"Saturday, Apr 19","boxscore","KCR","None","OAK","L",1,2,"None","5-4",1,"Odom","Nelson","Krausse","2:09","D",16747,"--","None",1969,0,-1,22,23,-1,4,4,0,0.5,NA
"Sunday, Apr 20","boxscore","KCR","None","OAK","L",1,5,"None","5-5",3,"Nash","Butler","None","2:27","D",NA,"---","None",1969,-0.5,-4,23,28,-5,4,5,-1,0.444444444444444,NA
"Sunday, Apr 20","boxscore","KCR","None","OAK","W",7,5,"None","6-5",3,"Drabowsky","Wyatt","None","2:32","D",31872,"+","None",1969,-0.5,2,30,33,-3,5,5,0,0.5,NA
"Monday, Apr 21","boxscore","KCR","None","SEP","L",1,4,"None","6-6",3,"Marshall","Jones","Aker","2:26","N",9024,"-","None",1969,-1.5,-3,31,37,-6,5,6,-1,0.454545454545455,NA
"Tuesday, Apr 22","boxscore","KCR","None","SEP","W",2,1,"None","7-6",2,"Hedlund","Segui","Drabowsky","2:25","N",9066,"+","None",1969,-0.5,1,33,38,-5,6,6,0,0.5,NA
"Wednesday, Apr 23","boxscore","KCR","None","SEP","W-wo",4,3,"None","8-6",2,"Morehead","Edgerton","None","2:20","N",10267,"++","None",1969,-0.5,1,37,41,-4,7,6,1,0.538461538461538,NA
"Friday, Apr 25","boxscore","KCR","None","CAL","L",3,6,"None","8-7",3,"Wilhelm","Drabowsky","None","2:45","N",12013,"-","None",1969,-1,-3,40,47,-7,7,7,0,0.5,NA
"Sunday, Apr 27","boxscore","KCR","None","CAL","L",2,6,"None","8-8",4,"Murphy","Bunker","Messersmith","2:29","D",11748,"--","None",1969,-1.5,-4,42,53,-11,7,8,-1,0.466666666666667,NA
"Monday, Apr 28","boxscore","KCR","@","MIN","L",0,4,"None","8-9",4,"Perry","Hedlund","None","2:02","D",3425,"---","None",1969,-2.5,-4,42,57,-15,7,9,-2,0.4375,NA
"Tuesday, Apr 29","boxscore","KCR","@","MIN","L",1,9,"None","8-10",4,"Woodson","Nelson","None","2:37","D",4300,"----","None",1969,-3.5,-8,43,66,-23,7,10,-3,0.411764705882353,NA
"Wednesday, Apr 30","boxscore","KCR","None","CHW","W-wo",3,2,"None","9-10",4,"Drabowsky","Wood","None","2:38","N",9036,"+","None",1969,-3.5,1,46,68,-22,8,10,-2,0.444444444444444,NA
"Thursday, May 1","boxscore","KCR","None","CHW","W-wo",5,4,"12","10-10",3,"Wickersham","Ellis","None","3:20","D",9642,"++","None",1969,-3.5,1,51,72,-21,9,10,-1,0.473684210526316,NA
"Friday, May 2","boxscore","KCR","@","CAL","W",9,4,"None","11-10",3,"Jones","Murphy","Drabowsky","2:46","N",NA,"+++","None",1969,-2.5,5,60,76,-16,10,10,0,0.5,NA
