"team","var","min_val","max_val"
"KCR","date",Inf,-Inf
"KCR","boxscore",Inf,-Inf
"KCR","team",Inf,-Inf
"KCR","home_or_away",Inf,-Inf
"KCR","opponent",Inf,-Inf
"KCR","win_or_loss",Inf,-Inf
"KCR","runs",0,26
"KCR","runs_allowed",0,22
"KCR","innings",5,18
"KCR","win_loss_record",Inf,-Inf
"KCR","rank",1,7
"KCR","games_behind",0.5,43
"KCR","win",Inf,-Inf
"KCR","loss",Inf,-Inf
"KCR","save",Inf,-Inf
"KCR","time",Inf,-Inf
"KCR","day_or_night",Inf,-Inf
"KCR","attendance",672,73303
"KCR","streak",Inf,-Inf
"KCR","originally_scheduled",Inf,-Inf
"KCR","year",1969,2017
"KCR","games_ahead",-43,20
"KCR","run_diff",-18,21
"KCR","r_so_far",4,34181
"KCR","ra_so_far",3,35547
"KCR","rd_so_far",-1410,679
"KCR","wins_so_far",1,3774
"KCR","losses_so_far",0,3994
"KCR","record_so_far",0.385714285714286,1
"KCR","attendance_so_far",13731,23440
