date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Tuesday, Apr 4",boxscore,LAA,@,SEA,L,8,10,None,1-1,1, Tied,Pineiro,Lackey,None,3:01,N,"20,051",-,None
"Wednesday, Apr 5",boxscore,LAA,@,SEA,L,4,6,None,1-2,3, 1.0,Washburn,Weaver,Sherrill,2:42,D,"21,394",--,None
"Friday, Apr 7",boxscore,LAA,None,NYY,W,4,1,None,2-2,3, 0.5,Escobar,Chacon,Rodriguez,2:45,N,"44,221",+,None
"Saturday, Apr 8",boxscore,LAA,None,NYY,W,3,2,None,3-2,2, 0.5,Santana,Johnson,Rodriguez,2:33,N,"44,044",++,None
"Sunday, Apr 9",boxscore,LAA,None,NYY,L,1,10,None,3-3,2, 1.5,Mussina,Colon,None,2:54,D,"44,020",-,None
"Monday, Apr 10",boxscore,LAA,None,TEX,W,5,2,None,4-3,2, 1.0,Lackey,Loe,Rodriguez,2:25,N,"38,003",+,None
"Tuesday, Apr 11",boxscore,LAA,None,TEX,W-wo,5,4,None,5-3,1, Tied,Romero,Cordero,None,2:47,N,"40,012",++,None
"Wednesday, Apr 12",boxscore,LAA,None,TEX,L,3,11,None,5-4,1, Tied,Koronka,Escobar,None,2:54,N,"42,911",-,None
"Friday, Apr 14",boxscore,LAA,@,BAL,L-wo,5,6,None,5-5,1,up 0.5,Byrdak,Shields,None,2:20,N,"25,415",--,None
"Saturday, Apr 15",boxscore,LAA,@,BAL,L,2,3,None,5-6,3, 0.5,Bedard,Colon,Ray,2:24,D,"24,497",---,None
"Sunday, Apr 16",boxscore,LAA,@,BAL,W,9,3,None,6-6,1,up 0.5,Lackey,Benson,None,2:42,D,"19,904",+,None
"Monday, Apr 17",boxscore,LAA,@,BAL,L,2,4,None,6-7,1, Tied,Cabrera,Weaver,Ray,2:12,N,"15,691",-,None
"Tuesday, Apr 18",boxscore,LAA,@,MIN,W,8,2,None,7-7,1, Tied,Escobar,Silva,Shields,2:24,N,"15,787",+,None
"Wednesday, Apr 19",boxscore,LAA,@,MIN,L-wo,10,12,10,7-8,1, Tied,Nathan,Romero,None,3:20,N,"21,507",-,None
