"team","var","min_val","max_val"
"LAA","date",Inf,-Inf
"LAA","boxscore",Inf,-Inf
"LAA","team",Inf,-Inf
"LAA","home_or_away",0,0
"LAA","opponent",Inf,-Inf
"LAA","win_or_loss",Inf,-Inf
"LAA","runs",0,21
"LAA","runs_allowed",0,18
"LAA","innings",0,19
"LAA","win_loss_record",Inf,-Inf
"LAA","rank",1,5
"LAA","games_behind",0.5,24.5
"LAA","win",Inf,-Inf
"LAA","loss",Inf,-Inf
"LAA","save",0,0
"LAA","time",Inf,-Inf
"LAA","day_or_night",Inf,-Inf
"LAA","attendance",0,56000
"LAA","streak",Inf,-Inf
"LAA","originally_scheduled",0,0
"LAA","year",2005,2017
"LAA","games_ahead",-24.5,22
"LAA","run_diff",-14,19
"LAA","r_so_far",2,9665
"LAA","ra_so_far",3,9033
"LAA","rd_so_far",-4,705
"LAA","wins_so_far",0,1139
"LAA","losses_so_far",1,957
"LAA","record_so_far",0,0.614457831325301
"LAA","attendance_so_far",35077,71023118
