date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 6",boxscore,LAD,None,FLA,W,3,2,None,2-0,2, 0.5,Candiotti,Bowen,None,2:10,N,"44,393",++,None
"Thursday, Apr 7",boxscore,LAD,None,FLA,L,0,1,None,2-1,2, 1.0,Hammond,Martinez,Harvey,2:33,N,"30,027",-,None
"Friday, Apr 8",boxscore,LAD,None,ATL,L,0,6,None,2-2,2, 1.5,Mercker,Astacio,None,2:28,N,"36,546",--,None
"Saturday, Apr 9",boxscore,LAD,None,ATL,L,1,2,10,2-3,2, 2.0,Maddux,Worrell,McMichael,2:54,N,"42,996",---,None
"Sunday, Apr 10",boxscore,LAD,None,ATL,L,3,6,None,2-4,2, 2.0,Wohlers,Gott,McMichael,3:05,D,"49,294",----,None
"Tuesday, Apr 12",boxscore,LAD,@,STL,W,7,3,None,3-4,2, 2.0,Candiotti,Arocha,None,2:42,N,"46,947",+,1994-04-11 (Rain)
"Wednesday, Apr 13",boxscore,LAD,@,STL,L,2,4,None,3-5,2, 2.0,Sutcliffe,Martinez,Perez,3:04,N,"21,867",-,None
"Thursday, Apr 14",boxscore,LAD,@,STL,L,8,9,None,3-6,3, 2.0,Watson,Astacio,Perez,3:15,D,"28,565",--,None
"Friday, Apr 15",boxscore,LAD,@,PIT,L,4,6,None,3-7,3, 3.0,White,Wayne,None,2:30,N,"16,510",---,None
"Saturday, Apr 16",boxscore,LAD,@,PIT,L-wo,3,4,None,3-8,3, 3.0,Manzanillo,Dreifort,None,2:58,N,"17,180",----,None
"Sunday, Apr 17",boxscore,LAD,@,PIT,W,19,2,None,4-8,3, 3.0,Candiotti,Cooke,None,2:57,D,"22,590",+,None
"Monday, Apr 18",boxscore,LAD,@,PHI,L-wo,4,5,None,4-9,3, 4.0,Jones,Wayne,None,2:58,N,"26,666",-,None
"Tuesday, Apr 19",boxscore,LAD,@,PHI,W,8,7,None,5-9,3, 3.0,Worrell,Jones,Dreifort,3:39,D,"35,170",+,None
"Wednesday, Apr 20",boxscore,LAD,None,NYM,W-wo,6,5,11,6-9,3, 3.0,Worrell,Telgheder,None,3:52,N,"34,350",++,None
"Thursday, Apr 21",boxscore,LAD,None,NYM,W,13,3,None,7-9,3, 2.0,Hershiser,Gooden,None,3:06,N,"34,717",+++,None
"Friday, Apr 22",boxscore,LAD,None,MON,L,6,7,None,7-10,3, 2.0,Shaw,Candiotti,Rojas,3:14,N,"36,434",-,None
"Saturday, Apr 23",boxscore,LAD,None,MON,L,6,8,11,7-11,3, 3.0,Scott,McDowell,Rojas,4:31,N,"39,157",--,None
"Sunday, Apr 24",boxscore,LAD,None,MON,W,7,1,None,8-11,3, 3.0,Astacio,Martinez,None,2:23,N,"38,817",+,None
"Tuesday, Apr 26",boxscore,LAD,None,PHI,W,4,3,None,9-11,3, 2.0,Wayne,West,Worrell,3:25,N,"28,194",++,None
"Wednesday, Apr 27",boxscore,LAD,None,PHI,W-wo,5,4,10,10-11,2, 1.0,Gott,Andersen,None,3:18,N,"30,065",+++,None
"Friday, Apr 29",boxscore,LAD,@,NYM,L,4,6,None,10-12,2, 1.0,Saberhagen,Wayne,Franco,3:20,N,"17,161",-,None
"Saturday, Apr 30",boxscore,LAD,@,NYM,W,12,10,None,11-12,2, 1.0,Gott,Manzanillo,Dreifort,3:28,D,"21,734",+,None
"Sunday, May 1",boxscore,LAD,@,NYM,L,4,7,None,11-13,3, 1.0,Smith,McDowell,Franco,2:59,D,"25,502",-,None
"Monday, May 2",boxscore,LAD,@,MON,L,5,10,None,11-14,3, 2.0,Hill,Gross,Rojas,3:14,N,"13,262",--,None
"Tuesday, May 3",boxscore,LAD,@,MON,W,10,4,None,12-14,3, 2.0,Hershiser,Henderson,None,3:02,N,"15,413",+,None
"Wednesday, May 4",boxscore,LAD,@,MON,L-wo,4,5,None,12-15,3, 2.0,Rojas,Worrell,None,3:25,D,"16,875",-,None
"Thursday, May 5",boxscore,LAD,@,SFG,W,9,6,None,13-15,3, 1.0,Martinez,Burkett,Dreifort,3:24,N,"23,272",+,None
"Friday, May 6",boxscore,LAD,@,SFG,L,1,2,None,13-16,3, 2.0,Swift,Astacio,Beck,2:33,N,"28,824",-,None
"Saturday, May 7",boxscore,LAD,@,SFG,W,3,2,10,14-16,2, 1.0,Gross,Jackson,Dreifort,3:07,D,"46,788",+,None
"Sunday, May 8",boxscore,LAD,@,SFG,L-wo,4,5,None,14-17,3, 2.0,Beck,Dreifort,None,3:33,N,"41,847",-,None
"Monday, May 9",boxscore,LAD,None,HOU,W-wo,9,8,None,15-17,2, 2.0,Osuna,Williams,None,3:13,N,"36,260",+,None
"Tuesday, May 10",boxscore,LAD,None,HOU,W-wo,5,4,10,16-17,2, 1.0,Gott,Veres,None,3:22,N,"36,766",++,None
"Wednesday, May 11",boxscore,LAD,None,HOU,W,1,0,None,17-17,2, 1.0,Astacio,Reynolds,None,2:08,N,"35,587",+++,None
"Friday, May 13",boxscore,LAD,None,SDP,W,5,4,None,18-17,2, 1.0,Gross,Whitehurst,Dreifort,2:56,N,"54,374",++++,None
"Saturday, May 14",boxscore,LAD,None,SDP,W-wo,2,1,None,19-17,2, 1.0,Gott,Hoffman,None,2:27,N,"46,137",+++++,None
"Sunday, May 15",boxscore,LAD,None,SDP,W,7,1,None,20-17,1, Tied,Candiotti,Sager,None,2:42,D,"45,917",++++++,None
"Monday, May 16",boxscore,LAD,@,COL,W,9,2,None,21-17,1,up 1.0,Martinez,Harris,None,3:05,N,"50,507",+++++++,None
"Tuesday, May 17",boxscore,LAD,@,COL,L-wo,6,7,None,21-18,1, Tied,Bottenfield,Dreifort,None,3:00,N,"53,589",-,None
"Wednesday, May 18",boxscore,LAD,@,COL,W,5,2,None,22-18,1,up 1.0,Gross,Blair,Gott,3:09,N,"54,108",+,None
"Thursday, May 19",boxscore,LAD,@,COL,W,8,2,None,23-18,1,up 1.5,Hershiser,Nied,None,2:40,D,"51,515",++,None
"Friday, May 20",boxscore,LAD,@,CIN,L-wo,2,3,None,23-19,1,up 1.5,Ruffin,Gott,None,2:52,N,"33,374",-,None
"Saturday, May 21",boxscore,LAD,@,CIN,W,6,4,None,24-19,1,up 2.5,Martinez,Brantley,None,3:12,N,"44,530",+,None
"Sunday, May 22",boxscore,LAD,@,CIN,W,10,3,None,25-19,1,up 3.5,Astacio,Pugh,None,2:51,D,"33,012",++,None
"Monday, May 23",boxscore,LAD,None,CHC,L,3,6,None,25-20,1,up 3.5,Guzman,Gross,Myers,2:52,N,"37,569",-,None
"Tuesday, May 24",boxscore,LAD,None,CHC,L,0,2,None,25-21,1,up 3.5,Banks,Hershiser,None,2:22,N,"31,912",--,None
"Wednesday, May 25",boxscore,LAD,None,CHC,W-wo,7,6,None,26-21,1,up 3.5,Worrell,Plesac,None,3:23,N,"54,709",+,None
"Friday, May 27",boxscore,LAD,None,PIT,W-wo,6,5,10,27-21,1,up 3.0,Osuna,White,None,3:16,N,"44,145",++,None
"Saturday, May 28",boxscore,LAD,None,PIT,L,2,7,None,27-22,1,up 3.0,Neagle,Astacio,None,3:11,N,"47,771",-,None
"Sunday, May 29",boxscore,LAD,None,PIT,W,4,3,None,28-22,1,up 3.0,Gross,Smith,Dreifort,3:03,D,"44,622",+,None
"Monday, May 30",boxscore,LAD,None,STL,L,5,6,None,28-23,1,up 3.0,Palacios,Hershiser,Perez,2:57,N,"33,628",-,None
"Tuesday, May 31",boxscore,LAD,None,STL,L,0,6,None,28-24,1,up 3.0,Sutcliffe,Candiotti,None,2:55,N,"36,689",--,None
"Wednesday, Jun 1",boxscore,LAD,None,STL,W,7,0,None,29-24,1,up 4.0,Martinez,Tewksbury,None,2:30,N,"53,325",+,None
"Friday, Jun 3",boxscore,LAD,@,ATL,L,5,8,None,29-25,1,up 3.0,Glavine,Astacio,McMichael,3:11,N,"49,010",-,None
"Saturday, Jun 4",boxscore,LAD,@,ATL,L,2,4,None,29-26,1,up 3.0,Smoltz,Gross,McMichael,2:33,N,"49,257",--,None
"Sunday, Jun 5",boxscore,LAD,@,ATL,L,5,6,None,29-27,1,up 3.0,Wohlers,Dreifort,None,3:05,D,"49,096",---,None
"Monday, Jun 6",boxscore,LAD,@,FLA,L-wo,10,11,None,29-28,1,up 2.0,Fraser,McDowell,None,3:40,N,"24,350",----,None
"Tuesday, Jun 7",boxscore,LAD,@,FLA,W,2,0,None,30-28,1,up 2.0,Martinez,Weathers,None,2:28,N,"26,730",+,None
"Wednesday, Jun 8",boxscore,LAD,@,FLA,L-wo,4,5,None,30-29,1,up 2.0,Fraser,Worrell,None,3:01,N,"37,109",-,None
"Friday, Jun 10",boxscore,LAD,@,CHC,W,2,1,None,31-29,1,up 3.0,Gross,Trachsel,None,2:49,D,"36,348",+,None
"Saturday, Jun 11",boxscore,LAD,@,CHC,L,4,7,None,31-30,1,up 3.0,Banks,Hershiser,Myers,2:36,D,"39,019",-,None
"Sunday, Jun 12",boxscore,LAD,@,CHC,W,2,1,None,32-30,1,up 3.5,Candiotti,Young,None,2:31,D,"38,547",+,None
"Monday, Jun 13",boxscore,LAD,None,CIN,W,5,4,None,33-30,1,up 3.5,Martinez,Jarvis,Worrell,3:13,N,"39,535",++,None
"Tuesday, Jun 14",boxscore,LAD,None,CIN,W,5,2,None,34-30,1,up 4.5,Astacio,Rijo,None,2:50,N,"31,826",+++,None
"Wednesday, Jun 15",boxscore,LAD,None,CIN,L,2,4,None,34-31,1,up 4.5,Roper,Gross,Brantley,2:34,N,"51,736",-,None
"Friday, Jun 17",boxscore,LAD,None,COL,L,5,13,None,34-32,1,up 4.0,Painter,Hershiser,Blair,3:22,N,"39,609",--,None
"Saturday, Jun 18",boxscore,LAD,None,COL,L,3,9,None,34-33,1,up 3.0,Freeman,Martinez,None,3:16,N,"50,482",---,None
"Sunday, Jun 19",boxscore,LAD,None,COL,W,7,3,None,35-33,1,up 4.0,Astacio,Ritz,None,2:26,D,"51,015",+,None
"Monday, Jun 20",boxscore,LAD,@,SDP,W,3,2,None,36-33,1,up 5.0,Gross,Hamilton,Worrell,2:51,N,"17,371",++,None
"Tuesday, Jun 21",boxscore,LAD,@,SDP,L-wo,3,4,13,36-34,1,up 4.0,Tabaka,Seanez,None,4:03,N,"21,439",-,None
"Wednesday, Jun 22",boxscore,LAD,@,SDP,L,6,7,None,36-35,1,up 3.0,Campbell,Dreifort,Hoffman,3:07,D,"30,978",--,None
"Friday, Jun 24",boxscore,LAD,@,HOU,L,4,16,None,36-36,1,up 3.0,Reynolds,Martinez,None,3:08,N,"34,550",---,None
"Saturday, Jun 25",boxscore,LAD,@,HOU,W,4,2,None,37-36,1,up 3.0,Astacio,Williams,Worrell,2:34,N,"28,247",+,None
"Sunday, Jun 26",boxscore,LAD,@,HOU,W,5,4,None,38-36,1,up 4.0,Gross,Drabek,Worrell,3:04,D,"27,122",++,None
"Monday, Jun 27",boxscore,LAD,None,SFG,L,2,3,None,38-37,1,up 3.0,Black,Candiotti,Beck,2:54,N,"43,281",-,None
"Tuesday, Jun 28",boxscore,LAD,None,SFG,W,7,4,None,39-37,1,up 3.5,Hershiser,Hickerson,None,2:42,N,"43,398",+,None
"Wednesday, Jun 29",boxscore,LAD,None,SFG,W,6,2,None,40-37,1,up 4.5,Martinez,VanLandingham,None,2:37,N,"46,020",++,None
"Thursday, Jun 30",boxscore,LAD,None,PHI,W-wo,4,3,None,41-37,1,up 5.5,Seanez,Jones,None,2:43,N,"31,295",+++,None
"Friday, Jul 1",boxscore,LAD,None,PHI,L,0,3,None,41-38,1,up 5.5,West,Gross,Jones,2:55,N,"34,978",-,None
"Saturday, Jul 2",boxscore,LAD,None,PHI,W,9,3,None,42-38,1,up 5.5,Candiotti,Quantrill,None,2:52,N,"38,237",+,None
"Sunday, Jul 3",boxscore,LAD,None,PHI,W,3,1,None,43-38,1,up 5.5,Hershiser,Valenzuela,Worrell,2:45,D,"54,167",++,None
"Monday, Jul 4",boxscore,LAD,None,MON,L,1,5,None,43-39,1,up 5.0,Henry,Martinez,Rojas,2:44,N,"54,859",-,None
"Tuesday, Jul 5",boxscore,LAD,None,MON,W-wo,2,1,10,44-39,1,up 5.0,Valdez,Wetteland,None,2:40,D,"32,449",+,None
"Wednesday, Jul 6",boxscore,LAD,None,MON,L,2,4,None,44-40,1,up 4.0,Scott,Worrell,Rojas,2:51,N,"37,741",-,None
"Thursday, Jul 7",boxscore,LAD,None,NYM,L,0,3,None,44-41,1,up 3.0,Jacome,Candiotti,None,2:20,N,"38,194",--,None
"Friday, Jul 8",boxscore,LAD,None,NYM,W-wo,3,2,10,45-41,1,up 4.0,Worrell,Mason,None,3:02,N,"41,017",+,None
"Saturday, Jul 9",boxscore,LAD,None,NYM,W,8,3,None,46-41,1,up 5.0,Martinez,Remlinger,Gross,3:04,N,"39,589",++,None
"Sunday, Jul 10",boxscore,LAD,None,NYM,L,1,5,None,46-42,1,up 5.0,Saberhagen,Astacio,None,2:38,D,"45,436",-,None
"Friday, Jul 15",boxscore,LAD,@,PHI,L,3,4,None,46-43,1,up 4.0,West,Gross,Jones,2:58,D,None,--,None
