"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, Apr 16","boxscore","LAD","@","SFG","W",13,1,"None","1-1",4,"Podres","Monzant","None","3:03","N",22735,"+","None",1958,-0.5,12,13,1,12,1,0,1,22735
"Thursday, Apr 17","boxscore","LAD","@","SFG","L",4,7,"None","1-2",6,"Barclay","Newcombe","Grissom","2:50","D",12520,"-","None",1958,-1.5,-3,17,8,9,1,1,0.5,35255
"Friday, Apr 18","boxscore","LAD","None","SFG","W",6,5,"None","2-2",3,"Erskine","Worthington","Labine","3:00","D",78672,"+","None",1958,-1.5,1,23,13,10,2,1,0.666666666666667,113927
"Saturday, Apr 19","boxscore","LAD","None","SFG","L",4,11,"None","2-3",5,"Gomez","McDevitt","None","2:37","D",41303,"-","None",1958,-2.5,-7,27,24,3,2,2,0.5,155230
"Sunday, Apr 20","boxscore","LAD","None","SFG","L",2,12,"None","2-4",7,"Monzant","Drysdale","None","2:30","D",47234,"--","None",1958,-2.5,-10,29,36,-7,2,3,0.4,202464
"Tuesday, Apr 22","boxscore","LAD","None","CHC","W",4,2,"None","3-4",5,"Podres","Hobbie","Labine","2:38","N",39459,"+","None",1958,-1.5,2,33,38,-5,3,3,0.5,241923
"Wednesday, Apr 23","boxscore","LAD","None","CHC","L",6,7,"None","3-5",6,"Elston","Labine","Nichols","2:59","N",24368,"-","None",1958,-2.5,-1,39,45,-6,3,4,0.428571428571429,266291
"Thursday, Apr 24","boxscore","LAD","None","CHC","L",2,15,"None","3-6",7,"Fodge","Drysdale","None","2:43","D",10194,"--","None",1958,-3.5,-13,41,60,-19,3,5,0.375,276485
"Friday, Apr 25","boxscore","LAD","None","STL","W",5,3,"None","4-6",6,"Kipp","Barnes","Roebuck","2:38","N",59635,"+","None",1958,-3,2,46,63,-17,4,5,0.444444444444444,336120
"Saturday, Apr 26","boxscore","LAD","None","STL","L",4,6,"None","4-7",6,"McDaniel","McDevitt","Muffett","2:30","D",30795,"-","None",1958,-4,-2,50,69,-19,4,6,0.4,366915
"Sunday, Apr 27","boxscore","LAD","None","STL","W",10,3,"None","5-7",6,"Podres","Jones","None","2:22","D",44941,"+","None",1958,-3,7,60,72,-12,5,6,0.454545454545455,411856
"Tuesday, Apr 29","boxscore","LAD","None","PIT","L",1,7,"None","5-8",7,"Friend","Erskine","None","2:11","N",19778,"-","None",1958,-3.5,-6,61,79,-18,5,7,0.416666666666667,431634
"Wednesday, Apr 30","boxscore","LAD","None","PIT","L",1,3,"None","5-9",7,"Kline","Drysdale","None","2:12","N",13890,"--","None",1958,-4,-2,62,82,-20,5,8,0.384615384615385,445524
