date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Tuesday, Apr 1",boxscore,MIA,None,COL,W,4,3,None,2-0,1,up 0.5,Eovaldi,Anderson,Cishek,2:24,N,"15,906",++,None
"Wednesday, Apr 2",boxscore,MIA,None,COL,L,5,6,None,2-1,2, 0.5,Lyles,Alvarez,Hawkins,3:23,N,"15,866",-,None
"Thursday, Apr 3",boxscore,MIA,None,COL,W,8,5,None,3-1,2, 0.5,Ramos,Belisle,Cishek,3:14,D,"15,378",+,None
"Friday, Apr 4",boxscore,MIA,None,SDP,W,8,2,None,4-1,1,up 0.5,Koehler,Stults,Hand,2:37,N,"17,783",++,None
"Saturday, Apr 5",boxscore,MIA,None,SDP,W,5,0,None,5-1,1,up 0.5,Fernandez,Cashner,None,2:49,N,"35,188",+++,None
"Sunday, Apr 6",boxscore,MIA,None,SDP,L,2,4,None,5-2,1,up 0.5,Kennedy,Eovaldi,Street,2:44,D,"22,496",-,None
"Tuesday, Apr 8",boxscore,MIA,@,WSN,L,0,5,None,5-3,2, 0.5,Gonzalez,Alvarez,None,2:58,N,"21,728",--,None
"Wednesday, Apr 9",boxscore,MIA,@,WSN,L,7,10,None,5-4,3, 1.5,Clippard,Marmol,Soriano,3:56,N,"21,190",---,None
"Thursday, Apr 10",boxscore,MIA,@,WSN,L,1,7,None,5-5,3, 2.5,Strasburg,Koehler,None,2:53,D,"20,869",----,None
"Friday, Apr 11",boxscore,MIA,@,PHI,L,3,6,None,5-6,3, 2.5,Diekman,Fernandez,Papelbon,3:15,N,"22,283",-----,None
"Saturday, Apr 12",boxscore,MIA,@,PHI,L-wo,4,5,10,5-7,5, 2.5,Rosenberg,Jennings,None,3:29,N,"27,760",------,None
"Sunday, Apr 13",boxscore,MIA,@,PHI,L,3,4,None,5-8,5, 3.5,Bastardo,Dunn,Papelbon,3:12,D,"34,272",-------,None
