"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Thursday, Apr 5","boxscore","MIA","@","CIN","L",0,4,"None","0-2",5,"Cueto","Buehrle","None","2:44","D",42956,"--","None",2012,-1.5,-4,0,4,-4,0,1,0,42956
"Saturday, Apr 7","boxscore","MIA","@","CIN","W",8,3,"None","1-2",4,"Nolasco","Latos","None","2:58","N",41662,"+","None",2012,-1.5,5,8,7,1,1,1,0.5,84618
"Sunday, Apr 8","boxscore","MIA","@","CIN","L-wo",5,6,"None","1-3",4,"Chapman","Bell","None","2:37","D",23539,"-","None",2012,-2.5,-1,13,13,0,1,2,0.333333333333333,108157
"Monday, Apr 9","boxscore","MIA","@","PHI","W",6,2,"None","2-3",3,"Sanchez","Hamels","None","2:39","D",45574,"+","None",2012,-2.5,4,19,15,4,2,2,0.5,153731
"Wednesday, Apr 11","boxscore","MIA","@","PHI","L",1,7,"None","2-4",4,"Halladay","Johnson","None","2:47","N",45359,"-","None",2012,-2,-6,20,22,-2,2,3,0.4,199090
"Thursday, Apr 12","boxscore","MIA","@","PHI","L",1,3,"None","2-5",5,"Blanton","Buehrle","Papelbon","2:20","N",44751,"--","None",2012,-3,-2,21,25,-4,2,4,0.333333333333333,243841
"Friday, Apr 13","boxscore","MIA","None","HOU","W-wo",5,4,"11","3-5",5,"Webb","Lyon","None","3:45","N",30169,"+","None",2012,-3,1,26,29,-3,3,4,0.428571428571429,274010
"Saturday, Apr 14","boxscore","MIA","None","HOU","L",4,5,"None","3-6",5,"Cruz","Bell","Myers","2:48","N",31659,"-","None",2012,-4,-1,30,34,-4,3,5,0.375,305669
"Sunday, Apr 15","boxscore","MIA","None","HOU","W-wo",5,4,"11","4-6",5,"Gaudin","Carpenter","None","4:07","D",34232,"+","None",2012,-3,1,35,38,-3,4,5,0.444444444444444,339901
"Tuesday, Apr 17","boxscore","MIA","None","CHC","W",5,2,"None","5-6",4,"Cishek","Dolis","Bell","2:51","N",24544,"++","None",2012,-3.5,3,40,40,0,5,5,0.5,364445
"Wednesday, Apr 18","boxscore","MIA","None","CHC","W",9,1,"None","6-6",4,"Buehrle","Garza","None","2:38","N",25723,"+++","None",2012,-3.5,8,49,41,8,6,5,0.545454545454545,390168
"Thursday, Apr 19","boxscore","MIA","None","CHC","W",5,3,"None","7-6",4,"Nolasco","Samardzija","Bell","3:08","D",23168,"++++","None",2012,-2.5,2,54,44,10,7,5,0.583333333333333,413336
"Friday, Apr 20","boxscore","MIA","@","WSN","L",0,2,"None","7-7",4,"Detwiler","Zambrano","Rodriguez","2:31","N",24640,"-","None",2012,-3.5,-2,54,46,8,7,6,0.538461538461538,437976
"Saturday, Apr 21","boxscore","MIA","@","WSN","L-wo",2,3,"10","7-8",4,"Gorzelanny","Mujica","None","2:46","D",26745,"--","None",2012,-4.5,-1,56,49,7,7,7,0.5,464721
"Tuesday, Apr 24","boxscore","MIA","@","NYM","L",1,2,"None","7-9",4,"Rauch","Mujica","Francisco","2:55","N",20192,"---","None",2012,-5.5,-1,57,51,6,7,8,0.466666666666667,484913
"Wednesday, Apr 25","boxscore","MIA","@","NYM","L",1,5,"None","7-10",5,"Dickey","Buehrle","None","2:29","N",20623,"----","None",2012,-6.5,-4,58,56,2,7,9,0.4375,505536
"Thursday, Apr 26","boxscore","MIA","@","NYM","L-wo",2,3,"None","7-11",5,"Ramirez","Bell","None","2:45","D",20660,"-----","None",2012,-6.5,-1,60,59,1,7,10,0.411764705882353,526196
"Friday, Apr 27","boxscore","MIA","None","ARI","L",0,5,"None","7-12",5,"Saunders","Zambrano","None","2:56","N",31949,"------","None",2012,-6.5,-5,60,64,-4,7,11,0.388888888888889,558145
"Saturday, Apr 28","boxscore","MIA","None","ARI","W-wo",3,2,"None","8-12",5,"Cishek","Ziegler","None","2:51","N",33525,"+","None",2012,-5.5,1,63,66,-3,8,11,0.421052631578947,591670
"Sunday, Apr 29","boxscore","MIA","None","ARI","L",4,8,"None","8-13",5,"Miley","Johnson","None","3:14","D",34918,"-","None",2012,-5.5,-4,67,74,-7,8,12,0.4,626588
"Monday, Apr 30","boxscore","MIA","None","ARI","L",5,9,"None","8-14",5,"Corbin","Buehrle","None","3:19","D",31006,"--","None",2012,-6,-4,72,83,-11,8,13,0.380952380952381,657594
"Tuesday, May 1","boxscore","MIA","@","SFG","W",2,1,"None","9-14",5,"Nolasco","Cain","Bell","2:30","N",41439,"+","None",2012,-5,1,74,84,-10,9,13,0.409090909090909,699033
"Wednesday, May 2","boxscore","MIA","@","SFG","W",3,2,"10","10-14",5,"Cishek","Casilla","None","3:27","N",41575,"++","None",2012,-5,1,77,86,-9,10,13,0.434782608695652,740608
"Thursday, May 3","boxscore","MIA","@","SFG","W",3,2,"None","11-14",5,"Sanchez","Vogelsong","Mujica","2:59","D",41159,"+++","None",2012,-5,1,80,88,-8,11,13,0.458333333333333,781767
"Friday, May 4","boxscore","MIA","@","SDP","W",9,8,"12","12-14",5,"Cishek","Spence","None","4:45","N",29201,"++++","None",2012,-5,1,89,96,-7,12,13,0.48,810968
"Saturday, May 5","boxscore","MIA","@","SDP","W",4,1,"None","13-14",4,"Buehrle","Richard","None","2:18","N",25076,"+++++","None",2012,-5,3,93,97,-4,13,13,0.5,836044
"Sunday, May 6","boxscore","MIA","@","SDP","W",6,3,"None","14-14",4,"Nolasco","Cashner","Mujica","3:01","D",33572,"++++++","None",2012,-4,3,99,100,-1,14,13,0.518518518518518,869616
"Monday, May 7","boxscore","MIA","@","HOU","W",4,0,"None","15-14",4,"Zambrano","Rodriguez","None","2:09","N",16531,"+++++++","None",2012,-3.5,4,103,100,3,15,13,0.535714285714286,886147
"Tuesday, May 8","boxscore","MIA","@","HOU","L",2,3,"None","15-15",4,"Lopez","Webb","Myers","2:22","N",14801,"-","None",2012,-3.5,-1,105,103,2,15,14,0.517241379310345,900948
