"team","var","min_val","max_val"
"MIA","date","Friday, Apr 10","Wednesday, Sep 9"
"MIA","boxscore","boxscore","boxscore"
"MIA","team","MIA","MIA"
"MIA","home_or_away","@","0"
"MIA","opponent","ARI","WSN"
"MIA","win_or_loss","L","W-wo"
"MIA","runs"," 0","22"
"MIA","runs_allowed"," 0","15"
"MIA","innings"," 0","20"
"MIA","win_loss_record","0-2","9-8"
"MIA","rank","1","5"
"MIA","win","Aardsma","Zimmermann"
"MIA","loss","Adleman","Zimmermann"
"MIA","save","0","Ziegler"
"MIA","time","1:58","6:25"
"MIA","day_or_night","D","N"
"MIA","attendance"," 9150","52850"
"MIA","streak","-","+++++++"
"MIA","originally_scheduled","0","2016-04-09 (Cold)"
"MIA","year","2012","2017"
"MIA","games_ahead","  0.0","-35.5"
"MIA","run_diff","  1","-11"
"MIA","r_so_far","  0","776"
"MIA","ra_so_far","  3","818"
"MIA","rd_so_far","   0","-139"
"MIA","wins_so_far"," 0","79"
"MIA","losses_so_far"," 0","99"
"MIA","record_so_far","0.0000000","1.0000000"
"MIA","attendance_so_far","  15906","4035494"
