date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Apr 9",boxscore,MIL,@,NYY,W,3,2,None,1-1,2, 0.5,Augustine,Figueroa,Castro,2:25,D,"16,726",+,None
"Sunday, Apr 10",boxscore,MIL,@,NYY,W,2,1,None,2-1,2, 0.5,McClure,Gullett,Castro,2:37,D,"17,117",++,None
"Tuesday, Apr 12",boxscore,MIL,None,BAL,L,0,1,None,2-2,3, 0.5,Palmer,Travers,None,2:08,D,"55,120",-,None
"Thursday, Apr 14",boxscore,MIL,None,BAL,W,5,0,None,3-2,3, 1.0,Slaton,May,None,1:50,D,"5,727",+,None
"Friday, Apr 15",boxscore,MIL,None,NYY,W,7,4,None,4-2,1, Tied,Augustine,Gullett,McClure,2:19,N,"11,818",++,None
"Saturday, Apr 16",boxscore,MIL,None,NYY,W-wo,4,3,None,5-2,1,up 1.0,Castro,Lyle,None,2:24,D,"15,913",+++,None
"Sunday, Apr 17",boxscore,MIL,None,NYY,W,2,0,None,6-2,1,up 1.5,Travers,Ellis,None,2:07,D,"37,186",++++,None
"Tuesday, Apr 19",boxscore,MIL,@,OAK,W,5,4,None,7-2,1,up 1.5,Castro,Giusti,None,2:47,D,"3,799",+++++,None
"Wednesday, Apr 20",boxscore,MIL,@,OAK,L,2,4,None,7-3,1,up 1.0,Torrez,Augustine,None,2:14,D,"3,849",-,None
"Friday, Apr 22",boxscore,MIL,@,CAL,L,4,7,None,7-4,1,up 0.5,Simpson,Haas,Drago,2:19,N,"14,773",--,None
"Saturday, Apr 23",boxscore,MIL,@,CAL,W,4,1,None,8-4,1,up 1.0,Travers,Hartzell,Castro,2:22,N,"42,368",+,None
"Sunday, Apr 24",boxscore,MIL,@,CAL,W,10,9,None,9-4,1,up 1.5,Beare,Scott,Castro,3:27,D,"14,878",++,None
"Tuesday, Apr 26",boxscore,MIL,None,BOS,L,1,3,None,9-5,1,up 1.0,Wise,Augustine,Campbell,2:41,N,"12,676",-,None
"Wednesday, Apr 27",boxscore,MIL,None,BOS,W,4,2,None,10-5,1,up 2.0,Castro,Cleveland,None,2:23,N,"10,646",+,None
"Friday, Apr 29",boxscore,MIL,None,CLE,W,6,5,None,11-5,1,up 2.5,Travers,Dobson,McClure,2:53,N,"10,511",++,None
"Saturday, Apr 30",boxscore,MIL,None,CLE,L,0,1,12,11-6,1,up 1.5,Eckersley,Slaton,LaRoche,3:16,D,"12,324",-,None
"Sunday, May 1",boxscore,MIL,None,CLE,W,7,3,None,12-6,1,up 1.0,Augustine,Garland,None,2:06,D,"26,336",+,None
"Sunday, May 1",boxscore,MIL,None,CLE,L,5,8,None,12-7,1,up 1.0,Fitzmorris,Beare,Kern,3:15,D,"26,336",-,None
"Monday, May 2",boxscore,MIL,@,TOR,W,3,1,None,13-7,1,up 1.5,Haas,Hargan,Castro,2:31,N,"17,577",+,None
"Tuesday, May 3",boxscore,MIL,@,TOR,W,6,2,None,14-7,1,up 1.5,Cort,Jefferson,None,2:12,N,"13,148",++,None
"Wednesday, May 4",boxscore,MIL,@,TOR,L,3,10,None,14-8,1,up 1.0,Singer,Slaton,Willis,2:36,N,"25,699",-,None
"Thursday, May 5",boxscore,MIL,@,TOR,L,8,9,None,14-9,1,up 1.0,Vuckovich,Castro,None,2:33,N,"12,268",--,None
"Friday, May 6",boxscore,MIL,@,DET,L,2,5,None,14-10,1, Tied,Roberts,Augustine,Foucault,2:13,N,"12,817",---,None
"Saturday, May 7",boxscore,MIL,@,DET,L,2,6,None,14-11,3, 1.0,Rozema,Travers,None,2:14,D,"15,391",----,None
"Sunday, May 8",boxscore,MIL,@,DET,W,7,4,None,15-11,3, 1.0,Haas,Ruhle,Castro,2:41,D,"27,783",+,None
"Tuesday, May 10",boxscore,MIL,@,CLE,L-wo,0,1,None,15-12,3, 2.0,Bibby,Slaton,None,2:14,N,None,-,1977-05-09 (Cold)
"Tuesday, May 10",boxscore,MIL,@,CLE,L,4,7,None,15-13,3, 2.0,Kern,Beare,LaRoche,2:47,N,"4,259",--,None
"Wednesday, May 11",boxscore,MIL,@,CLE,&H,3,4,None,15-14,3, 2.0,Garland,Augustine,Kern,2:01,N,"3,541",---,None
"Thursday, May 12",boxscore,MIL,None,DET,L,1,9,None,15-15,4, 2.0,Rozema,Travers,None,2:26,N,"6,390",----,None
"Friday, May 13",boxscore,MIL,None,DET,W,9,3,None,16-15,4, 2.0,Haas,Ruhle,None,2:15,N,"12,153",+,None
"Saturday, May 14",boxscore,MIL,None,DET,L,2,3,None,16-16,4, 3.0,Arroyo,Cort,Hiller,2:23,D,"12,632",-,None
"Sunday, May 15",boxscore,MIL,None,DET,L,3,5,10,16-17,4, 3.0,Foucault,Slaton,None,2:28,D,None,--,None
"Sunday, May 15",boxscore,MIL,None,DET,W-wo,3,2,10,17-17,4, 3.0,Augustine,Roberts,None,2:18,D,"47,732",+,None
"Tuesday, May 17",boxscore,MIL,None,TOR,L,1,3,None,17-18,4, 3.0,Jefferson,Haas,Johnson,2:39,N,"6,810",-,None
"Wednesday, May 18",boxscore,MIL,None,TOR,W-wo,3,2,10,18-18,4, 2.5,Castro,Vuckovich,None,2:59,N,"7,208",+,None
"Thursday, May 19",boxscore,MIL,None,TOR,W,5,3,None,19-18,4, 2.5,Slaton,Singer,McClure,2:33,N,"8,469",++,None
"Friday, May 20",boxscore,MIL,@,BOS,W,15,7,None,20-18,4, 1.5,Augustine,Tiant,None,2:48,N,"25,991",+++,None
"Saturday, May 21",boxscore,MIL,@,BOS,L-wo,9,10,None,20-19,4, 2.0,House,Castro,None,3:07,D,"25,405",-,None
"Sunday, May 22",boxscore,MIL,@,BOS,L,10,14,None,20-20,4, 2.0,Campbell,Folkers,None,3:14,D,None,--,None
"Sunday, May 22",boxscore,MIL,@,BOS,W,6,0,None,21-20,4, 2.0,Rodriguez,Jenkins,None,2:45,N,"29,653",+,None
"Monday, May 23",boxscore,MIL,@,BAL,L-wo,5,6,10,21-21,4, 3.0,Miller,Slaton,None,2:54,N,"12,009",-,None
"Tuesday, May 24",boxscore,MIL,@,BAL,L,1,2,None,21-22,4, 4.0,Palmer,Augustine,None,2:06,N,"5,224",--,None
"Wednesday, May 25",boxscore,MIL,None,CHW,W,7,4,None,22-22,4, 3.5,Haas,Knapp,None,2:31,N,"14,346",+,None
"Thursday, May 26",boxscore,MIL,None,CHW,L,3,4,None,22-23,4, 4.0,Stone,Rodriguez,LaGrow,2:41,D,"14,084",-,None
"Friday, May 27",boxscore,MIL,None,TEX,W-wo,6,5,None,23-23,4, 4.0,Castro,Lindblad,None,3:13,N,"12,004",+,None
"Saturday, May 28",boxscore,MIL,None,TEX,W,3,1,None,24-23,4, 4.0,Augustine,Briles,None,2:27,N,"19,413",++,None
"Sunday, May 29",boxscore,MIL,None,TEX,L,4,5,11,24-24,4, 4.0,Devine,Hinds,None,3:53,D,"15,281",-,None
"Monday, May 30",boxscore,MIL,@,CHW,W,4,3,None,25-24,4, 4.5,Slaton,Hamilton,None,2:46,D,None,+,None
"Monday, May 30",boxscore,MIL,@,CHW,L,3,8,None,25-25,4, 4.5,Stone,Rodriguez,None,2:46,D,"23,213",-,None
"Friday, Jun 3",boxscore,MIL,@,TEX,L,8,15,None,25-26,4, 4.0,Hargan,Augustine,None,2:44,N,"14,145",--,None
"Saturday, Jun 4",boxscore,MIL,@,TEX,W,3,2,10,26-26,4, 3.5,Castro,Blyleven,None,2:48,N,"15,540",+,None
"Sunday, Jun 5",boxscore,MIL,@,TEX,L,6,7,None,26-27,4, 3.5,Perry,Slaton,Devine,2:31,N,"8,593",-,None
"Monday, Jun 6",boxscore,MIL,None,BAL,L,2,5,None,26-28,4, 4.5,May,Rodriguez,None,2:35,N,"7,682",--,None
"Tuesday, Jun 7",boxscore,MIL,None,BAL,W-wo,7,6,None,27-28,4, 3.5,Castro,Miller,None,2:58,N,"9,190",+,None
"Wednesday, Jun 8",boxscore,MIL,None,NYY,L,2,9,None,27-29,4, 4.5,Torrez,Augustine,None,2:12,N,"13,508",-,None
"Thursday, Jun 9",boxscore,MIL,None,NYY,L,1,10,None,27-30,4, 5.5,Gullett,Haas,None,2:55,D,"13,608",--,None
"Friday, Jun 10",boxscore,MIL,None,KCR,W,4,3,None,28-30,4, 5.5,Slaton,Gura,Castro,2:48,N,"14,115",+,None
"Saturday, Jun 11",boxscore,MIL,None,KCR,L,0,6,None,28-31,4, 6.5,Leonard,Sorensen,None,2:25,D,"27,401",-,None
"Sunday, Jun 12",boxscore,MIL,None,KCR,W,4,0,None,29-31,4, 5.5,Augustine,Colborn,None,2:10,D,"15,733",+,None
"Tuesday, Jun 14",boxscore,MIL,@,BAL,L-wo,5,8,11,29-32,4, 6.5,Martinez,Castro,None,3:50,N,"9,710",-,None
"Wednesday, Jun 15",boxscore,MIL,@,BAL,W,6,2,None,30-32,4, 6.0,Slaton,Flanagan,Hinds,2:23,N,"7,443",+,None
"Thursday, Jun 16",boxscore,MIL,@,BAL,L,0,6,None,30-33,4, 6.5,May,Augustine,None,2:11,N,"6,589",-,None
"Friday, Jun 17",boxscore,MIL,None,CAL,L,5,7,10,30-34,4, 7.0,Miller,Castro,None,3:06,N,"10,881",--,None
"Saturday, Jun 18",boxscore,MIL,None,CAL,W,4,2,None,31-34,4, 7.0,Beare,Nolan,Castro,2:50,N,"47,949",+,None
"Sunday, Jun 19",boxscore,MIL,None,CAL,L,0,7,None,31-35,5, 8.0,Tanana,Haas,None,2:35,D,"14,244",-,None
"Tuesday, Jun 21",boxscore,MIL,None,OAK,W,12,1,None,32-35,5, 8.5,Slaton,Mitchell,None,2:44,N,"9,619",+,None
"Wednesday, Jun 22",boxscore,MIL,None,OAK,W,5,1,None,33-35,5, 8.5,Augustine,Blue,None,2:00,N,"16,759",++,None
"Friday, Jun 24",boxscore,MIL,None,SEA,W,7,1,None,34-35,5, 8.0,Sorensen,Montague,None,2:10,N,"11,625",+++,None
"Saturday, Jun 25",boxscore,MIL,None,SEA,L,3,8,None,34-36,5, 8.0,Wheelock,Haas,Romo,2:34,N,"19,572",-,None
"Sunday, Jun 26",boxscore,MIL,None,SEA,W-wo,8,6,None,35-36,5, 7.0,Caldwell,Romo,None,3:10,D,"19,699",+,None
"Monday, Jun 27",boxscore,MIL,@,MIN,L,3,10,None,35-37,5, 7.0,Goltz,Augustine,None,2:39,N,"10,534",-,None
"Tuesday, Jun 28",boxscore,MIL,@,MIN,L,3,8,None,35-38,5, 7.0,Thormodsgard,Beare,None,2:47,N,"14,703",--,None
"Wednesday, Jun 29",boxscore,MIL,@,MIN,W,1,0,None,36-38,5, 6.0,Sorensen,Johnson,Castro,3:02,N,"13,713",+,None
"Friday, Jul 1",boxscore,MIL,@,SEA,W,2,1,None,37-38,5, 5.0,Haas,Wheelock,None,2:11,N,"16,119",++,None
"Saturday, Jul 2",boxscore,MIL,@,SEA,L,1,2,None,37-39,5, 5.5,Abbott,Slaton,Kekich,2:06,N,"24,466",-,None
"Sunday, Jul 3",boxscore,MIL,@,SEA,W,10,3,None,38-39,5, 5.0,Augustine,Pole,None,2:28,D,"16,226",+,None
"Monday, Jul 4",boxscore,MIL,None,MIN,L,0,5,None,38-40,5, 6.0,Thormodsgard,Sorensen,None,2:41,D,"13,070",-,None
"Tuesday, Jul 5",boxscore,MIL,None,MIN,L,2,3,None,38-41,5, 7.0,Goltz,Caldwell,None,2:29,N,"10,625",--,None
"Wednesday, Jul 6",boxscore,MIL,@,KCR,L-wo,7,8,None,38-42,5, 7.5,Pattin,Castro,None,3:02,N,"22,804",---,None
"Friday, Jul 8",boxscore,MIL,None,BOS,L,3,7,None,38-43,5, 9.0,Cleveland,Slaton,None,2:29,N,"31,663",----,None
"Saturday, Jul 9",boxscore,MIL,None,BOS,W,3,2,None,39-43,5, 8.0,Augustine,Jenkins,Castro,2:03,D,"25,372",+,None
"Sunday, Jul 10",boxscore,MIL,None,BOS,L,5,8,11,39-44,5, 9.0,Campbell,Rodriguez,None,4:17,D,None,-,None
"Sunday, Jul 10",boxscore,MIL,None,BOS,L,3,7,None,39-45,5, 9.0,Wise,Caldwell,None,2:46,N,"28,887",--,None
"Tuesday, Jul 12",boxscore,MIL,None,NYY,L,2,5,None,39-46,5, 9.5,Gullett,Haas,Tidrow,3:00,N,"18,987",---,None
"Wednesday, Jul 13",boxscore,MIL,None,NYY,W,9,8,None,40-46,5, 9.5,Slaton,Hunter,Castro,2:45,N,"18,298",+,None
"Thursday, Jul 14",boxscore,MIL,None,NYY,L,3,6,None,40-47,5, 10.5,Figueroa,Augustine,Lyle,2:26,D,"22,897",-,None
"Friday, Jul 15",boxscore,MIL,None,BAL,L,2,4,None,40-48,5, 11.0,Flanagan,Caldwell,None,2:26,N,"13,185",--,None
"Saturday, Jul 16",boxscore,MIL,None,BAL,L,0,5,None,40-49,5, 12.0,May,Sorensen,None,2:12,N,"21,301",---,None
"Sunday, Jul 17",boxscore,MIL,None,BAL,W,3,2,None,41-49,5, 11.0,Haas,Martinez,Castro,2:46,D,"16,231",+,None
"Thursday, Jul 21",boxscore,MIL,@,NYY,L,0,7,None,41-50,5, 11.0,Hunter,Slaton,None,2:12,N,"22,812",-,None
"Thursday, Jul 21",boxscore,MIL,@,NYY,W,5,4,10,42-50,5, 11.0,Castro,Tidrow,None,2:47,N,"22,812",+,None
"Friday, Jul 22",boxscore,MIL,@,NYY,W,6,3,None,43-50,4, 10.5,Caldwell,Torrez,None,2:15,N,"23,145",++,None
"Saturday, Jul 23",boxscore,MIL,@,NYY,L,1,3,None,43-51,5, 10.5,Guidry,Travers,None,2:18,D,"38,492",-,None
"Sunday, Jul 24",boxscore,MIL,@,BAL,L,2,3,None,43-52,6, 12.0,Flanagan,Haas,None,2:25,D,"19,411",--,None
"Sunday, Jul 24",boxscore,MIL,@,BAL,L,3,4,None,43-53,6, 12.0,Drago,Augustine,None,2:26,N,"19,411",---,None
