"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, Apr 8","boxscore","MIL","None","CAL","L",1,6,"None","0-2",6,"Murphy","Pattin","Tatum","2:44","D",7575,"--","None",1970,-2,-5,1,6,-5,0,1,0,7575
"Friday, Apr 10","boxscore","MIL","@","CHW","L",4,5,"None","0-3",6,"Janeski","Brabender","Wood","2:21","D",1036,"---","None",1970,-3,-1,5,11,-6,0,2,0,8611
"Saturday, Apr 11","boxscore","MIL","@","CHW","W",8,4,"None","1-3",4,"O'Donoghue","Rounsaville","Locker","2:36","D",2696,"+","None",1970,-3,4,13,15,-2,1,2,0.333333333333333,11307
"Sunday, Apr 12","boxscore","MIL","@","CHW","W",5,2,"None","2-3",3,"Krausse","John","Gelnar","2:28","D",NA,"++","None",1970,-2.5,3,18,17,1,2,2,0.5,NA
"Sunday, Apr 12","boxscore","MIL","@","CHW","W",16,2,"None","3-3",3,"Lauzerique","Arrigo","None","2:36","D",6220,"+++","None",1970,-2.5,14,34,19,15,3,2,0.6,NA
"Monday, Apr 13","boxscore","MIL","@","OAK","L",1,2,"None","3-4",3,"Hunter","Pattin","Segui","2:24","N",26270,"-","None",1970,-3,-1,35,21,14,3,3,0.5,NA
"Tuesday, Apr 14","boxscore","MIL","@","OAK","L",1,9,"None","3-5",4,"Downing","Brabender","Lindblad","2:38","N",2991,"--","None",1970,-3,-8,36,30,6,3,4,0.428571428571429,NA
"Thursday, Apr 16","boxscore","MIL","None","KCR","L",6,8,"None","3-6",5,"Butler","Krausse","Drabowsky","3:05","D",7110,"---","None",1970,-3.5,-2,42,38,4,3,5,0.375,NA
"Saturday, Apr 18","boxscore","MIL","None","CHW","L",5,8,"None","3-7",6,"Wood","Gelnar","Murphy","3:13","D",7788,"----","None",1970,-4,-3,47,46,1,3,6,0.333333333333333,NA
"Monday, Apr 20","boxscore","MIL","@","CAL","L-wo",4,5,"10","3-8",6,"Doyle","Krausse","None","3:00","N",4358,"-----","None",1970,-4.5,-1,51,51,0,3,7,0.3,NA
"Tuesday, Apr 21","boxscore","MIL","@","CAL","L",1,3,"None","3-9",6,"Murphy","Pattin","Tatum","2:37","N",8659,"------","None",1970,-5.5,-2,52,54,-2,3,8,0.272727272727273,NA
"Wednesday, Apr 22","boxscore","MIL","@","CAL","L",1,3,"None","3-10",6,"Wright","Lauzerique","None","2:17","N",5120,"-------","None",1970,-6.5,-2,53,57,-4,3,9,0.25,NA
"Saturday, Apr 25","boxscore","MIL","@","BOS","W",10,4,"None","4-10",6,"Krausse","Stange","Locker","2:43","D",NA,"+","None",1970,-6.5,6,63,61,2,4,9,0.307692307692308,NA
"Saturday, Apr 25","boxscore","MIL","@","BOS","L",0,3,"None","4-11",6,"Peters","Bolin","None","2:04","D",22004,"-","1970-04-24 (Rain)",1970,-6.5,-3,63,64,-1,4,10,0.285714285714286,NA
"Sunday, Apr 26","boxscore","MIL","@","BOS","W",5,3,"None","5-11",6,"Brabender","Culp","Locker","2:24","D",19811,"+","None",1970,-6.5,2,68,67,1,5,10,0.333333333333333,NA
"Monday, Apr 27","boxscore","MIL","@","WSA","L-wo",5,6,"10","5-12",6,"Pina","Locker","None","2:29","N",3291,"-","None",1970,-7,-1,73,73,0,5,11,0.3125,NA
"Tuesday, Apr 28","boxscore","MIL","@","WSA","L",6,9,"None","5-13",6,"Such","Lauzerique","Pina","3:20","N",4415,"--","None",1970,-7,-3,79,82,-3,5,12,0.294117647058824,NA
"Wednesday, Apr 29","boxscore","MIL","@","WSA","L",0,4,"None","5-14",6,"Bosman","Krausse","None","2:20","N",4452,"---","None",1970,-8,-4,79,86,-7,5,13,0.277777777777778,NA
"Thursday, Apr 30","boxscore","MIL","@","WSA","L",2,12,"None","5-15",6,"Brunet","Bolin","None","2:30","N",7575,"----","None",1970,-8,-10,81,98,-17,5,14,0.263157894736842,NA
