"team","var","min_val","max_val"
"MIL","date",Inf,-Inf
"MIL","boxscore",Inf,-Inf
"MIL","team",Inf,-Inf
"MIL","home_or_away",0,0
"MIL","opponent",Inf,-Inf
"MIL","win_or_loss",Inf,-Inf
"MIL","runs",0,22
"MIL","runs_allowed",0,20
"MIL","innings",0,25
"MIL","win_loss_record",Inf,-Inf
"MIL","rank",1,7
"MIL","games_behind",0.5,41
"MIL","win",0,0
"MIL","loss",0,0
"MIL","save",0,0
"MIL","time",Inf,-Inf
"MIL","day_or_night",Inf,-Inf
"MIL","attendance",0,63546
"MIL","streak",Inf,-Inf
"MIL","originally_scheduled",0,0
"MIL","year",1970,2017
"MIL","games_ahead",-41,10.5
"MIL","run_diff",-17,20
"MIL","r_so_far",1,33675
"MIL","ra_so_far",6,34809
"MIL","rd_so_far",-1196,15
"MIL","wins_so_far",0,3644
"MIL","losses_so_far",1,3961
"MIL","record_so_far",0,0.6
"MIL","attendance_so_far",7575,179587804
