date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Friday, Apr 10",boxscore,MIN,None,OAK,L,3,6,None,0-2,7, 2.0,Langford,Erickson,None,2:27,D,"4,552",--,None
"Saturday, Apr 11",boxscore,MIN,None,OAK,L,0,3,None,0-3,7, 3.0,Keough,Williams,None,2:34,D,"5,536",---,None
"Sunday, Apr 12",boxscore,MIN,None,OAK,L,0,1,None,0-4,7, 4.0,McCatty,Redfern,None,2:14,D,"5,699",----,None
"Tuesday, Apr 14",boxscore,MIN,@,SEA,W,5,4,None,1-4,6, 4.5,Koosman,Abbott,Corbett,2:19,N,"6,443",+,None
"Wednesday, Apr 15",boxscore,MIN,@,SEA,L,5,6,None,1-5,7, 5.5,Gleaton,Arroyo,Clark,2:36,N,"6,203",-,None
"Friday, Apr 17",boxscore,MIN,@,CAL,L,0,4,None,1-6,7, 7.0,Forsch,Williams,None,1:56,N,"25,713",--,None
"Saturday, Apr 18",boxscore,MIN,@,CAL,W,6,4,None,2-6,6, 7.0,Redfern,Travers,Corbett,2:17,N,"51,325",+,None
"Monday, Apr 20",boxscore,MIN,@,OAK,L,0,3,None,2-7,6, 8.0,Keough,Koosman,None,2:04,N,"22,141",-,None
"Tuesday, Apr 21",boxscore,MIN,@,OAK,L-wo,3,4,10,2-8,7, 9.0,McCatty,Corbett,None,2:35,N,"10,939",--,None
"Wednesday, Apr 22",boxscore,MIN,@,OAK,L,1,2,None,2-9,7, 10.0,Kingman,Williams,Jones,2:28,D,"16,573",---,None
"Friday, Apr 24",boxscore,MIN,None,CAL,W,7,5,None,3-9,5, 10.0,Corbett,Sanchez,None,2:59,D,"2,759",+,None
"Saturday, Apr 25",boxscore,MIN,None,CAL,L,4,6,None,3-10,6, 11.0,Zahn,Koosman,None,2:35,D,"5,467",-,None
"Sunday, Apr 26",boxscore,MIN,None,CAL,L,1,7,None,3-11,6, 11.5,Witt,Erickson,None,2:11,D,None,--,None
"Sunday, Apr 26",boxscore,MIN,None,CAL,W,5,2,None,4-11,6, 11.5,Arroyo,Jefferson,Corbett,2:09,D,"18,702",+,None
"Monday, Apr 27",boxscore,MIN,None,SEA,L,3,8,10,4-12,7, 11.5,Andersen,Cooper,None,2:41,D,"1,874",-,None
"Tuesday, Apr 28",boxscore,MIN,None,SEA,W,4,1,None,5-12,6, 10.5,Redfern,Clay,None,1:58,D,"2,046",+,None
"Wednesday, Apr 29",boxscore,MIN,None,SEA,T,7,7,8,5-12,6, 11.0,None,None,None,2:20,D,"2,171",+,None
"Thursday, Apr 30",boxscore,MIN,@,BOS,W,8,4,None,6-12,5, 10.5,Erickson,Tanana,None,2:25,D,"15,506",++,None
"Friday, May 1",boxscore,MIN,@,BOS,W,6,1,None,7-12,5, 10.5,Arroyo,Eckersley,None,2:17,D,"15,715",+++,None
"Saturday, May 2",boxscore,MIN,@,BOS,W,11,2,None,8-12,5, 10.5,Williams,Torrez,None,2:30,D,"16,940",++++,None
"Sunday, May 3",boxscore,MIN,@,BOS,W,3,1,None,9-12,5, 9.0,Redfern,Crawford,Corbett,2:26,D,"15,608",+++++,None
"Monday, May 4",boxscore,MIN,@,BAL,L-wo,3,4,10,9-13,5, 9.5,Martinez,Koosman,None,2:43,N,"9,717",-,None
"Tuesday, May 5",boxscore,MIN,@,BAL,L,2,3,None,9-14,5, 10.5,Flanagan,Erickson,Martinez,2:09,N,"11,096",--,None
"Wednesday, May 6",boxscore,MIN,@,BAL,L-wo,4,5,None,9-15,5, 10.5,Stewart,O'Connor,None,3:04,N,"9,085",---,None
"Friday, May 8",boxscore,MIN,None,CLE,W-wo,8,7,None,10-15,5, 11.0,O'Connor,Monge,None,3:00,N,"4,664",+,None
"Saturday, May 9",boxscore,MIN,None,CLE,L,1,2,10,10-16,5, 12.0,Monge,Redfern,None,2:52,N,"4,187",-,None
"Sunday, May 10",boxscore,MIN,None,CLE,L,1,5,None,10-17,5, 12.0,Garland,Koosman,None,2:14,D,"3,609",--,None
"Tuesday, May 12",boxscore,MIN,None,BOS,W-wo,4,3,10,11-17,5, 11.0,Corbett,Burgmeier,None,2:27,N,"3,572",+,None
"Wednesday, May 13",boxscore,MIN,None,BOS,L,2,5,None,11-18,5, 12.0,Torrez,Arroyo,Clear,2:22,N,"4,077",-,None
"Thursday, May 14",boxscore,MIN,None,BOS,L,7,9,11,11-19,5, 12.0,Campbell,Cooper,None,3:13,D,"4,884",--,None
"Friday, May 15",boxscore,MIN,None,BAL,L,4,9,None,11-20,5, 12.0,Martinez,Redfern,Stewart,3:03,N,"6,268",---,None
"Saturday, May 16",boxscore,MIN,None,BAL,L,0,7,None,11-21,5, 12.0,Ford,Koosman,None,2:13,D,"6,302",----,None
"Sunday, May 17",boxscore,MIN,None,BAL,L,3,6,None,11-22,6, 12.0,Palmer,Erickson,Stoddard,2:25,D,"9,313",-----,None
"Tuesday, May 19",boxscore,MIN,@,MIL,L,3,4,None,11-23,6, 11.5,Caldwell,Arroyo,Fingers,2:21,N,"8,979",------,None
"Wednesday, May 20",boxscore,MIN,@,MIL,L,1,6,None,11-24,7, 11.5,Slaton,Williams,Fingers,2:34,N,"10,463",-------,None
"Thursday, May 21",boxscore,MIN,@,MIL,L,2,8,None,11-25,7, 11.5,Vuckovich,Redfern,None,2:19,D,"16,120",--------,None
"Friday, May 22",boxscore,MIN,@,KCR,W,7,0,None,12-25,6, 11.5,Koosman,Leonard,None,2:20,N,"34,052",+,None
"Saturday, May 23",boxscore,MIN,@,KCR,L-wo,0,1,15,12-26,7, 12.5,Martin,Cooper,None,3:41,N,"27,580",-,None
"Sunday, May 24",boxscore,MIN,@,KCR,L,4,6,None,12-27,7, 14.0,Gale,O'Connor,None,2:38,D,"37,207",--,None
"Monday, May 25",boxscore,MIN,@,TEX,L-wo,3,4,None,12-28,7, 15.0,Johnson,Jackson,None,2:20,N,"21,558",---,None
"Tuesday, May 26",boxscore,MIN,@,TEX,L,1,2,None,12-29,7, 15.0,Jenkins,Redfern,Hough,2:06,N,"12,932",----,None
"Wednesday, May 27",boxscore,MIN,@,TEX,W,2,1,None,13-29,7, 14.0,Koosman,Darwin,Corbett,2:02,N,"13,961",+,None
"Thursday, May 28",boxscore,MIN,@,TEX,L,2,6,None,13-30,7, 14.5,Honeycutt,Erickson,None,2:12,N,"15,604",-,None
"Friday, May 29",boxscore,MIN,None,KCR,L,1,3,None,13-31,7, 14.5,Gale,Arroyo,Quisenberry,2:30,N,"6,734",--,None
"Saturday, May 30",boxscore,MIN,None,KCR,L,5,6,None,13-32,7, 14.5,Wright,Corbett,Quisenberry,2:26,N,"8,673",---,None
