"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Friday, Apr 14","boxscore","MIN","@","BAL","W",3,2,"None","2-0",1,"Pascual","Fisher","None","2:49","N",9185,"++","None",1961,0.5,1,3,2,1,1,0,1,1,9185
"Saturday, Apr 15","boxscore","MIN","@","BAL","L",0,8,"None","2-1",1,"Barber","Stobbs","None","2:43","D",7555,"-","None",1961,0,-8,3,10,-7,1,1,0,0.5,16740
"Sunday, Apr 16","boxscore","MIN","@","BAL","W",10,5,"None","3-1",1,"Ramos","Estrada","Moore","2:58","D",NA,"+","None",1961,0.5,5,13,15,-2,2,1,1,0.666666666666667,NA
"Sunday, Apr 16","boxscore","MIN","@","BAL","W",6,4,"11","4-1",1,"Pleis","Hoeft","Stobbs","3:19","D",14146,"++","None",1961,0.5,2,19,19,0,3,1,2,0.75,NA
"Tuesday, Apr 18","boxscore","MIN","@","BOS","W",3,2,"None","5-1",1,"Kaat","Muffett","Pleis","2:43","D",2309,"+++","None",1961,1,1,22,21,1,4,1,3,0.8,NA
"Friday, Apr 21","boxscore","MIN","None","WSA","L",3,5,"None","5-2",3,"McClain","Moore","Sisler","2:23","D",24606,"-","None",1961,-0.5,-2,25,26,-1,4,2,2,0.666666666666667,NA
"Saturday, Apr 22","boxscore","MIN","None","WSA","W-wo",5,4,"10","6-2",1,"Pleis","Hernandez","None","3:17","D",17445,"+","None",1961,0,1,30,30,0,5,2,3,0.714285714285714,NA
"Sunday, Apr 23","boxscore","MIN","None","WSA","W",1,0,"None","7-2",2,"Kralick","Donovan","None","2:14","D",13408,"++","None",1961,-0.5,1,31,30,1,6,2,4,0.75,NA
"Monday, Apr 24","boxscore","MIN","@","KCA","W",10,6,"10","8-2",2,"Moore","Daley","None","4:02","N",6541,"+++","None",1961,-0.5,4,41,36,5,7,2,5,0.777777777777778,NA
"Tuesday, Apr 25","boxscore","MIN","@","KCA","L",2,20,"None","8-3",2,"Bass","Sadowski","None","3:04","N",4664,"-","None",1961,-1,-18,43,56,-13,7,3,4,0.7,NA
"Thursday, Apr 27","boxscore","MIN","@","LAA","W",4,2,"None","9-3",1,"Pascual","Grba","Moore","3:13","D",11931,"+","None",1961,0.5,2,47,58,-11,8,3,5,0.727272727272727,NA
"Friday, Apr 28","boxscore","MIN","@","LAA","L-wo",5,6,"12","9-4",1,"Morgan","Pleis","None","3:43","N",9745,"-","None",1961,0,-1,52,64,-12,8,4,4,0.666666666666667,NA
"Saturday, Apr 29","boxscore","MIN","@","LAA","L",1,4,"None","9-5",2,"McBride","Kaat","None","2:31","D",5109,"--","None",1961,-1,-3,53,68,-15,8,5,3,0.615384615384615,NA
"Sunday, Apr 30","boxscore","MIN","None","CHW","L",3,5,"11","9-6",3,"Shaw","Kralick","None","3:01","D",29467,"---","None",1961,-1.5,-2,56,73,-17,8,6,2,0.571428571428571,NA
"Monday, May 1","boxscore","MIN","None","CHW","W-wo",6,5,"None","10-6",2,"Moore","Lown","None","2:58","D",5777,"+","None",1961,-1,1,62,78,-16,9,6,3,0.6,NA
"Tuesday, May 2","boxscore","MIN","None","NYY","L",4,6,"10","10-7",3,"Coates","Pascual","Arroyo","3:00","D",16669,"-","None",1961,-2,-2,66,84,-18,9,7,2,0.5625,NA
"Wednesday, May 3","boxscore","MIN","None","NYY","L",3,7,"None","10-8",3,"Turley","Ramos","None","2:32","D",18158,"--","None",1961,-2,-4,69,91,-22,9,8,1,0.529411764705882,NA
"Thursday, May 4","boxscore","MIN","None","NYY","L",2,5,"None","10-9",4,"Ford","Kaat","Coates","2:23","D",18179,"---","None",1961,-3,-3,71,96,-25,9,9,0,0.5,NA
"Friday, May 5","boxscore","MIN","None","BOS","W",5,1,"None","11-9",3,"Kralick","Brewer","None","2:10","D",3937,"+","None",1961,-3,4,76,97,-21,10,9,1,0.526315789473684,NA
"Sunday, May 7","boxscore","MIN","None","BOS","L",9,11,"None","11-10",3,"Fornieles","Pascual","Muffett","2:56","D",23389,"-","None",1961,-5,-2,85,108,-23,10,10,0,0.5,NA
"Tuesday, May 9","boxscore","MIN","None","BAL","L",5,13,"None","11-11",4,"Estrada","Ramos","Jones","3:10","D",4514,"--","None",1961,-5.5,-8,90,121,-31,10,11,-1,0.476190476190476,NA
"Wednesday, May 10","boxscore","MIN","None","BAL","W",10,6,"None","12-11",3,"Kralick","Hall","Moore","2:35","D",5410,"+","None",1961,-5.5,4,100,127,-27,11,11,0,0.5,NA
"Thursday, May 11","boxscore","MIN","None","BAL","L",7,8,"None","12-12",5,"Barber","Pascual","Wilhelm","3:10","D",7471,"-","None",1961,-5.5,-1,107,135,-28,11,12,-1,0.478260869565217,NA
"Friday, May 12","boxscore","MIN","None","LAA","W",5,4,"None","13-12",4,"Ramos","Grba","Moore","2:59","D",4739,"+","None",1961,-5.5,1,112,139,-27,12,12,0,0.5,NA
"Saturday, May 13","boxscore","MIN","None","LAA","W",13,6,"None","14-12",4,"Palmquist","Duren","None","2:55","D",10103,"++","None",1961,-5.5,7,125,145,-20,13,12,1,0.52,NA
"Sunday, May 14","boxscore","MIN","None","LAA","W",4,3,"None","15-12",3,"Moore","Kline","None","2:43","D",7825,"+++","None",1961,-4,1,129,148,-19,14,12,2,0.538461538461538,NA
