date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Thursday, Apr 11",boxscore,NYM,@,LAD,W,4,0,None,1-1,3, 1.0,Koosman,Singer,None,2:42,N,"16,372",+,None
"Saturday, Apr 13",boxscore,NYM,@,LAD,L,0,1,None,1-2,5, 2.5,Drysdale,Cardwell,None,2:31,D,"14,904",-,None
"Sunday, Apr 14",boxscore,NYM,@,HOU,W,4,0,None,2-2,5, 1.5,Ryan,Dierker,Frisella,2:54,D,"15,290",+,None
"Monday, Apr 15",boxscore,NYM,@,HOU,L-wo,0,1,24,2-3,6, 2.5,Blasingame,Rohr,None,6:06,N,"14,219",-,None
"Wednesday, Apr 17",boxscore,NYM,None,SFG,W,3,0,None,3-3,4, 1.5,Koosman,McCormick,None,2:22,N,"52,079",+,None
"Thursday, Apr 18",boxscore,NYM,None,SFG,L,3,5,None,3-4,7, 2.0,Perry,Cardwell,Linzy,2:35,D,"22,649",-,None
"Friday, Apr 19",boxscore,NYM,None,LAD,L,2,3,None,3-5,8, 2.5,Osteen,Ryan,None,2:33,D,"16,724",--,None
"Saturday, Apr 20",boxscore,NYM,None,LAD,W,3,2,None,4-5,7, 2.0,Seaver,Singer,Frisella,2:22,D,"19,938",+,None
"Sunday, Apr 21",boxscore,NYM,None,LAD,L,6,7,None,4-6,9, 3.0,Regan,Short,Billingham,3:07,D,None,-,None
"Sunday, Apr 21",boxscore,NYM,None,LAD,L,2,3,None,4-7,9, 3.0,Regan,Rohr,Billingham,2:57,D,"45,442",--,None
"Tuesday, Apr 23",boxscore,NYM,None,HOU,W,3,1,None,5-7,9, 3.0,Koosman,Lemaster,None,2:09,D,"3,581",+,None
"Friday, Apr 26",boxscore,NYM,@,CIN,L,1,3,None,5-8,10, 4.5,Arrigo,Seaver,Abernathy,2:32,N,"5,743",-,None
"Saturday, Apr 27",boxscore,NYM,@,CIN,L,3,5,None,5-9,10, 5.5,Pappas,Ryan,Abernathy,2:35,N,"6,002",--,None
"Sunday, Apr 28",boxscore,NYM,@,CIN,W,6,5,None,6-9,9, 5.5,Koosman,Culver,Taylor,2:58,D,"6,785",+,None
