"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Friday, Apr 13","boxscore","NYM","None","PIT","L",3,4,"None","0-2",7,"Sturdivant","Jones","Face","2:45","D",12447,"--","None",1962,-3,-1,3,4,-1,0,1,-1,0,12447
"Saturday, Apr 14","boxscore","NYM","None","PIT","L",2,6,"None","0-3",7,"Mizell","Jackson","Face","2:48","D",9231,"---","None",1962,-4,-4,5,10,-5,0,2,-2,0,21678
"Sunday, Apr 15","boxscore","NYM","None","PIT","L",2,7,"None","0-4",8,"Friend","Craig","None","2:20","D",11278,"----","None",1962,-4,-5,7,17,-10,0,3,-3,0,32956
"Tuesday, Apr 17","boxscore","NYM","None","HOU","L",2,5,"11","0-5",8,"Golden","Moford","Tiefenauer","3:22","D",3191,"-----","None",1962,-5.5,-3,9,22,-13,0,4,-4,0,36147
"Wednesday, Apr 18","boxscore","NYM","None","STL","L",5,15,"None","0-6",9,"Jackson","Jones","Sadecki","2:50","D",4725,"------","None",1962,-6.5,-10,14,37,-23,0,5,-5,0,40872
"Thursday, Apr 19","boxscore","NYM","None","STL","L",4,9,"None","0-7",9,"Washburn","Jackson","McDaniel","2:43","D",9060,"-------","None",1962,-7.5,-5,18,46,-28,0,6,-6,0,49932
"Saturday, Apr 21","boxscore","NYM","@","PIT","L",4,8,"None","0-8",9,"Friend","Miller","Face","2:51","D",17927,"--------","None",1962,-8.5,-4,22,54,-32,0,7,-7,0,67859
"Sunday, Apr 22","boxscore","NYM","@","PIT","L",3,4,"None","0-9",10,"Veale","Jones","None","2:17","D",13780,"---------","None",1962,-9.5,-1,25,58,-33,0,8,-8,0,81639
"Monday, Apr 23","boxscore","NYM","@","PIT","W",9,1,"None","1-9",10,"Hook","Sturdivant","None","2:40","N",16676,"+","None",1962,-8.5,8,34,59,-25,1,8,-7,0.111111111111111,98315
"Tuesday, Apr 24","boxscore","NYM","@","CIN","L",3,7,"None","1-10",10,"Ellis","Anderson","Drabowsky","3:10","N",5027,"-","None",1962,-9.5,-4,37,66,-29,1,9,-8,0.1,103342
"Wednesday, Apr 25","boxscore","NYM","@","CIN","L",1,7,"None","1-11",10,"Purkey","Miller","None","2:40","N",5563,"--","None",1962,-9.5,-6,38,73,-35,1,10,-9,0.0909090909090909,108905
"Friday, Apr 27","boxscore","NYM","None","PHI","L",9,11,"None","1-12",10,"McLish","Craig","Baldschun","3:07","D",9043,"---","None",1962,-9.5,-2,47,84,-37,1,11,-10,0.0833333333333333,117948
"Saturday, Apr 28","boxscore","NYM","None","PHI","W",8,6,"None","2-12",10,"Craig","Sullivan","None","3:34","D",10492,"+","None",1962,-8.5,2,55,90,-35,2,11,-9,0.153846153846154,128440
"Sunday, Apr 29","boxscore","NYM","None","PHI","W",8,0,"None","3-12",9,"Jackson","Mahaffey","None","2:55","D",NA,"++","None",1962,-9.5,8,63,90,-27,3,11,-8,0.214285714285714,NA
"Sunday, Apr 29","boxscore","NYM","None","PHI","L",2,10,"None","3-13",9,"Locke","Jones","Baldschun","3:27","N",19925,"-","None",1962,-9.5,-8,65,100,-35,3,12,-9,0.2,NA
"Tuesday, May 1","boxscore","NYM","None","CIN","L",2,8,"None","3-14",9,"Jay","Hook","None","2:50","N",5959,"--","None",1962,-11,-6,67,108,-41,3,13,-10,0.1875,NA
"Friday, May 4","boxscore","NYM","@","PHI","L",5,6,"None","3-15",9,"Green","MacKenzie","None","2:48","N",16393,"---","None",1962,-13,-1,72,114,-42,3,14,-11,0.176470588235294,NA
"Saturday, May 5","boxscore","NYM","@","PHI","L",1,2,"None","3-16",10,"McLish","Jackson","Baldschun","2:32","D",7993,"----","None",1962,-13,-1,73,116,-43,3,15,-12,0.166666666666667,NA
"Sunday, May 6","boxscore","NYM","@","PHI","W",7,5,"12","4-16",9,"Anderson","Baldschun","Craig","4:56","D",28215,"+","None",1962,-13,2,80,121,-41,4,15,-11,0.210526315789474,NA
"Tuesday, May 8","boxscore","NYM","@","CHC","W",3,1,"None","5-16",9,"Hook","Anderson","None","2:37","D",1369,"++","None",1962,-13,2,83,122,-39,5,15,-10,0.25,NA
"Friday, May 11","boxscore","NYM","None","MLN","L",5,8,"None","5-17",9,"Shaw","Jackson","Nottebart","3:03","N",15562,"-","None",1962,-13,-3,88,130,-42,5,16,-11,0.238095238095238,NA
"Saturday, May 12","boxscore","NYM","None","MLN","W-wo",3,2,"None","6-17",9,"Anderson","Spahn","None","2:30","D",NA,"+","None",1962,-12.5,1,91,132,-41,6,16,-10,0.272727272727273,NA
"Saturday, May 12","boxscore","NYM","None","MLN","W-wo",8,7,"None","7-17",9,"Anderson","Fischer","None","3:34","D",19748,"++","None",1962,-12.5,1,99,139,-40,7,16,-9,0.304347826086957,NA
"Sunday, May 13","boxscore","NYM","None","MLN","L",2,3,"None","7-18",9,"Butler","Hook","None","2:57","D",13447,"-","None",1962,-13.5,-1,101,142,-41,7,17,-10,0.291666666666667,NA
"Tuesday, May 15","boxscore","NYM","None","CHC","W-wo",6,5,"13","8-18",9,"Craig","Balsamo","None","4:54","N",8463,"+","None",1962,-13.5,1,107,147,-40,8,17,-9,0.32,NA
"Wednesday, May 16","boxscore","NYM","None","CHC","W-wo",6,5,"11","9-18",8,"Hook","Elston","None","3:21","D",3273,"++","None",1962,-13.5,1,113,152,-39,9,17,-8,0.346153846153846,NA
"Friday, May 18","boxscore","NYM","@","MLN","L",2,5,"None","9-19",9,"Spahn","Craig","None","2:36","N",9655,"-","None",1962,-13,-3,115,157,-42,9,18,-9,0.333333333333333,NA
"Saturday, May 19","boxscore","NYM","@","MLN","W",6,5,"None","10-19",8,"MacKenzie","Burdette","Anderson","3:04","D",8471,"+","None",1962,-13,1,121,162,-41,10,18,-8,0.357142857142857,NA
"Sunday, May 20","boxscore","NYM","@","MLN","W",7,6,"None","11-19",8,"MacKenzie","Fischer","Anderson","3:01","D",NA,"++","None",1962,-12,1,128,168,-40,11,18,-7,0.379310344827586,NA
"Sunday, May 20","boxscore","NYM","@","MLN","W",9,6,"None","12-19",8,"Jackson","Cloninger","Craig","2:56","D",12672,"+++","None",1962,-12,3,137,174,-37,12,18,-6,0.4,NA
"Monday, May 21","boxscore","NYM","@","HOU","L",2,3,"None","12-20",8,"Golden","Mizell","None","2:40","N",16317,"-","None",1962,-12,-1,139,177,-38,12,19,-7,0.387096774193548,NA
"Tuesday, May 22","boxscore","NYM","@","HOU","L",2,3,"None","12-21",9,"Farrell","Hook","None","2:00","N",11980,"--","None",1962,-12,-1,141,180,-39,12,20,-8,0.375,NA
