"team","var","min_val","max_val"
"NYM","date","Friday, Apr 10","Wednesday, Sep 9"
"NYM","boxscore","boxscore","boxscore"
"NYM","team","NYM","NYM"
"NYM","home_or_away","@","0"
"NYM","opponent","ANA","WSN"
"NYM","win_or_loss","&H","W-wo"
"NYM","runs"," 0","23"
"NYM","runs_allowed"," 0","26"
"NYM","innings"," 0","25"
"NYM","win_loss_record","0-2","99-61"
"NYM","rank"," 1","10"
"NYM","win","0","Zito"
"NYM","loss","0","Zito"
"NYM","save","0","Ziegler"
"NYM","time","0","7:23"
"NYM","day_or_night","0","N"
"NYM","attendance","  595","70064"
"NYM","streak","-","+++++++++++"
"NYM","originally_scheduled","0","2016-07-25 (Rain)"
"NYM","year","1962","2017"
"NYM","games_ahead","  0.0","-61.5"
"NYM","run_diff","  0","-19"
"NYM","r_so_far","  0","851"
"NYM","ra_so_far","  0","937"
"NYM","rd_so_far","   0","-324"
"NYM","wins_so_far","  0","107"
"NYM","losses_so_far","  0","122"
"NYM","record_so_far","0.00000000","1.00000000"
"NYM","attendance_so_far","   3921","6715284"
