date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Wednesday, Apr 16*boxscore*NYY*@*BOS*L*6*9*None*1-1*2* 1.0*Quinn*Jones*None*2:00*D*None*-*None
Thursday, Apr 17*boxscore*NYY*@*BOS*L*1*9*None*1-2*5* 1.5*Ferguson*Hoyt*None*2:05*D*3,000*--*None
Saturday, Apr 19*boxscore*NYY*@*WSH*L*2*7*None*1-3*7* 2.0*Martina*Pennock*None*2:05*D*7,000*---*None
Sunday, Apr 20*boxscore*NYY*@*WSH*L*3*12*None*1-4*7* 3.0*Johnson*Shawkey*None*2:12*D*20,000*----*None
Monday, Apr 21*boxscore*NYY*@*WSH*W*4*2*None*2-4*6* 2.5*Bush*Mogridge*None*2:03*D*7,500*+*None
Tuesday, Apr 22*boxscore*NYY*@*WSH*W*6*3*None*3-4*5* 2.5*Hoyt*Zahniser*None*2:05*D*2,500*++*None
Wednesday, Apr 23*boxscore*NYY*None*BOS*W*13*4*None*4-4*4* 1.5*Pennock*Ehmke*None*2:12*D*46,584*+++*None
Thursday, Apr 24*boxscore*NYY*None*BOS*W*6*3*None*5-4*3* 1.5*Shawkey*Ferguson*None*2:12*D*7,000*++++*None
Friday, Apr 25*boxscore*NYY*None*BOS*W*5*2*None*6-4*3* 0.5*Bush*Piercy*None*1:50*D*6,000*+++++*None
Saturday, Apr 26*boxscore*NYY*None*BOS*W*4*3*11*7-4*2* 0.5*Hoyt*Quinn*None*2:15*D*25,000*++++++*None
Sunday, Apr 27*boxscore*NYY*None*PHA*W*11*2*None*8-4*2* 0.5*Pennock*Burns*None*1:45*D*50,000*+++++++*None
Monday, Apr 28*boxscore*NYY*@*PHA*W*11*6*None*9-4*2* 0.5*Shawkey*Heimach*Jones*2:10*D*10,000*++++++++*None
Thursday, May 1*boxscore*NYY*None*WSH*L*2*3*None*9-5*1* Tied*Johnson*Hoyt*Marberry*2:08*D*None*-*None
Friday, May 2*boxscore*NYY*None*WSH*L*4*6*None*9-6*1* Tied*Mogridge*Pennock*None*2:07*D*None*--*None
Saturday, May 3*boxscore*NYY*None*WSH*W*5*4*None*10-6*1*up 0.5*Bush*Martina*None*1:52*D*20,000*+*None
Monday, May 5*boxscore*NYY*None*PHA*W*10*5*None*11-6*1*up 1.5*Shawkey*Hasty*None*2:04*D*6,000*++*None
Tuesday, May 6*boxscore*NYY*None*PHA*W*3*2*None*12-6*1*up 1.5*Hoyt*Rommel*None*1:45*D*6,000*+++*None
Wednesday, May 7*boxscore*NYY*None*PHA*W*7*4*None*13-6*1*up 2.0*Pennock*Naylor*Hoyt*2:05*D*6,000*++++*None
Saturday, May 10*boxscore*NYY*None*CHW*W*2*1*10*14-6*1*up 3.0*Jones*Thurston*None*1:57*D*5,000*+++++*None
Tuesday, May 13*boxscore*NYY*None*CHW*L*5*7*None*14-7*1*up 2.5*Lyons*Shawkey*Blankenship*2:21*D*7,000*-*None
Wednesday, May 14*boxscore*NYY*None*SLB*L*1*11*None*14-8*1*up 1.5*Shocker*Hoyt*None*2:00*D*25,000*--*None
Thursday, May 15*boxscore*NYY*None*SLB*L*1*2*None*14-9*1*up 0.5*Wingard*Pennock*None*1:45*D*10,000*---*None
Saturday, May 17*boxscore*NYY*None*SLB*W*7*2*None*15-9*1*up 1.5*Jones*Danforth*None*1:46*D*42,000*+*None
Sunday, May 18*boxscore*NYY*None*CLE*W*8*0*None*16-9*1*up 1.5*Shawkey*Uhle*None*2:00*D*40,000*++*None
Thursday, May 22*boxscore*NYY*None*CLE*W*6*3*None*17-9*1*up 1.5*Hoyt*Edwards*None*1:38*D*15,000*+++*None
Friday, May 23*boxscore*NYY*None*DET*W*7*6*None*18-9*1*up 1.5*Shawkey*Cole*None*2:38*D*14,000*++++*None
Saturday, May 24*boxscore*NYY*None*DET*L*3*7*None*18-10*1*up 0.5*Holloway*Pennock*None*2:05*D*23,000*-*None
Sunday, May 25*boxscore*NYY*None*DET*L*5*6*None*18-11*1* Tied*Holloway*Shawkey*None*2:54*D*45,000*--*None
Monday, May 26*boxscore*NYY*None*DET*W*8*2*None*19-11*1* Tied*Bush*Stoner*None*1:55*D*12,000*+*None
Wednesday, May 28*boxscore*NYY*@*WSH*W*7*4*None*20-11*1* Tied*Hoyt*Russell*None*2:15*D*2,500*++*None
Wednesday, May 28*boxscore*NYY*@*WSH*L*1*6*None*20-12*1* Tied*Zachary*Shawkey*None*1:58*D*4,000*-*1924-05-27 (Rain)
Friday, May 30*boxscore*NYY*None*PHA*W*6*0*None*21-12*1* Tied*Pennock*Harriss*None*1:35*D*15,000*+*None
