date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 15",boxscore,NYY,None,PHA,W,4,1,None,1-1,3, 0.5,Reynolds,Shantz,None,2:20,D,"8,196",+,None
"Thursday, Apr 16",boxscore,NYY,@,WSH,W,6,3,None,2-1,2, 0.5,Sain,Porterfield,None,2:23,D,"25,112",++,None
"Friday, Apr 17",boxscore,NYY,@,WSH,W,7,3,None,3-1,1,up 0.5,Lopat,Stobbs,Gorman,2:27,D,"4,206",+++,None
"Sunday, Apr 19",boxscore,NYY,@,PHA,W,5,2,None,4-1,2, 1.0,Blackwell,Shantz,Sain,2:12,D,None,++++,None
"Sunday, Apr 19",boxscore,NYY,@,PHA,L,0,3,None,4-2,2, 1.0,Kellner,McDonald,None,1:47,D,"24,730",-,None
"Tuesday, Apr 21",boxscore,NYY,None,BOS,W,1,0,None,5-2,1, Tied,Reynolds,Grissom,None,2:12,D,"7,193",+,None
"Wednesday, Apr 22",boxscore,NYY,None,BOS,W,6,2,None,6-2,1,up 0.5,Raschi,Brown,Gorman,2:28,D,"9,886",++,None
"Thursday, Apr 23",boxscore,NYY,None,BOS,W-wo,6,3,None,7-2,1,up 1.0,Sain,Werle,None,2:12,D,"10,045",+++,None
"Friday, Apr 24",boxscore,NYY,None,WSH,W,4,1,None,8-2,1,up 2.0,Lopat,Porterfield,None,2:19,D,"8,528",++++,None
"Saturday, Apr 25",boxscore,NYY,None,WSH,W-wo,4,2,None,9-2,1,up 2.0,Gorman,Sima,None,2:10,D,"18,121",+++++,None
"Sunday, Apr 26",boxscore,NYY,None,WSH,L,4,5,None,9-3,1,up 0.5,Marrero,Reynolds,None,2:30,D,"21,759",-,None
"Tuesday, Apr 28",boxscore,NYY,@,SLB,W,7,6,10,10-3,1,up 1.5,Reynolds,Brecheen,None,3:07,N,"13,463",+,None
"Thursday, Apr 30",boxscore,NYY,@,CHW,W,6,1,None,11-3,1,up 1.5,Ford,Bearden,None,2:20,N,"7,656",++,None
"Friday, May 1",boxscore,NYY,@,CHW,L,5,6,None,11-4,1,up 1.5,Pierce,Sain,Rogovin,3:10,N,"23,901",-,None
"Saturday, May 2",boxscore,NYY,@,CHW,L-wo,7,8,None,11-5,1,up 1.0,Harrist,Scarborough,None,3:08,D,"11,907",--,None
"Sunday, May 3",boxscore,NYY,@,DET,W,6,5,None,12-5,1,up 1.0,Miller,Hoeft,Blackwell,2:57,D,"29,462",+,None
"Monday, May 4",boxscore,NYY,@,DET,L,8,10,None,12-6,1,up 0.5,Madison,Raschi,Houtteman,2:43,D,"7,405",-,None
"Tuesday, May 5",boxscore,NYY,@,CLE,W,11,1,None,13-6,1,up 1.5,Ford,Lemon,Gorman,2:38,N,"28,383",+,None
"Friday, May 8",boxscore,NYY,@,BOS,L-wo,1,2,11,13-7,1,up 0.5,Brown,Sain,None,2:32,N,"33,055",-,None
"Saturday, May 9",boxscore,NYY,@,BOS,W,6,4,None,14-7,1,up 0.5,Blackwell,McDermott,Kuzava,2:57,D,"26,065",+,None
"Sunday, May 10",boxscore,NYY,@,BOS,W,7,4,None,15-7,1,up 0.5,Raschi,Hudson,None,2:55,D,"28,884",++,None
"Tuesday, May 12",boxscore,NYY,None,CLE,W,7,0,None,16-7,1,up 1.5,Ford,Wynn,None,2:17,N,"55,459",+++,None
"Wednesday, May 13",boxscore,NYY,None,CLE,W,9,4,None,17-7,1,up 2.5,Lopat,Garcia,Reynolds,2:31,D,"14,038",++++,None
"Thursday, May 14",boxscore,NYY,None,CHW,L,5,7,None,17-8,1,up 1.5,Dorish,Gorman,None,3:24,N,"8,516",-,None
"Saturday, May 16",boxscore,NYY,None,CHW,L,3,5,None,17-9,1,up 0.5,Aloma,Raschi,Dorish,3:17,D,"22,966",--,None
"Sunday, May 17",boxscore,NYY,None,SLB,W-wo,6,5,10,18-9,1,up 0.5,Kuzava,Blyzka,None,3:33,D,"42,596",+,None
"Tuesday, May 19",boxscore,NYY,None,DET,W-wo,4,2,11,19-9,1,up 2.0,Sain,Gray,None,2:27,N,"25,990",++,None
"Wednesday, May 20",boxscore,NYY,None,DET,W-wo,9,8,None,20-9,1,up 3.0,Reynolds,Wight,None,3:08,D,"9,113",+++,None
"Thursday, May 21",boxscore,NYY,@,WSH,W,6,5,None,21-9,1,up 3.5,McDonald,Masterson,Gorman,3:02,N,"16,026",++++,None
"Friday, May 22",boxscore,NYY,@,WSH,L,4,12,None,21-10,1,up 2.5,Porterfield,Reynolds,None,2:35,D,"4,774",-,None
"Saturday, May 23",boxscore,NYY,None,BOS,W,3,2,None,22-10,1,up 3.5,Raschi,Hudson,None,2:04,D,"26,255",+,None
"Sunday, May 24",boxscore,NYY,None,BOS,W,8,4,None,23-10,1,up 3.5,Sain,Brown,None,2:36,D,"47,165",++,None
