"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Thursday, Apr 23","None","NYY","@","WSH","W",7,2,"None","1-1",4,"None","None","None","None","None",NA,"+","None",1903,-1,5,7,2,5,1,0,1,1,NA
"Friday, Apr 24","None","NYY","@","WSH","L",1,7,"None","1-2",5,"None","None","None","None","None",NA,"-","None",1903,-1.5,-6,8,9,-1,1,1,0,0.5,NA
"Saturday, Apr 25","None","NYY","@","WSH","W",11,1,"None","2-2",3,"None","None","None","None","None",NA,"+","None",1903,-1.5,10,19,10,9,2,1,1,0.666666666666667,NA
"Monday, Apr 27","None","NYY","@","PHA","L",0,6,"None","2-3",5,"None","None","None","None","None",NA,"-","None",1903,-2.5,-6,19,16,3,2,2,0,0.5,NA
"Tuesday, Apr 28","None","NYY","@","PHA","L",3,7,"None","2-4",6,"None","None","None","None","None",NA,"--","None",1903,-2.5,-4,22,23,-1,2,3,-1,0.4,NA
"Wednesday, Apr 29","None","NYY","@","PHA","W",5,4,"None","3-4",5,"None","None","None","None","None",NA,"+","None",1903,-2.5,1,27,27,0,3,3,0,0.5,NA
"Thursday, Apr 30","None","NYY","None","WSH","W",6,2,"None","4-4",3,"None","None","None","None","None",NA,"++","None",1903,-2,4,33,29,4,4,3,1,0.571428571428571,NA
"Friday, May 1","None","NYY","None","WSH","W",8,3,"None","5-4",2,"None","None","None","None","None",NA,"+++","None",1903,-1,5,41,32,9,5,3,2,0.625,NA
"Saturday, May 2","None","NYY","None","WSH","L",3,4,"None","5-5",4,"None","None","None","None","None",NA,"-","None",1903,-2,-1,44,36,8,5,4,1,0.555555555555556,NA
"Monday, May 4","None","NYY","None","PHA","W",4,3,"None","6-5",3,"None","None","None","None","None",NA,"+","None",1903,-1.5,1,48,39,9,6,4,2,0.6,NA
"Tuesday, May 5","None","NYY","None","PHA","W",11,3,"None","7-5",2,"None","None","None","None","None",NA,"++","None",1903,-1.5,8,59,42,17,7,4,3,0.636363636363636,NA
"Wednesday, May 6","None","NYY","None","PHA","L",1,6,"None","7-6",2,"None","None","None","None","None",NA,"-","None",1903,-2.5,-5,60,48,12,7,5,2,0.583333333333333,NA
"Thursday, May 7","None","NYY","@","BOS","L",2,6,"None","7-7",4,"None","None","None","None","None",NA,"--","None",1903,-3.5,-4,62,54,8,7,6,1,0.538461538461538,NA
"Friday, May 8","None","NYY","@","BOS","W",6,1,"None","8-7",3,"None","None","None","None","None",NA,"+","None",1903,-2.5,5,68,55,13,8,6,2,0.571428571428571,NA
"Saturday, May 9","None","NYY","@","BOS","L",5,12,"None","8-8",4,"None","None","None","None","None",NA,"-","None",1903,-3.5,-7,73,67,6,8,7,1,0.533333333333333,NA
"Monday, May 11","None","NYY","@","DET","W",8,2,"None","9-8",3,"None","None","None","None","None",NA,"+","None",1903,-2,6,81,69,12,9,7,2,0.5625,NA
"Tuesday, May 12","None","NYY","@","DET","L",4,8,"None","9-9",5,"None","None","None","None","None",NA,"-","None",1903,-3,-4,85,77,8,9,8,1,0.529411764705882,NA
"Wednesday, May 13","None","NYY","@","DET","L",1,7,"None","9-10",5,"None","None","None","None","None",NA,"--","None",1903,-3,-6,86,84,2,9,9,0,0.5,NA
"Thursday, May 14","None","NYY","@","DET","L",6,9,"None","9-11",6,"None","None","None","None","None",NA,"---","None",1903,-4,-3,92,93,-1,9,10,-1,0.473684210526316,NA
