"team","var","min_val","max_val"
"NYY","date",Inf,-Inf
"NYY","boxscore",0,0
"NYY","team",Inf,-Inf
"NYY","home_or_away",0,0
"NYY","opponent",Inf,-Inf
"NYY","win_or_loss",Inf,-Inf
"NYY","runs",0,25
"NYY","runs_allowed",0,24
"NYY","innings",0,22
"NYY","win_loss_record",Inf,-Inf
"NYY","rank",1,10
"NYY","games_behind",0.5,55
"NYY","win",0,0
"NYY","loss",0,0
"NYY","save",0,0
"NYY","time",0,0
"NYY","day_or_night",0,0
"NYY","attendance",0,86563
"NYY","streak",Inf,-Inf
"NYY","originally_scheduled",0,0
"NYY","year",1903,2017
"NYY","games_ahead",-55,22
"NYY","run_diff",-22,23
"NYY","r_so_far",7,86722
"NYY","ra_so_far",2,74604
"NYY","rd_so_far",-549,12119
"NYY","wins_so_far",1,10218
"NYY","losses_so_far",0,7773
"NYY","record_so_far",0.4,1
"NYY","attendance_so_far",0,366383990
