date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Apr 7",boxscore,OAK,None,MIN,L,1,3,12,0-2,6, 2.0,Marshall,Todd,None,2:57,D,"3,222",--,None
"Sunday, Apr 8",boxscore,OAK,None,MIN,L,1,3,None,0-3,7, 3.0,Zahn,Norris,None,2:10,D,"3,326",---,None
"Monday, Apr 9",boxscore,OAK,@,SEA,L,2,5,None,0-4,7, 3.5,Bannister,Johnson,Rawley,2:19,N,"6,176",----,None
"Tuesday, Apr 10",boxscore,OAK,@,SEA,L,1,4,None,0-5,7, 4.5,Abbott,Langford,Rawley,2:23,N,"5,719",-----,None
"Wednesday, Apr 11",boxscore,OAK,@,SEA,W,14,7,None,1-5,7, 3.5,Todd,Honeycutt,None,3:33,N,"6,232",+,None
"Thursday, Apr 12",boxscore,OAK,@,SEA,L,3,4,None,1-6,7, 4.5,Montague,Lacey,None,3:01,N,"5,618",-,None
"Friday, Apr 13",boxscore,OAK,None,CAL,L,1,10,None,1-7,7, 5.5,Aase,Johnson,None,2:27,N,"2,985",--,None
"Saturday, Apr 14",boxscore,OAK,None,CAL,L,3,9,None,1-8,7, 6.5,Frost,Langford,None,2:38,D,"2,649",---,None
"Sunday, Apr 15",boxscore,OAK,None,CAL,L,1,8,None,1-9,7, 6.5,Tanana,Keough,None,2:44,D,"2,243",----,None
"Monday, Apr 16",boxscore,OAK,None,SEA,W,4,2,None,2-9,7, 6.0,Norris,Rawley,Lacey,2:12,N,"2,938",+,None
"Tuesday, Apr 17",boxscore,OAK,None,SEA,W-wo,6,5,None,3-9,7, 6.0,Heaverlo,Jones,None,2:43,N,653,++,None
"Wednesday, Apr 18",boxscore,OAK,None,SEA,W,5,2,None,4-9,7, 5.5,Wirth,Honeycutt,Heaverlo,2:20,D,"1,215",+++,None
"Friday, Apr 20",boxscore,OAK,@,CAL,L,4,7,None,4-10,7, 7.0,Tanana,Langford,Frost,3:05,N,"27,417",-,None
"Saturday, Apr 21",boxscore,OAK,@,CAL,L,1,13,None,4-11,7, 8.0,Ryan,Keough,None,3:03,N,"34,728",--,None
"Sunday, Apr 22",boxscore,OAK,@,CAL,W,7,6,None,5-11,6, 7.0,Heaverlo,LaRoche,None,3:07,D,"36,130",+,None
"Tuesday, Apr 24",boxscore,OAK,None,NYY,L,1,3,None,5-12,6, 7.0,John,Johnson,None,2:35,N,"9,158",-,None
"Wednesday, Apr 25",boxscore,OAK,None,NYY,W,1,0,None,6-12,6, 6.0,Minetto,Figueroa,Todd,1:59,N,"7,135",+,None
"Friday, Apr 27",boxscore,OAK,None,BAL,L,1,7,None,6-13,6, 6.5,Flanagan,Keough,None,2:10,N,"2,115",-,None
"Saturday, Apr 28",boxscore,OAK,None,BAL,W,8,5,None,7-13,6, 6.5,Todd,McGregor,Heaverlo,2:55,D,"2,436",+,None
"Sunday, Apr 29",boxscore,OAK,None,BAL,L,1,13,None,7-14,7, 6.5,Martinez,Johnson,None,2:33,D,"2,972",-,None
"Monday, Apr 30",boxscore,OAK,None,BOS,W-wo,5,4,11,8-14,6, 6.5,Lacey,Drago,None,2:45,N,"14,716",+,None
"Tuesday, May 1",boxscore,OAK,None,BOS,W,7,5,None,9-14,6, 6.0,McCatty,Stanley,Lacey,2:56,N,"5,689",++,None
"Wednesday, May 2",boxscore,OAK,None,BOS,L,1,2,None,9-15,6, 7.0,Torrez,Keough,None,2:21,N,"4,144",-,None
"Friday, May 4",boxscore,OAK,@,NYY,W,11,5,None,10-15,6, 7.5,Norris,Beattie,Lacey,2:48,N,"17,705",+,None
"Saturday, May 5",boxscore,OAK,@,NYY,L-wo,4,5,None,10-16,6, 7.5,John,Heaverlo,None,2:37,D,"30,167",-,None
"Sunday, May 6",boxscore,OAK,@,NYY,L-wo,5,6,10,10-17,6, 8.5,Guidry,Heaverlo,None,2:58,D,"46,750",--,None
"Monday, May 7",boxscore,OAK,@,BAL,W,5,3,None,11-17,6, 8.5,Langford,Martinez,None,2:41,N,"6,797",+,None
"Tuesday, May 8",boxscore,OAK,@,BAL,L,2,8,None,11-18,6, 9.5,Flanagan,Todd,None,2:28,N,"7,126",-,None
"Wednesday, May 9",boxscore,OAK,@,BAL,&H,4,2,None,12-18,6, 9.0,Norris,Palmer,None,2:28,N,"11,147",+,None
"Thursday, May 10",boxscore,OAK,@,BAL,L,1,3,None,12-19,6, 9.5,Martinez,Johnson,None,2:22,N,"7,466",-,None
"Friday, May 11",boxscore,OAK,@,BOS,L,2,11,None,12-20,6, 10.5,Stanley,Keough,None,2:27,N,"26,637",--,None
"Saturday, May 12",boxscore,OAK,@,BOS,L,2,8,None,12-21,6, 11.5,Torrez,Langford,None,2:32,D,"30,617",---,None
"Sunday, May 13",boxscore,OAK,@,BOS,L,2,8,None,12-22,6, 11.5,Rainey,Norris,None,2:27,D,"25,651",----,None
"Tuesday, May 15",boxscore,OAK,None,CHW,L,1,2,None,12-23,6, 11.0,Baumgarten,Johnson,Proly,2:16,N,"1,855",-----,None
"Wednesday, May 16",boxscore,OAK,None,CHW,L,1,3,None,12-24,6, 11.0,Barrios,Keough,Trout,2:20,N,"1,225",------,None
"Thursday, May 17",boxscore,OAK,None,CHW,L,1,5,None,12-25,6, 12.0,Kravec,Langford,None,2:08,D,"1,634",-------,None
"Friday, May 18",boxscore,OAK,None,MIL,L,0,8,None,12-26,6, 13.0,Travers,Norris,None,2:39,N,"2,556",--------,None
"Saturday, May 19",boxscore,OAK,None,MIL,W,12,4,None,13-26,6, 12.5,Johnson,Haas,None,2:38,D,"2,422",+,None
"Sunday, May 20",boxscore,OAK,None,MIL,W-wo,7,6,None,14-26,6, 11.0,Hamilton,Augustine,None,2:55,D,None,++,None
"Sunday, May 20",boxscore,OAK,None,MIL,W,2,1,None,15-26,6, 11.0,McCatty,Slaton,Heaverlo,2:22,D,"5,729",+++,None
"Tuesday, May 22",boxscore,OAK,@,CHW,L,4,5,None,15-27,6, 11.5,Hinton,Heaverlo,None,2:28,N,"14,202",-,None
"Wednesday, May 23",boxscore,OAK,@,CHW,L,1,6,None,15-28,6, 11.5,Kravec,Johnson,None,2:33,N,"11,881",--,None
"Thursday, May 24",boxscore,OAK,@,CHW,L,1,10,None,15-29,6, 12.0,Wortham,Keough,None,2:39,N,"5,638",---,None
"Friday, May 25",boxscore,OAK,@,MIL,L,2,3,None,15-30,7, 12.0,Caldwell,Lacey,None,2:12,N,"22,073",----,None
"Saturday, May 26",boxscore,OAK,@,MIL,L,4,8,None,15-31,7, 12.0,Slaton,Langford,None,2:51,N,"20,512",-----,None
