"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Saturday, Apr 13","boxscore","OAK","@","WSA","W",9,6,"None","1-1",5,"Dobson","Ortega","Aker","3:07","D",5014,"+","None",1968,-1.5,3,9,6,3,1,0,1,5014
"Sunday, Apr 14","boxscore","OAK","@","WSA","L",1,8,"None","1-2",7,"Higgins","Nash","None","2:26","D",7276,"-","None",1968,-2.5,-7,10,14,-4,1,1,0.5,12290
"Monday, Apr 15","boxscore","OAK","@","NYY","W",6,3,"None","2-2",3,"Odom","Stottlemyre","None","2:17","D",8579,"+","None",1968,-2.5,3,16,17,-1,2,1,0.666666666666667,20869
"Tuesday, Apr 16","boxscore","OAK","@","NYY","W",4,3,"None","3-2",3,"Sprague","Womack","None","2:18","D",10406,"++","None",1968,-2,1,20,20,0,3,1,0.75,31275
"Wednesday, Apr 17","boxscore","OAK","None","BAL","L",1,4,"None","3-3",4,"McNally","Krausse","None","2:35","N",50164,"-","None",1968,-3,-3,21,24,-3,3,2,0.6,81439
"Thursday, Apr 18","boxscore","OAK","None","BAL","W-wo",4,3,"13","4-3",3,"Lindblad","Brabender","None","3:40","N",5304,"+","None",1968,-2,1,25,27,-2,4,2,0.666666666666667,86743
"Friday, Apr 19","boxscore","OAK","None","WSA","L",0,3,"None","4-4",4,"Coleman","Nash","None","2:32","N",6251,"-","None",1968,-2.5,-3,25,30,-5,4,3,0.571428571428571,92994
"Saturday, Apr 20","boxscore","OAK","None","WSA","L",1,4,"None","4-5",7,"Bertaina","Odom","Baldwin","2:35","N",16407,"--","None",1968,-3.5,-3,26,34,-8,4,4,0.5,109401
"Sunday, Apr 21","boxscore","OAK","None","WSA","L",0,2,"None","4-6",7,"Pascual","Hunter","Knowles","2:04","D",10899,"---","None",1968,-5,-2,26,36,-10,4,5,0.444444444444444,120300
"Monday, Apr 22","boxscore","OAK","None","NYY","L",1,2,"None","4-7",8,"Peterson","Krausse","Womack","2:13","N",11714,"----","None",1968,-5.5,-1,27,38,-11,4,6,0.4,132014
"Tuesday, Apr 23","boxscore","OAK","None","NYY","L",3,6,"None","4-8",8,"Monbouquette","Dobson","None","2:15","N",9381,"-----","None",1968,-6,-3,30,44,-14,4,7,0.363636363636364,141395
"Wednesday, Apr 24","boxscore","OAK","None","NYY","W-wo",4,3,"11","5-8",8,"Aker","Womack","None","3:17","N",10750,"+","None",1968,-5,1,34,47,-13,5,7,0.416666666666667,152145
"Friday, Apr 26","boxscore","OAK","@","CAL","W",8,4,"None","6-8",7,"Odom","Burgmeier","Aker","2:32","N",9481,"++","None",1968,-4,4,42,51,-9,6,7,0.461538461538462,161626
"Saturday, Apr 27","boxscore","OAK","@","CAL","W",6,3,"None","7-8",7,"Hunter","Hamilton","Aker","2:31","N",10120,"+++","None",1968,-4,3,48,54,-6,7,7,0.5,171746
"Sunday, Apr 28","boxscore","OAK","@","CAL","L",3,4,"None","7-9",7,"Ellis","Krausse","Rojas","2:18","D",10964,"-","None",1968,-4.5,-1,51,58,-7,7,8,0.466666666666667,182710
"Monday, Apr 29","boxscore","OAK","@","DET","L-wo",1,2,"None","7-10",7,"Lolich","Aker","None","2:30","N",9125,"--","None",1968,-5.5,-1,52,60,-8,7,9,0.4375,191835
"Tuesday, Apr 30","boxscore","OAK","@","DET","W",3,1,"None","8-10",7,"Lindblad","Wilson","None","2:40","N",8791,"+","None",1968,-4.5,2,55,61,-6,8,9,0.470588235294118,200626
"Wednesday, May 1","boxscore","OAK","@","CLE","L",1,3,"None","8-11",8,"McDowell","Odom","None","2:11","N",3864,"-","None",1968,-5.5,-2,56,64,-8,8,10,0.444444444444444,204490
"Friday, May 3","boxscore","OAK","@","BOS","W",7,2,"None","9-11",7,"Hunter","Stephenson","None","2:28","N",23562,"+","None",1968,-4.5,5,63,66,-3,9,10,0.473684210526316,228052
"Saturday, May 4","boxscore","OAK","@","BOS","W",4,2,"None","10-11",6,"Krausse","Ellsworth","Sprague","3:03","D",21967,"++","None",1968,-4.5,2,67,68,-1,10,10,0.5,250019
"Sunday, May 5","boxscore","OAK","@","BOS","W",3,2,"None","11-11",4,"Dobson","Waslewski","None","2:51","D",29460,"+++","None",1968,-4.5,1,70,70,0,11,10,0.523809523809524,279479
"Monday, May 6","boxscore","OAK","None","MIN","W",2,1,"None","12-11",3,"Nash","Chance","Pierce","2:28","N",8023,"++++","None",1968,-4.5,1,72,71,1,12,10,0.545454545454545,287502
"Tuesday, May 7","boxscore","OAK","None","MIN","L",1,2,"None","12-12",5,"Perry","Odom","Worthington","2:43","N",8039,"-","None",1968,-4.5,-1,73,73,0,12,11,0.521739130434783,295541
"Wednesday, May 8","boxscore","OAK","None","MIN","W",4,0,"None","13-12",3,"Hunter","Boswell","None","2:28","N",6298,"+","None",1968,-3.5,4,77,73,4,13,11,0.541666666666667,301839
"Thursday, May 9","boxscore","OAK","None","CHW","L",2,4,"None","13-13",4,"Peters","Krausse","Locker","2:31","N",4062,"-","None",1968,-4,-2,79,77,2,13,12,0.52,305901
"Friday, May 10","boxscore","OAK","None","CHW","L",1,2,"None","13-14",5,"Locker","Dobson","Wood","2:37","N",7688,"--","None",1968,-4.5,-1,80,79,1,13,13,0.5,313589
"Saturday, May 11","boxscore","OAK","None","CHW","L",0,1,"None","13-15",5,"Horlen","Nash","Locker","2:21","D",30603,"---","None",1968,-5.5,-1,80,80,0,13,14,0.481481481481481,344192
"Sunday, May 12","boxscore","OAK","None","CHW","W",6,2,"None","14-15",5,"Pierce","Carlos","Aker","2:28","D",12340,"+","None",1968,-4.5,4,86,82,4,14,14,0.5,356532
"Tuesday, May 14","boxscore","OAK","@","MIN","W",13,8,"None","15-15",5,"Hunter","Merritt","Aker","2:58","N",13357,"++","None",1968,-4.5,5,99,90,9,15,14,0.517241379310345,369889
"Thursday, May 16","boxscore","OAK","@","MIN","L",3,4,"None","15-16",6,"Worthington","Dobson","None","2:13","D",6857,"-","None",1968,-4.5,-1,102,94,8,15,15,0.5,376746
"Friday, May 17","boxscore","OAK","@","CHW","L-wo",0,1,"10","15-17",6,"Horlen","Nash","None","2:42","N",8407,"--","None",1968,-5.5,-1,102,95,7,15,16,0.483870967741935,385153
"Saturday, May 18","boxscore","OAK","@","CHW","L",2,4,"None","15-18",6,"Wilhelm","Krausse","Wood","2:03","D",3752,"---","None",1968,-5.5,-2,104,99,5,15,17,0.46875,388905
