date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Thursday, Apr 12*boxscore*PHI*@*CHC*W*5*4*None*1-1*4* 1.0*Mulholland*Wilson*McDowell*2:53*D*None*+*1990-04-11 (Snow)
Thursday, Apr 12*boxscore*PHI*@*CHC*L*3*6*None*1-2*4* 1.0*Nunez*Combs*Williams*2:45*D*7,717*-*1990-04-09 (Rain)
Friday, Apr 13*boxscore*PHI*None*STL*L*0*11*None*1-3*5* 2.0*Tudor*Howell*Tewksbury*2:57*N*32,173*--*None
Saturday, Apr 14*boxscore*PHI*None*STL*W*6*2*None*2-3*3* 2.0*Ruffin*Magrane*Parrett*2:10*N*15,613*+*None
Sunday, Apr 15*boxscore*PHI*None*STL*W*4*0*None*3-3*2* 1.0*Cook*Smith*McDowell*2:24*D*14,435*++*None
Monday, Apr 16*boxscore*PHI*@*MON*L*4*5*None*3-4*4* 1.0*Hesketh*Parrett*Frey*2:49*N*11,063*-*None
Tuesday, Apr 17*boxscore*PHI*@*MON*L*1*2*None*3-5*5* 2.0*Hall*Frohwirth*Frey*2:53*N*8,406*--*None
Wednesday, Apr 18*boxscore*PHI*@*MON*W*4*3*None*4-5*4* 2.0*Howell*Gross*McDowell*2:57*N*10,096*+*None
Thursday, Apr 19*boxscore*PHI*None*MON*L*0*5*None*4-6*5* 2.0*Martinez*Ruffin*None*2:28*N*8,417*-*1990-04-06 (Strike)
Friday, Apr 20*boxscore*PHI*@*STL*W*3*0*None*5-6*4* 2.0*Cook*Smith*None*2:15*N*29,343*+*None
Saturday, Apr 21*boxscore*PHI*@*STL*W*7*6*10*6-6*3* 1.0*McDowell*Terry*None*3:39*N*39,798*++*None
Sunday, Apr 22*boxscore*PHI*@*STL*W*5*3*None*7-6*2* 1.0*Combs*Horton*McDowell*2:48*D*36,819*+++*None
Tuesday, Apr 24*boxscore*PHI*None*CIN*W*6*3*None*8-6*2* 0.5*Howell*Rijo*McDowell*2:49*N*19,161*++++*None
Wednesday, Apr 25*boxscore*PHI*None*CIN*L*7*12*None*8-7*3* 1.5*Mahler*Ruffin*None*3:01*N*18,497*-*None
Friday, Apr 27*boxscore*PHI*@*ATL*W*7*1*None*9-7*2* 2.0*Cook*Stanton*None*2:42*N*12,598*+*None
Saturday, Apr 28*boxscore*PHI*@*ATL*W*2*1*None*10-7*2* 2.0*Parrett*Boever*McDowell*2:23*N*12,659*++*None
Sunday, Apr 29*boxscore*PHI*@*ATL*L*1*3*None*10-8*2* 3.0*Smith*Combs*None*2:16*D*11,966*-*None
