date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 6",boxscore,PHI,@,CIN,L-wo,2,3,None,0-2,3, 2.0,Wood,Hinojosa,None,2:23,N,"21,621",--,None
"Thursday, Apr 7",boxscore,PHI,@,CIN,L,6,10,None,0-3,5, 2.0,Stephenson,Morton,None,3:04,D,"10,784",---,None
"Friday, Apr 8",boxscore,PHI,@,NYM,L,2,7,None,0-4,5, 2.5,deGrom,Eickhoff,None,3:09,D,"44,099",----,None
"Saturday, Apr 9",boxscore,PHI,@,NYM,W,1,0,None,1-4,4, 2.0,Velasquez,Colon,Gomez,2:44,N,"37,083",+,None
"Sunday, Apr 10",boxscore,PHI,@,NYM,W,5,2,None,2-4,3, 2.0,Hellickson,Harvey,Gomez,2:57,D,"37,233",++,None
"Monday, Apr 11",boxscore,PHI,None,SDP,L,3,4,None,2-5,4, 3.0,Quackenbush,Nola,Rodney,2:51,D,"45,229",-,None
"Tuesday, Apr 12",boxscore,PHI,None,SDP,W,3,0,None,3-5,3, 3.0,Morton,Erlin,Gomez,2:58,N,"21,043",+,None
"Wednesday, Apr 13",boxscore,PHI,None,SDP,W,2,1,None,4-5,2, 3.0,Eickhoff,Rea,Gomez,2:36,N,"17,638",++,None
"Thursday, Apr 14",boxscore,PHI,None,SDP,W,3,0,None,5-5,2, 3.0,Velasquez,Pomeranz,None,2:27,D,"18,079",+++,None
"Friday, Apr 15",boxscore,PHI,None,WSN,L,1,9,None,5-6,2, 4.0,Ross,Hellickson,None,3:11,N,"22,624",-,None
"Saturday, Apr 16",boxscore,PHI,None,WSN,L,1,8,None,5-7,2, 5.0,Scherzer,Nola,None,2:37,N,"30,320",--,None
"Sunday, Apr 17",boxscore,PHI,None,WSN,W-wo,3,2,10,6-7,2, 4.0,Gomez,Papelbon,None,3:24,D,"37,378",+,None
"Monday, Apr 18",boxscore,PHI,None,NYM,L,2,5,None,6-8,3, 4.0,Syndergaard,Eickhoff,None,2:51,N,"21,585",-,None
"Tuesday, Apr 19",boxscore,PHI,None,NYM,L,1,11,None,6-9,3, 5.0,Verrett,Velasquez,None,3:03,N,"22,417",--,None
"Wednesday, Apr 20",boxscore,PHI,None,NYM,W-wo,5,4,11,7-9,3, 5.0,Gomez,Robles,None,4:03,N,"20,057",+,None
"Friday, Apr 22",boxscore,PHI,@,MIL,W,5,2,None,8-9,3, 4.5,Nola,Davies,None,2:48,N,"23,439",++,None
"Saturday, Apr 23",boxscore,PHI,@,MIL,W,10,6,None,9-9,3, 4.5,Oberholtzer,Anderson,None,4:00,N,"34,813",+++,None
"Sunday, Apr 24",boxscore,PHI,@,MIL,L,5,8,None,9-10,3, 5.5,Peralta,Eickhoff,Jeffress,2:49,D,"28,131",-,None
"Tuesday, Apr 26",boxscore,PHI,@,WSN,W,4,3,None,10-10,3, 4.5,Velasquez,Perez,Gomez,3:25,N,"25,097",+,None
"Wednesday, Apr 27",boxscore,PHI,@,WSN,W,3,0,None,11-10,3, 3.5,Hellickson,Gonzalez,Gomez,2:59,N,"24,186",++,None
"Thursday, Apr 28",boxscore,PHI,@,WSN,W,3,0,None,12-10,3, 2.5,Araujo,Vazquez,Gomez,2:59,D,"22,112",+++,None
"Friday, Apr 29",boxscore,PHI,None,CLE,W-wo,4,3,11,13-10,3, 2.5,Hernandez,Allen,None,3:20,N,"18,677",++++,None
"Saturday, Apr 30",boxscore,PHI,None,CLE,W,4,3,None,14-10,3, 2.5,Bailey,Hunter,Gomez,3:03,N,"23,636",+++++,None
"Sunday, May 1",boxscore,PHI,None,CLE,W,2,1,None,15-10,3, 2.5,Velasquez,Salazar,Neris,2:40,D,"23,809",++++++,None
"Monday, May 2",boxscore,PHI,@,STL,L,3,10,None,15-11,3, 3.5,Wainwright,Hellickson,None,3:01,N,"40,438",-,None
"Tuesday, May 3",boxscore,PHI,@,STL,W,1,0,None,16-11,3, 2.5,Nola,Wacha,Gomez,2:31,N,"40,087",+,None
"Wednesday, May 4",boxscore,PHI,@,STL,L-wo,4,5,None,16-12,3, 3.5,Siegrist,Gomez,None,3:03,N,"40,725",-,None
"Thursday, May 5",boxscore,PHI,@,STL,L,0,4,None,16-13,3, 3.5,Garcia,Eickhoff,None,2:39,D,"41,818",--,None
"Friday, May 6",boxscore,PHI,@,MIA,L,4,6,None,16-14,4, 3.5,Barraclough,Neris,Phelps,2:49,N,"19,983",---,None
"Saturday, May 7",boxscore,PHI,@,MIA,W,4,3,None,17-14,3, 2.5,Oberholtzer,Breslow,Gomez,3:20,N,"21,719",+,None
"Sunday, May 8",boxscore,PHI,@,MIA,W,6,5,None,18-14,3, 2.0,Neris,Phelps,Gomez,3:10,D,"19,625",++,None
"Tuesday, May 10",boxscore,PHI,@,ATL,W,3,2,None,19-14,3, 1.5,Morgan,Wisler,Gomez,2:33,N,"14,490",+++,None
"Wednesday, May 11",boxscore,PHI,@,ATL,L,1,5,None,19-15,3, 2.5,Perez,Eickhoff,None,2:20,N,"13,760",-,None
"Thursday, May 12",boxscore,PHI,@,ATL,W,7,4,10,20-15,3, 1.5,Bailey,Grilli,Gomez,3:14,N,"15,643",+,None
"Friday, May 13",boxscore,PHI,None,CIN,W,3,2,None,21-15,3, 1.5,Hellickson,Finnegan,Gomez,2:37,N,"22,230",++,None
"Saturday, May 14",boxscore,PHI,None,CIN,W,4,3,None,22-15,2, 1.0,Nola,Adleman,Hernandez,2:45,N,"29,535",+++,None
"Sunday, May 15",boxscore,PHI,None,CIN,L,4,9,None,22-16,2, 1.0,Straily,Morgan,Cingrani,3:52,D,"27,869",-,None
"Monday, May 16",boxscore,PHI,None,MIA,L,3,5,None,22-17,2, 1.5,Conley,Eickhoff,Ramos,3:07,N,"28,348",--,None
"Tuesday, May 17",boxscore,PHI,None,MIA,W,3,1,None,23-17,2, 0.5,Velasquez,Chen,Gomez,2:53,N,"18,140",+,None
"Wednesday, May 18",boxscore,PHI,None,MIA,W,4,2,None,24-17,2, 0.5,Hellickson,Koehler,Gomez,2:29,D,"29,579",++,None
"Friday, May 20",boxscore,PHI,None,ATL,L,1,7,None,24-18,2, 2.0,Wisler,Nola,None,3:00,N,"27,257",-,None
"Saturday, May 21",boxscore,PHI,None,ATL,L,0,2,None,24-19,3, 2.0,Perez,Morgan,Vizcaino,2:56,D,"20,196",--,None
"Sunday, May 22",boxscore,PHI,None,ATL,W,5,0,None,25-19,3, 2.0,Eickhoff,Kelly,None,2:35,D,"23,367",+,None
"Monday, May 23",boxscore,PHI,@,DET,L,4,5,None,25-20,3, 2.0,Wilson,Murray,Rodriguez,3:10,N,"26,400",-,None
"Tuesday, May 24",boxscore,PHI,@,DET,L,1,3,None,25-21,3, 3.0,Verlander,Hellickson,Rodriguez,2:38,N,"26,531",--,None
"Wednesday, May 25",boxscore,PHI,@,DET,W,8,5,None,26-21,3, 2.0,Nola,Sanchez,Gomez,3:11,D,"31,187",+,None
"Friday, May 27",boxscore,PHI,@,CHC,L,2,6,None,26-22,3, 2.5,Lester,Morgan,None,3:04,D,"38,941",-,None
"Saturday, May 28",boxscore,PHI,@,CHC,L,1,4,None,26-23,3, 2.5,Hendricks,Eickhoff,None,2:18,D,"41,555",--,None
"Sunday, May 29",boxscore,PHI,@,CHC,L,2,7,None,26-24,3, 3.5,Lackey,Velasquez,None,2:50,D,"41,575",---,None
"Monday, May 30",boxscore,PHI,None,WSN,L,3,4,None,26-25,3, 4.5,Roark,Neris,Papelbon,2:53,N,"21,993",----,None
"Tuesday, May 31",boxscore,PHI,None,WSN,L,1,5,None,26-26,4, 5.5,Ross,Nola,None,2:54,N,"18,572",-----,None
"Wednesday, Jun 1",boxscore,PHI,None,WSN,L,2,7,None,26-27,4, 6.5,Scherzer,Morgan,None,2:45,N,"19,052",------,None
"Thursday, Jun 2",boxscore,PHI,None,MIL,L,1,4,None,26-28,4, 7.0,Anderson,Eickhoff,Jeffress,3:14,N,"22,890",-------,None
"Friday, Jun 3",boxscore,PHI,None,MIL,W,6,3,None,27-28,4, 6.0,Bailey,Nelson,Gomez,3:03,N,"20,138",+,None
"Saturday, Jun 4",boxscore,PHI,None,MIL,L,3,6,None,27-29,4, 6.0,Smith,Neris,Jeffress,3:25,D,"25,177",-,None
"Sunday, Jun 5",boxscore,PHI,None,MIL,W,8,1,None,28-29,4, 6.0,Nola,Peralta,None,3:05,D,"24,259",+,None
"Monday, Jun 6",boxscore,PHI,None,CHC,L,4,6,None,28-30,4, 6.5,Lester,Morgan,Rondon,3:05,N,"22,162",-,None
"Tuesday, Jun 7",boxscore,PHI,None,CHC,W,3,2,None,29-30,4, 6.5,Eickhoff,Hendricks,Gomez,2:45,N,"27,381",+,None
