"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, May 2","None","PHI","None","PRO","L",1,4,"None","0-2",6,"None","None","None","None","None",NA,"--","None",1883,-2,-3,1,4,-3,0,1,0,NA
"Thursday, May 3","None","PHI","None","PRO","L",6,24,"None","0-3",6,"None","None","None","None","None",NA,"---","None",1883,-3,-18,7,28,-21,0,2,0,NA
"Friday, May 4","None","PHI","None","BSN","L",10,11,"None","0-4",8,"None","None","None","None","None",NA,"----","None",1883,-4,-1,17,39,-22,0,3,0,NA
"Saturday, May 5","None","PHI","None","BSN","L",3,5,"None","0-5",8,"None","None","None","None","None",NA,"-----","None",1883,-5,-2,20,44,-24,0,4,0,NA
"Monday, May 7","None","PHI","None","BSN","L",8,20,"None","0-6",8,"None","None","None","None","None",NA,"------","None",1883,-6,-12,28,64,-36,0,5,0,NA
"Friday, May 11","None","PHI","@","CHC","L",9,11,"None","0-7",8,"None","None","None","None","None",NA,"-------","None",1883,-6.5,-2,37,75,-38,0,6,0,NA
"Saturday, May 12","None","PHI","@","CHC","L",1,6,"None","0-8",8,"None","None","None","None","None",NA,"--------","None",1883,-6.5,-5,38,81,-43,0,7,0,NA
"Monday, May 14","None","PHI","@","CHC","W",12,1,"None","1-8",8,"None","None","None","None","None",NA,"+","1883-05-10 (Rain)",1883,-6,11,50,82,-32,1,7,0.125,NA
"Tuesday, May 15","None","PHI","@","DTN","W",4,3,"None","2-8",8,"None","None","None","None","None",NA,"++","None",1883,-5,1,54,85,-31,2,7,0.222222222222222,NA
"Wednesday, May 16","None","PHI","@","DTN","L",10,11,"None","2-9",8,"None","None","None","None","None",NA,"-","None",1883,-6,-1,64,96,-32,2,8,0.2,NA
"Thursday, May 17","None","PHI","@","DTN","L",6,12,"None","2-10",8,"None","None","None","None","None",NA,"--","None",1883,-7,-6,70,108,-38,2,9,0.181818181818182,NA
"Saturday, May 19","None","PHI","@","CLV","W",10,8,"None","3-10",8,"None","None","None","None","None",NA,"+","None",1883,-6,2,80,116,-36,3,9,0.25,NA
"Wednesday, May 23","None","PHI","@","CLV","L",6,8,"None","3-11",8,"None","None","None","None","None",NA,"-","1883-05-21 (Rain)",1883,-7.5,-2,86,124,-38,3,10,0.230769230769231,NA
"Thursday, May 24","None","PHI","@","BUF","L",4,8,"None","3-12",8,"None","None","None","None","None",NA,"--","None",1883,-7.5,-4,90,132,-42,3,11,0.214285714285714,NA
"Friday, May 25","None","PHI","@","BUF","L",0,4,"None","3-13",8,"None","None","None","None","None",NA,"---","None",1883,-8,-4,90,136,-46,3,12,0.2,NA
"Monday, May 28","None","PHI","@","BUF","W",3,2,"None","4-13",8,"None","None","None","None","None",NA,"+","1883-05-26 (Rain)",1883,-7.5,1,93,138,-45,4,12,0.25,NA
"Wednesday, May 30","None","PHI","None","CHC","L",8,15,"None","4-14",8,"None","None","None","None","None",NA,"-","None",1883,-9.5,-7,101,153,-52,4,13,0.235294117647059,NA
"Wednesday, May 30","None","PHI","None","CHC","L",4,22,"None","4-15",8,"None","None","None","None","None",NA,"--","None",1883,-9.5,-18,105,175,-70,4,14,0.222222222222222,NA
"Thursday, May 31","None","PHI","None","CHC","L",3,4,"None","4-16",8,"None","None","None","None","None",NA,"---","None",1883,-10.5,-1,108,179,-71,4,15,0.210526315789474,NA
"Friday, Jun 1","None","PHI","None","CHC","L",1,10,"None","4-17",8,"None","None","None","None","None",NA,"----","None",1883,-11.5,-9,109,189,-80,4,16,0.2,NA
"Saturday, Jun 2","None","PHI","None","DTN","L",2,5,"None","4-18",8,"None","None","None","None","None",NA,"-----","None",1883,-11.5,-3,111,194,-83,4,17,0.19047619047619,NA
"Monday, Jun 4","None","PHI","None","DTN","L",3,10,"None","4-19",8,"None","None","None","None","None",NA,"------","None",1883,-12.5,-7,114,204,-90,4,18,0.181818181818182,NA
"Tuesday, Jun 5","None","PHI","None","DTN","L",4,6,"None","4-20",8,"None","None","None","None","None",NA,"-------","None",1883,-12.5,-2,118,210,-92,4,19,0.173913043478261,NA
"Wednesday, Jun 6","None","PHI","None","DTN","W",20,4,"None","5-20",8,"None","None","None","None","None",NA,"+","None",1883,-12,16,138,214,-76,5,19,0.208333333333333,NA
"Friday, Jun 8","None","PHI","None","CLV","L",4,8,"None","5-21",8,"None","None","None","None","None",NA,"-","None",1883,-12,-4,142,222,-80,5,20,0.2,NA
"Saturday, Jun 9","None","PHI","None","CLV","L",1,15,"None","5-22",8,"None","None","None","None","None",NA,"--","None",1883,-12.5,-14,143,237,-94,5,21,0.192307692307692,NA
"Monday, Jun 11","None","PHI","None","CLV","L",0,7,"None","5-23",8,"None","None","None","None","None",NA,"---","None",1883,-13.5,-7,143,244,-101,5,22,0.185185185185185,NA
"Tuesday, Jun 12","None","PHI","None","CLV","W",4,3,"None","6-23",8,"None","None","None","None","None",NA,"+","None",1883,-13,1,147,247,-100,6,22,0.214285714285714,NA
"Thursday, Jun 14","None","PHI","None","BUF","W",2,0,"None","7-23",8,"None","None","None","None","None",NA,"++","None",1883,-13,2,149,247,-98,7,22,0.241379310344828,NA
"Friday, Jun 15","None","PHI","None","BUF","L",4,22,"None","7-24",8,"None","None","None","None","None",NA,"-","None",1883,-14,-18,153,269,-116,7,23,0.233333333333333,NA
"Saturday, Jun 16","None","PHI","None","BUF","W",4,2,"None","8-24",8,"None","None","None","None","None",NA,"+","None",1883,-14,2,157,271,-114,8,23,0.258064516129032,NA
"Monday, Jun 18","None","PHI","None","BUF","L",2,11,"None","8-25",8,"None","None","None","None","None",NA,"-","None",1883,-15,-9,159,282,-123,8,24,0.25,NA
"Tuesday, Jun 19","None","PHI","@","BSN","L",8,9,"None","8-26",8,"None","None","None","None","None",NA,"--","None",1883,-16,-1,167,291,-124,8,25,0.242424242424242,NA
"Wednesday, Jun 20","None","PHI","@","BSN","L",4,29,"None","8-27",8,"None","None","None","None","None",NA,"---","None",1883,-16,-25,171,320,-149,8,26,0.235294117647059,NA
"Thursday, Jun 21","None","PHI","@","PRO","L",8,13,"None","8-28",8,"None","None","None","None","None",NA,"----","None",1883,-17,-5,179,333,-154,8,27,0.228571428571429,NA
"Friday, Jun 22","None","PHI","@","PRO","L",9,15,"None","8-29",8,"None","None","None","None","None",NA,"-----","None",1883,-18,-6,188,348,-160,8,28,0.222222222222222,NA
"Saturday, Jun 23","None","PHI","@","BSN","L",2,6,"None","8-30",8,"None","None","None","None","None",NA,"------","None",1883,-19,-4,190,354,-164,8,29,0.216216216216216,NA
"Monday, Jun 25","None","PHI","@","BSN","L",7,15,"None","8-31",8,"None","None","None","None","None",NA,"-------","None",1883,-20,-8,197,369,-172,8,30,0.210526315789474,NA
"Tuesday, Jun 26","None","PHI","@","PRO","W",4,0,"None","9-31",8,"None","None","None","None","None",NA,"+","None",1883,-19,4,201,369,-168,9,30,0.230769230769231,NA
"Wednesday, Jun 27","None","PHI","@","PRO","L",4,8,"None","9-32",8,"None","None","None","None","None",NA,"-","None",1883,-20,-4,205,377,-172,9,31,0.225,NA
"Friday, Jun 29","None","PHI","@","NYG","L",6,7,"None","9-33",8,"None","None","None","None","None",NA,"--","None",1883,-21,-1,211,384,-173,9,32,0.219512195121951,NA
"Saturday, Jun 30","None","PHI","None","NYG","L",6,8,"None","9-34",8,"None","None","None","None","None",NA,"---","None",1883,-21,-2,217,392,-175,9,33,0.214285714285714,NA
"Monday, Jul 2","None","PHI","None","NYG","L",6,7,"None","9-35",8,"None","None","None","None","None",NA,"----","None",1883,-21,-1,223,399,-176,9,34,0.209302325581395,NA
"Tuesday, Jul 3","None","PHI","@","NYG","L",8,11,"None","9-36",8,"None","None","None","None","None",NA,"-----","None",1883,-22,-3,231,410,-179,9,35,0.204545454545455,NA
"Wednesday, Jul 4","None","PHI","None","PRO","*H",9,11,"None","10-36",8,"None","None","None","None","None",NA,"+","None",1883,-21,-2,240,421,-181,10,36,0.217391304347826,NA
"Wednesday, Jul 4","None","PHI","None","BSN","L",8,17,"None","10-37",8,"None","None","None","None","None",NA,"-","None",1883,-21,-9,248,438,-190,10,37,0.212765957446809,NA
"Friday, Jul 6","None","PHI","None","BSN","L",6,13,"None","10-38",8,"None","None","None","None","None",NA,"--","None",1883,-22,-7,254,451,-197,10,38,0.208333333333333,NA
