"team","var","min_val","max_val"
"PHI","date",Inf,-Inf
"PHI","boxscore",0,0
"PHI","team",Inf,-Inf
"PHI","home_or_away",0,0
"PHI","opponent",Inf,-Inf
"PHI","win_or_loss",Inf,-Inf
"PHI","runs",0,29
"PHI","runs_allowed",0,29
"PHI","innings",0,21
"PHI","win_loss_record",Inf,-Inf
"PHI","rank",1,11
"PHI","games_behind",0.5,62.5
"PHI","win",0,0
"PHI","loss",0,0
"PHI","save",0,0
"PHI","time",0,0
"PHI","day_or_night",0,0
"PHI","attendance",0,63816
"PHI","streak",Inf,-Inf
"PHI","originally_scheduled",0,0
"PHI","year",1883,2017
"PHI","games_ahead",-62.5,15.5
"PHI","run_diff",-28,25
"PHI","r_so_far",1,90709
"PHI","ra_so_far",4,96570
"PHI","rd_so_far",-6142,690
"PHI","wins_so_far",0,9735
"PHI","losses_so_far",1,10895
"PHI","record_so_far",0,0.5242221346987
"PHI","attendance_so_far",0,264432527
