date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Tuesday, Apr 4",boxscore,PIT,@,MIL,L,5,7,None,0-2,6, 2.0,Capuano,Santos,Turnbow,3:23,N,"15,515",--,None
"Wednesday, Apr 5",boxscore,PIT,@,MIL,L,2,3,None,0-3,6, 3.0,Wise,Marte,Turnbow,2:43,N,"15,430",---,None
"Thursday, Apr 6",boxscore,PIT,@,CIN,L,5,6,None,0-4,6, 3.5,White,Gonzalez,Weathers,2:49,N,"13,887",----,None
"Friday, Apr 7",boxscore,PIT,@,CIN,L,6,7,None,0-5,6, 4.5,Milton,Maholm,Mercker,2:40,N,"16,573",-----,None
"Saturday, Apr 8",boxscore,PIT,@,CIN,L,9,11,None,0-6,6, 5.5,Harang,Perez,White,3:15,D,"20,244",------,None
"Sunday, Apr 9",boxscore,PIT,@,CIN,W,5,3,None,1-6,6, 4.5,Santos,Williams,Hernandez,2:45,D,"22,090",+,None
"Monday, Apr 10",boxscore,PIT,None,LAD,L,3,8,None,1-7,6, 4.5,Perez,Duke,None,2:56,D,"39,129",-,None
"Tuesday, Apr 11",boxscore,PIT,None,LAD,W,7,6,None,2-7,6, 4.0,Torres,Carter,Gonzalez,2:24,N,"17,240",+,None
"Wednesday, Apr 12",boxscore,PIT,None,LAD,W,9,5,None,3-7,6, 3.5,Torres,Kuo,None,2:49,N,"13,237",++,None
"Thursday, Apr 13",boxscore,PIT,None,LAD,L,5,13,None,3-8,6, 4.0,Lowe,Perez,None,3:10,D,"18,134",-,None
"Friday, Apr 14",boxscore,PIT,None,CHC,L,6,11,None,3-9,6, 5.0,Marshall,Santos,None,3:22,N,"20,233",--,None
"Saturday, Apr 15",boxscore,PIT,None,CHC,W,2,1,None,4-9,6, 4.0,Duke,Williams,Gonzalez,2:23,N,"34,264",+,None
"Sunday, Apr 16",boxscore,PIT,None,CHC,L,3,7,None,4-10,6, 5.0,Rusch,Snell,None,2:31,D,"15,020",-,None
"Monday, Apr 17",boxscore,PIT,None,STL,L,1,2,None,4-11,6, 6.0,Marquis,Maholm,Isringhausen,2:18,N,"15,278",--,None
