"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, May 3","None","PIT","@","CIN","L",3,7,"None","1-1",3,"None","None","None","None","None",NA,"-","None",1882,-1,-4,3,7,-4,0,1,0,NA
"Thursday, May 4","None","PIT","@","CIN","L",10,19,"None","1-2",4,"None","None","None","None","None",NA,"--","None",1882,-2,-9,13,26,-13,0,2,0,NA
"Monday, May 8","None","PIT","@","CIN","W",2,0,"None","2-2",2,"None","None","None","None","None",NA,"+","1882-05-06 (Unknown reason)",1882,-0.5,2,15,26,-11,1,2,0.333333333333333,NA
"Wednesday, May 10","None","PIT","None","STL","W",9,5,"None","3-2",2,"None","None","None","None","None",NA,"++","None",1882,-0.5,4,24,31,-7,2,2,0.5,NA
"Tuesday, May 16","None","PIT","@","CIN","L",4,9,"None","3-3",2,"None","None","None","None","None",NA,"-","1882-05-16 (Site change)",1882,-1.5,-5,28,40,-12,2,3,0.4,NA
"Thursday, May 18","None","PIT","None","CIN","L",2,3,"None","3-4",4,"None","None","None","None","None",NA,"--","None",1882,-3,-1,30,43,-13,2,4,0.333333333333333,NA
"Friday, May 19","None","PIT","None","CIN","W",8,7,"None","4-4",3,"None","None","None","None","None",NA,"+","None",1882,-2,1,38,50,-12,3,4,0.428571428571429,NA
"Saturday, May 20","None","PIT","None","CIN","W",5,3,"None","5-4",3,"None","None","None","None","None",NA,"++","None",1882,-1.5,2,43,53,-10,4,4,0.5,NA
"Monday, May 29","None","PIT","None","LOU","L",7,15,"None","5-5",3,"None","None","None","None","None",NA,"-","None",1882,-2.5,-8,50,68,-18,4,5,0.444444444444444,NA
"Tuesday, May 30","None","PIT","None","LOU","W",10,8,"None","6-5",3,"None","None","None","None","None",NA,"+","None",1882,-1.5,2,60,76,-16,5,5,0.5,NA
"Thursday, Jun 1","None","PIT","None","STL","W",11,4,"None","7-5",2,"None","None","None","None","None",NA,"++","1882-05-09 (Unknown reason)",1882,-2,7,71,80,-9,6,5,0.545454545454545,NA
"Sunday, Jun 4","None","PIT","@","STL","L",3,7,"None","7-6",3,"None","None","None","None","None",NA,"-","1882-06-05 (Unknown reason)",1882,-1.5,-4,74,87,-13,6,6,0.5,NA
"Tuesday, Jun 6","None","PIT","@","STL","W",15,6,"None","8-6",2,"None","None","None","None","None",NA,"+","None",1882,-2,9,89,93,-4,7,6,0.538461538461538,NA
"Thursday, Jun 8","None","PIT","@","STL","L",5,6,"None","8-7",4,"None","None","None","None","None",NA,"-","None",1882,-2,-1,94,99,-5,7,7,0.5,NA
"Saturday, Jun 10","None","PIT","@","STL","W",9,3,"None","9-7",3,"None","None","None","None","None",NA,"+","None",1882,-1.5,6,103,102,1,8,7,0.533333333333333,NA
"Monday, Jun 12","None","PIT","@","LOU","L",4,8,"None","9-8",4,"None","None","None","None","None",NA,"-","None",1882,-2,-4,107,110,-3,8,8,0.5,NA
"Thursday, Jun 15","None","PIT","@","LOU","L",0,5,"None","9-9",5,"None","None","None","None","None",NA,"--","None",1882,-3,-5,107,115,-8,8,9,0.470588235294118,NA
"Saturday, Jun 17","None","PIT","@","LOU","L",0,10,"None","9-10",5,"None","None","None","None","None",NA,"---","None",1882,-4,-10,107,125,-18,8,10,0.444444444444444,NA
"Tuesday, Jun 20","None","PIT","@","CIN","L",1,6,"None","9-11",5,"None","None","None","None","None",NA,"----","None",1882,-5,-5,108,131,-23,8,11,0.421052631578947,NA
"Thursday, Jun 22","None","PIT","@","CIN","L",2,5,"None","9-12",5,"None","None","None","None","None",NA,"-----","None",1882,-6,-3,110,136,-26,8,12,0.4,NA
