"team","var","min_val","max_val"
"PIT","date",Inf,-Inf
"PIT","boxscore",0,0
"PIT","team",Inf,-Inf
"PIT","home_or_away",0,0
"PIT","opponent",Inf,-Inf
"PIT","win_or_loss",Inf,-Inf
"PIT","runs",0,27
"PIT","runs_allowed",0,28
"PIT","innings",0,22
"PIT","win_loss_record",Inf,-Inf
"PIT","rank",1,13
"PIT","games_behind",0.5,66.5
"PIT","win",0,0
"PIT","loss",0,0
"PIT","save",0,0
"PIT","time",0,0
"PIT","day_or_night",0,0
"PIT","attendance",0,65681
"PIT","streak",Inf,-Inf
"PIT","originally_scheduled",0,0
"PIT","year",1882,2017
"PIT","games_ahead",-66.5,27.5
"PIT","run_diff",-22,23
"PIT","r_so_far",3,92231
"PIT","ra_so_far",7,91576
"PIT","rd_so_far",-1325,2531
"PIT","wins_so_far",0,10482
"PIT","losses_so_far",1,10335
"PIT","record_so_far",0,0.545454545454545
"PIT","attendance_so_far",0,245448316
