date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 7",boxscore,SDP,None,SFG,L,3,7,None,0-2,5, 2.0,Perry,Kirby,None,2:45,N,"6,790",--,None
"Thursday, Apr 8",boxscore,SDP,None,SFG,W-wo,7,6,None,1-2,4, 1.5,Ross,McMahon,None,3:05,N,"6,199",+,None
"Friday, Apr 9",boxscore,SDP,@,LAD,W,6,3,None,2-2,4, 0.5,Coombs,Singer,Severinsen,2:43,N,"31,413",++,None
"Saturday, Apr 10",boxscore,SDP,@,LAD,L,2,9,None,2-3,4, 1.5,Osteen,Roberts,None,2:46,N,"19,705",-,None
"Sunday, Apr 11",boxscore,SDP,@,LAD,W,9,7,None,3-3,4, 1.5,Phoebus,Sutton,Severinsen,2:37,D,"14,536",+,None
"Monday, Apr 12",boxscore,SDP,@,SFG,L,0,5,None,3-4,4, 2.0,Perry,Kirby,None,2:27,D,"29,847",-,None
"Thursday, Apr 15",boxscore,SDP,None,CHC,L,3,4,None,3-5,5, 3.5,Hands,Arlin,None,2:27,N,"4,515",--,None
"Friday, Apr 16",boxscore,SDP,None,STL,L,1,7,None,3-6,6, 4.5,Gibson,Coombs,None,1:58,N,"6,782",---,None
"Saturday, Apr 17",boxscore,SDP,None,STL,L,0,4,None,3-7,6, 5.5,Carlton,Phoebus,None,2:08,N,"3,462",----,None
"Sunday, Apr 18",boxscore,SDP,None,STL,L,2,4,None,3-8,6, 7.0,Torrez,Ross,Linzy,2:35,D,"8,777",-----,None
"Monday, Apr 19",boxscore,SDP,None,LAD,L,2,3,None,3-9,6, 8.0,Mikkelsen,Roberts,None,2:25,N,"3,727",------,None
"Tuesday, Apr 20",boxscore,SDP,None,LAD,L,2,6,None,3-10,6, 8.0,Downing,Arlin,None,2:20,N,"4,523",-------,None
"Wednesday, Apr 21",boxscore,SDP,None,LAD,L,2,10,None,3-11,6, 8.0,Singer,Coombs,None,2:35,N,"3,907",--------,None
"Saturday, Apr 24",boxscore,SDP,@,ATL,W,3,2,None,4-11,6, 8.5,Phoebus,Upshaw,Severinsen,2:21,N,"8,115",+,None
"Sunday, Apr 25",boxscore,SDP,@,ATL,W,3,2,None,5-11,6, 8.0,Roberts,Niekro,Severinsen,1:58,D,None,++,None
"Sunday, Apr 25",boxscore,SDP,@,ATL,L-wo,3,4,10,5-12,6, 8.0,Upshaw,Ross,None,2:19,D,"25,922",-,None
"Tuesday, Apr 27",boxscore,SDP,@,CIN,L,1,6,None,5-13,6, 9.0,Nolan,Arlin,Carroll,2:17,N,"6,130",--,None
"Wednesday, Apr 28",boxscore,SDP,@,CIN,L-wo,5,6,None,5-14,6, 10.0,Carroll,Kelley,None,2:12,N,"6,484",---,None
"Thursday, Apr 29",boxscore,SDP,@,CIN,L,2,4,None,5-15,6, 11.0,Simpson,Phoebus,Granger,2:18,D,"7,019",----,None
"Friday, Apr 30",boxscore,SDP,@,PIT,L,3,5,None,5-16,6, 12.0,Nelson,Kelley,Grant,2:06,N,"5,944",-----,None
"Saturday, May 1",boxscore,SDP,@,PIT,L-wo,4,5,11,5-17,6, 12.0,Grant,Laxton,None,2:55,D,"6,068",------,None
"Sunday, May 2",boxscore,SDP,@,PIT,L,1,5,None,5-18,6, 13.0,Ellis,Arlin,Giusti,2:05,D,"8,482",-------,None
"Tuesday, May 4",boxscore,SDP,None,ATL,W,3,2,None,6-18,6, 12.0,Severinsen,Jarvis,None,2:21,N,"2,924",+,None
"Wednesday, May 5",boxscore,SDP,None,ATL,W,5,1,None,7-18,6, 12.5,Roberts,Niekro,Severinsen,1:53,N,None,++,None
"Wednesday, May 5",boxscore,SDP,None,ATL,L,1,3,None,7-19,6, 12.5,Nash,Kirby,Upshaw,2:37,N,"4,973",-,None
"Saturday, May 8",boxscore,SDP,None,CIN,W,10,0,None,8-19,6, 12.5,Arlin,Gullett,None,2:44,N,None,+,None
"Saturday, May 8",boxscore,SDP,None,CIN,L,4,7,None,8-20,6, 12.5,Nolan,Phoebus,Granger,3:06,N,"16,406",-,1971-05-07 (Rain)
"Sunday, May 9",boxscore,SDP,None,CIN,W,7,2,None,9-20,6, 12.0,Kirby,McGlothlin,None,2:22,D,"9,557",+,None
"Tuesday, May 11",boxscore,SDP,None,PIT,L,4,10,None,9-21,6, 13.5,Ellis,Coombs,Giusti,2:33,N,"4,440",-,None
"Wednesday, May 12",boxscore,SDP,None,PIT,W,2,1,None,10-21,6, 13.5,Roberts,Walker,None,2:06,N,"4,292",+,None
"Friday, May 14",boxscore,SDP,@,CHC,L,2,3,None,10-22,6, 14.5,Pappas,Arlin,None,1:55,D,"7,060",-,None
"Saturday, May 15",boxscore,SDP,@,CHC,L,4,6,None,10-23,6, 15.5,Jenkins,Kelley,None,2:23,D,"23,845",--,None
"Sunday, May 16",boxscore,SDP,@,CHC,L-wo,8,9,10,10-24,6, 16.0,Stephenson,Santorini,None,3:44,D,None,---,None
"Sunday, May 16",boxscore,SDP,@,CHC,L,4,6,None,10-25,6, 16.0,Holtzman,Kirby,Regan,2:15,D,"37,972",----,None
"Monday, May 17",boxscore,SDP,@,HOU,L,0,2,None,10-26,6, 16.5,Wilson,Roberts,None,1:49,N,"7,457",-----,None
"Tuesday, May 18",boxscore,SDP,@,HOU,L-wo,2,3,None,10-27,6, 17.5,Gladding,Miller,None,2:36,N,"8,015",------,None
"Wednesday, May 19",boxscore,SDP,@,HOU,W,2,1,10,11-27,6, 16.5,Miller,Gladding,None,2:42,N,"8,816",+,None
"Thursday, May 20",boxscore,SDP,@,HOU,W,4,2,None,12-27,6, 16.5,Kirby,Blasingame,Severinsen,2:44,N,"7,162",++,None
"Friday, May 21",boxscore,SDP,@,STL,L,8,15,None,12-28,6, 16.5,Shaw,Laxton,Drabowsky,3:09,N,"27,298",-,None
"Saturday, May 22",boxscore,SDP,@,STL,L,4,7,None,12-29,6, 16.5,Zachary,Roberts,Shaw,2:35,N,"10,776",--,None
"Sunday, May 23",boxscore,SDP,@,STL,L,1,6,None,12-30,6, 17.5,Cleveland,Arlin,None,2:35,D,"9,475",---,None
"Monday, May 24",boxscore,SDP,@,STL,W,12,3,None,13-30,6, 17.0,Phoebus,Gibson,Miller,2:52,N,"8,609",+,None
"Tuesday, May 25",boxscore,SDP,None,HOU,L,2,3,None,13-31,6, 18.0,Billingham,Kirby,Gladding,2:13,N,"2,863",-,None
"Wednesday, May 26",boxscore,SDP,None,HOU,L,1,2,None,13-32,6, 19.5,Blasingame,Roberts,Culver,2:11,N,None,--,None
"Wednesday, May 26",boxscore,SDP,None,HOU,L,0,8,None,13-33,6, 19.5,Dierker,Santorini,None,2:02,N,"4,221",---,None
"Saturday, May 29",boxscore,SDP,None,NYM,L,1,5,None,13-34,6, 21.0,Seaver,Arlin,None,2:25,N,None,----,None
"Saturday, May 29",boxscore,SDP,None,NYM,L,1,2,None,13-35,6, 21.0,Ryan,Phoebus,None,2:35,N,"11,324",-----,1971-05-28 (Wet grounds)
"Sunday, May 30",boxscore,SDP,None,NYM,W,4,2,None,14-35,6, 21.5,Kirby,Sadecki,None,2:24,D,"7,121",+,None
"Monday, May 31",boxscore,SDP,None,PHI,L,1,3,None,14-36,6, 22.0,Bunning,Severinsen,Brandon,2:07,D,None,-,None
"Monday, May 31",boxscore,SDP,None,PHI,W,6,3,None,15-36,6, 22.0,Miller,Lersch,None,2:06,D,"7,458",+,None
"Wednesday, Jun 2",boxscore,SDP,None,PHI,W,6,0,None,16-36,6, 20.5,Arlin,Wise,None,2:19,N,"2,425",++,None
"Friday, Jun 4",boxscore,SDP,None,MON,L,1,3,None,16-37,6, 20.5,Stoneman,Phoebus,None,2:19,N,"6,447",-,None
"Saturday, Jun 5",boxscore,SDP,None,MON,L,1,2,None,16-38,6, 20.5,Renko,Kirby,Marshall,2:27,D,"2,748",--,None
"Sunday, Jun 6",boxscore,SDP,None,MON,W,8,0,None,17-38,6, 19.5,Roberts,Morton,None,2:13,D,None,+,None
"Sunday, Jun 6",boxscore,SDP,None,MON,W,8,4,None,18-38,6, 19.5,Kelley,Strohmayer,Severinsen,2:28,D,"8,781",++,None
"Tuesday, Jun 8",boxscore,SDP,@,NYM,L,4,6,None,18-39,6, 19.5,Gentry,Arlin,Frisella,2:34,N,"19,734",-,None
"Wednesday, Jun 9",boxscore,SDP,@,NYM,L,2,4,None,18-40,6, 19.5,Seaver,Severinsen,McGraw,2:28,N,"24,164",--,None
"Thursday, Jun 10",boxscore,SDP,@,NYM,W,4,2,None,19-40,6, 18.5,Kirby,Ryan,None,2:20,D,"23,153",+,None
"Friday, Jun 11",boxscore,SDP,@,PHI,W,2,1,None,20-40,6, 18.5,Roberts,Lersch,None,1:54,N,"19,260",++,None
"Saturday, Jun 12",boxscore,SDP,@,PHI,L,0,3,None,20-41,6, 19.5,Bunning,Arlin,Brandon,2:05,N,"17,039",-,None
"Sunday, Jun 13",boxscore,SDP,@,PHI,W,9,8,None,21-41,6, 18.5,Miller,Wilson,Kelley,3:05,D,"35,343",+,None
"Monday, Jun 14",boxscore,SDP,@,MON,W,2,1,None,22-41,6, 17.5,Kirby,Morton,Miller,2:39,N,"10,840",++,None
"Tuesday, Jun 15",boxscore,SDP,@,MON,W,3,1,None,23-41,6, 17.5,Severinsen,Marshall,Miller,2:47,N,"13,512",+++,None
"Wednesday, Jun 16",boxscore,SDP,@,MON,L,0,2,None,23-42,6, 17.5,Stoneman,Roberts,None,1:57,N,"23,623",-,None
"Friday, Jun 18",boxscore,SDP,@,SFG,L,3,7,None,23-43,6, 19.5,Marichal,Arlin,None,2:43,N,None,--,None
"Friday, Jun 18",boxscore,SDP,@,SFG,L-wo,9,10,None,23-44,6, 19.5,Johnson,Coombs,None,3:17,N,"14,513",---,1971-04-13 (Rain)
"Saturday, Jun 19",boxscore,SDP,@,SFG,L,4,7,None,23-45,6, 20.5,Johnson,Miller,None,2:56,D,"9,255",----,None
"Sunday, Jun 20",boxscore,SDP,@,SFG,L,2,6,None,23-46,6, 22.5,McMahon,Norman,Johnson,2:53,D,None,-----,None
"Sunday, Jun 20",boxscore,SDP,@,SFG,L,0,2,None,23-47,6, 22.5,Stone,Roberts,None,2:23,D,"21,891",------,None
"Tuesday, Jun 22",boxscore,SDP,None,HOU,L,2,4,None,23-48,6, 23.5,Forsch,Arlin,Gladding,2:42,N,"4,300",-------,None
"Wednesday, Jun 23",boxscore,SDP,None,HOU,W-wo,3,2,12,24-48,6, 23.0,Miller,Gladding,None,3:06,N,None,+,None
"Wednesday, Jun 23",boxscore,SDP,None,HOU,W-wo,4,3,None,25-48,6, 23.0,Miller,Culver,None,2:23,N,"5,936",++,None
"Friday, Jun 25",boxscore,SDP,@,LAD,W,5,4,None,26-48,6, 22.0,Roberts,Mikkelsen,Kelley,2:24,N,"40,388",+++,None
"Saturday, Jun 26",boxscore,SDP,@,LAD,L,2,4,None,26-49,6, 23.5,Osteen,Norman,Brewer,2:26,N,None,-,None
"Saturday, Jun 26",boxscore,SDP,@,LAD,L-wo,3,4,13,26-50,6, 23.5,Brewer,Coombs,None,3:45,N,"28,213",--,None
"Sunday, Jun 27",boxscore,SDP,@,LAD,L,2,7,None,26-51,6, 23.5,Sutton,Phoebus,None,2:09,D,"17,555",---,None
"Monday, Jun 28",boxscore,SDP,None,SFG,W,6,2,None,27-51,6, 22.5,Kirby,Marichal,None,2:22,N,"9,763",+,None
"Tuesday, Jun 29",boxscore,SDP,None,SFG,L,4,6,None,27-52,6, 23.5,Carrithers,Roberts,None,2:25,N,"9,595",-,None
"Wednesday, Jun 30",boxscore,SDP,None,SFG,W,2,1,None,28-52,6, 22.5,Arlin,Perry,None,2:31,N,"7,335",+,None
"Thursday, Jul 1",boxscore,SDP,None,LAD,L,1,2,None,28-53,6, 23.5,Sutton,Norman,None,2:15,N,"5,555",-,None
"Friday, Jul 2",boxscore,SDP,None,LAD,L,2,9,None,28-54,6, 23.5,Alexander,Kirby,None,2:47,N,"10,027",--,None
"Saturday, Jul 3",boxscore,SDP,None,LAD,L,0,1,None,28-55,6, 24.5,Downing,Roberts,None,1:40,N,"39,105",---,None
"Sunday, Jul 4",boxscore,SDP,None,STL,L,2,3,None,28-56,6, 24.5,Reuss,Arlin,Drabowsky,2:22,D,"5,095",----,None
"Monday, Jul 5",boxscore,SDP,None,STL,W-wo,3,2,None,29-56,6, 23.5,Miller,Cleveland,None,2:12,N,"4,588",+,None
"Wednesday, Jul 7",boxscore,SDP,None,STL,W,4,1,None,30-56,6, 22.0,Kirby,Gibson,None,1:34,N,"7,456",++,None
"Friday, Jul 9",boxscore,SDP,None,CHC,W,1,0,None,31-56,6, 22.0,Roberts,Hands,Miller,2:03,N,None,+++,None
"Friday, Jul 9",boxscore,SDP,None,CHC,W,7,2,None,32-56,6, 22.0,Arlin,Decker,None,2:21,N,"12,465",++++,1971-04-14 (Rain)
"Saturday, Jul 10",boxscore,SDP,None,CHC,L,1,3,None,32-57,6, 23.0,Jenkins,Norman,None,2:14,D,"3,423",-,None
"Sunday, Jul 11",boxscore,SDP,None,CHC,L,0,2,None,32-58,6, 22.5,Pappas,Phoebus,None,1:58,D,None,--,None
"Sunday, Jul 11",boxscore,SDP,None,CHC,W,7,5,None,33-58,6, 22.5,Kirby,Pizarro,Miller,2:45,D,"13,274",+,None
"Thursday, Jul 15",boxscore,SDP,@,PIT,L-wo,3,4,17,33-59,6, 22.5,Nelson,Coombs,None,4:12,N,"17,405",-,None
"Friday, Jul 16",boxscore,SDP,@,PIT,L,1,2,None,33-60,6, 23.5,Johnson,Arlin,None,2:05,N,"33,736",--,None
"Saturday, Jul 17",boxscore,SDP,@,PIT,L,2,9,None,33-61,6, 23.5,Ellis,Norman,None,2:39,D,"14,278",---,None
"Sunday, Jul 18",boxscore,SDP,@,CIN,L,0,3,6,33-62,6, 24.0,Grimsley,Phoebus,None,1:19,D,"25,144",----,None
"Monday, Jul 19",boxscore,SDP,@,CIN,W,4,3,None,34-62,6, 24.0,Miller,Cloninger,None,2:17,N,"12,648",+,None
"Tuesday, Jul 20",boxscore,SDP,@,ATL,L-wo,1,3,None,34-63,6, 24.0,Reed,Roberts,None,2:11,N,"5,127",-,None
"Wednesday, Jul 21",boxscore,SDP,@,ATL,L-wo,7,8,11,34-64,6, 25.5,Upshaw,Severinsen,None,2:55,N,None,--,None
"Wednesday, Jul 21",boxscore,SDP,@,ATL,L-wo,0,1,None,34-65,6, 25.5,Jarvis,Norman,None,1:48,N,"11,585",---,1971-04-23 (Cold)
"Thursday, Jul 22",boxscore,SDP,@,ATL,L,0,1,None,34-66,6, 26.5,Kelley,Phoebus,Priddy,2:01,N,"7,533",----,None
"Friday, Jul 23",boxscore,SDP,None,PIT,L,0,4,None,34-67,6, 26.5,Kison,Kirby,None,1:57,N,"10,133",-----,None
"Saturday, Jul 24",boxscore,SDP,None,PIT,L,3,4,None,34-68,6, 27.5,Blass,Roberts,Giusti,2:02,D,"3,114",------,None
"Sunday, Jul 25",boxscore,SDP,None,PIT,W,2,1,None,35-68,6, 26.5,Norman,Johnson,None,2:02,D,None,+,None
"Sunday, Jul 25",boxscore,SDP,None,PIT,W,2,0,None,36-68,6, 26.5,Arlin,Moose,None,1:53,D,"10,342",++,None
"Tuesday, Jul 27",boxscore,SDP,None,CIN,L,3,11,None,36-69,6, 26.5,McGlothlin,Phoebus,Granger,2:31,N,"5,753",-,None
"Wednesday, Jul 28",boxscore,SDP,None,CIN,W,4,2,None,37-69,6, 26.5,Kirby,Grimsley,None,2:01,N,"5,797",+,None
"Thursday, Jul 29",boxscore,SDP,None,CIN,W,5,1,None,38-69,6, 25.5,Roberts,Simpson,None,2:02,N,"5,862",++,None
"Friday, Jul 30",boxscore,SDP,None,ATL,L,1,3,10,38-70,6, 26.5,Priddy,Miller,Upshaw,2:48,N,"6,669",-,None
"Saturday, Jul 31",boxscore,SDP,None,ATL,L,2,3,None,38-71,6, 27.5,Kelley,Norman,Nash,2:11,N,"6,228",--,None
"Sunday, Aug 1",boxscore,SDP,None,ATL,W,2,0,None,39-71,6, 28.0,Kirby,Jarvis,None,2:06,D,"4,327",+,None
"Monday, Aug 2",boxscore,SDP,@,STL,L,1,3,None,39-72,6, 28.0,Carlton,Roberts,None,2:12,N,"13,591",-,None
"Tuesday, Aug 3",boxscore,SDP,@,STL,W,6,1,None,40-72,6, 27.0,Arlin,Reuss,None,2:21,N,"14,246",+,None
"Wednesday, Aug 4",boxscore,SDP,@,CHC,L,0,3,None,40-73,6, 27.0,Pappas,Norman,None,2:22,D,"31,653",-,None
"Thursday, Aug 5",boxscore,SDP,@,CHC,L,0,3,None,40-74,6, 27.0,Pizarro,Kirby,None,2:07,D,"25,233",--,None
"Friday, Aug 6",boxscore,SDP,@,HOU,W,4,3,None,41-74,6, 26.0,Roberts,Ray,Miller,2:13,N,"21,915",+,None
"Saturday, Aug 7",boxscore,SDP,@,HOU,L,3,5,None,41-75,6, 26.0,Wilson,Arlin,Culver,2:27,N,"23,334",-,None
"Sunday, Aug 8",boxscore,SDP,@,HOU,W,3,2,None,42-75,6, 25.5,Norman,Lemaster,Miller,2:15,D,"19,757",+,None
"Tuesday, Aug 10",boxscore,SDP,None,NYM,L,4,6,None,42-76,6, 26.5,McGraw,Kirby,None,2:32,N,"6,542",-,None
"Wednesday, Aug 11",boxscore,SDP,None,NYM,W-wo,1,0,12,43-76,6, 25.5,Roberts,Frisella,None,2:35,N,"10,828",+,None
"Thursday, Aug 12",boxscore,SDP,None,NYM,W,3,0,None,44-76,6, 25.0,Arlin,Ryan,None,2:07,N,"4,839",++,None
"Friday, Aug 13",boxscore,SDP,None,PHI,L,2,5,None,44-77,6, 26.0,Wise,Norman,None,2:14,N,"4,006",-,None
"Sunday, Aug 15",boxscore,SDP,None,PHI,W-wo,5,4,None,45-77,6, 26.0,Kelley,Wilson,None,2:38,D,None,+,None
"Sunday, Aug 15",boxscore,SDP,None,PHI,W,3,2,None,46-77,6, 26.0,Roberts,Lersch,None,1:45,D,"8,108",++,None
"Tuesday, Aug 17",boxscore,SDP,None,MON,L,0,11,None,46-78,6, 27.0,McAnally,Arlin,None,2:27,N,"4,248",-,None
"Wednesday, Aug 18",boxscore,SDP,None,MON,L,3,4,None,46-79,6, 28.0,Morton,Norman,Marshall,2:25,N,"4,848",--,None
"Friday, Aug 20",boxscore,SDP,@,NYM,W,3,2,None,47-79,6, 27.0,Kirby,Koosman,Severinsen,2:29,N,"28,863",+,None
"Saturday, Aug 21",boxscore,SDP,@,NYM,L-wo,1,2,None,47-80,6, 27.0,Seaver,Roberts,None,2:00,N,"26,584",-,None
"Sunday, Aug 22",boxscore,SDP,@,NYM,L,2,4,None,47-81,6, 27.0,Gentry,Arlin,McGraw,2:12,D,"24,834",--,None
"Monday, Aug 23",boxscore,SDP,@,PHI,L,1,3,None,47-82,6, 28.0,Wise,Norman,None,2:24,N,"10,655",---,None
"Tuesday, Aug 24",boxscore,SDP,@,PHI,W,2,0,None,48-82,6, 28.0,Acosta,Lersch,None,2:36,N,"10,688",+,None
"Wednesday, Aug 25",boxscore,SDP,@,PHI,W,7,0,None,49-82,6, 27.0,Kirby,Champion,None,2:18,N,"10,696",++,None
