"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, Apr 9","boxscore","SDP","None","HOU","W",2,0,"None","2-0",2,"Podres","Dierker","Sisk","1:57","N",4218,"++","None",1969,-0.5,2,2,0,2,1,0,1,4218
"Thursday, Apr 10","boxscore","SDP","None","HOU","W",2,0,"None","3-0",1,"Kelley","Griffin","McCool","2:22","N",4922,"+++","None",1969,0,2,4,0,4,2,0,1,9140
"Friday, Apr 11","boxscore","SDP","None","SFG","L",0,8,"None","3-1",2,"Sadecki","Kirby","None","2:34","N",15757,"-","None",1969,-1,-8,4,8,-4,2,1,0.666666666666667,24897
"Saturday, Apr 12","boxscore","SDP","None","SFG","L",1,5,"None","3-2",3,"Marichal","McBean","None","2:20","D",20356,"--","None",1969,-1,-4,5,13,-8,2,2,0.5,45253
"Sunday, Apr 13","boxscore","SDP","None","SFG","L",1,5,"None","3-3",3,"Perry","Selma","None","2:34","D",13635,"---","None",1969,-2.5,-4,6,18,-12,2,3,0.4,58888
"Tuesday, Apr 15","boxscore","SDP","@","LAD","L",0,14,"None","3-4",3,"Osteen","Podres","None","2:13","D",22200,"----","None",1969,-2.5,-14,6,32,-26,2,4,0.333333333333333,81088
"Wednesday, Apr 16","boxscore","SDP","@","LAD","L",1,9,"None","3-5",5,"Singer","Kelley","None","2:29","N",12180,"-----","None",1969,-3.5,-8,7,41,-34,2,5,0.285714285714286,93268
"Thursday, Apr 17","boxscore","SDP","@","SFG","L",4,5,"None","3-6",5,"Marichal","Kirby","Gibbon","2:45","D",30722,"------","None",1969,-4.5,-1,11,46,-35,2,6,0.25,123990
"Friday, Apr 18","boxscore","SDP","@","SFG","W",3,1,"None","4-6",5,"Santorini","Sadecki","Reberger","2:40","N",7262,"+","None",1969,-4,2,14,47,-33,3,6,0.333333333333333,131252
"Saturday, Apr 19","boxscore","SDP","@","SFG","L",3,5,"None","4-7",5,"Perry","Selma","None","2:23","D",8066,"-","None",1969,-5,-2,17,52,-35,3,7,0.3,139318
"Sunday, Apr 20","boxscore","SDP","@","SFG","L",2,3,"None","4-8",5,"Bolin","Sisk","Linzy","2:12","D",12871,"--","None",1969,-5,-1,19,55,-36,3,8,0.272727272727273,152189
"Monday, Apr 21","boxscore","SDP","None","ATL","L",2,5,"None","4-9",5,"Reed","Podres","Upshaw","2:21","N",7075,"---","None",1969,-6,-3,21,60,-39,3,9,0.25,159264
"Tuesday, Apr 22","boxscore","SDP","None","ATL","W",8,4,"None","5-9",5,"Selma","Raymond","None","2:54","N",6275,"+","None",1969,-5,4,29,64,-35,4,9,0.307692307692308,165539
"Wednesday, Apr 23","boxscore","SDP","@","HOU","L",0,4,"None","5-10",5,"Dierker","Kirby","None","2:36","N",6382,"-","None",1969,-5.5,-4,29,68,-39,4,10,0.285714285714286,171921
"Thursday, Apr 24","boxscore","SDP","@","HOU","W",4,1,"None","6-10",5,"Baldschun","Billingham","None","2:23","N",7786,"+","None",1969,-4.5,3,33,69,-36,5,10,0.333333333333333,179707
"Friday, Apr 25","boxscore","SDP","None","CIN","L",1,4,"None","6-11",5,"Maloney","Sisk","None","2:26","N",8709,"-","None",1969,-5.5,-3,34,73,-39,5,11,0.3125,188416
"Saturday, Apr 26","boxscore","SDP","None","CIN","W",5,2,"None","7-11",5,"Baldschun","Merritt","None","2:26","D",4351,"+","None",1969,-4.5,3,39,75,-36,6,11,0.352941176470588,192767
"Sunday, Apr 27","boxscore","SDP","None","CIN","W",5,2,"None","8-11",5,"Kirby","Culver","Reberger","2:24","D",NA,"++","None",1969,-4,3,44,77,-33,7,11,0.388888888888889,NA
"Sunday, Apr 27","boxscore","SDP","None","CIN","W-wo",10,9,"13","9-11",5,"Ross","Granger","None","3:55","D",14617,"+++","None",1969,-4,1,54,86,-32,8,11,0.421052631578947,NA
"Monday, Apr 28","boxscore","SDP","None","LAD","L",3,4,"None","9-12",5,"Osteen","Kelley","Brewer","2:18","N",13368,"-","None",1969,-5,-1,57,90,-33,8,12,0.4,NA
"Tuesday, Apr 29","boxscore","SDP","None","LAD","L",1,2,"None","9-13",5,"Moeller","Santorini","Brewer","2:16","N",13265,"--","None",1969,-6,-1,58,92,-34,8,13,0.380952380952381,NA
"Wednesday, Apr 30","boxscore","SDP","@","ATL","L",3,6,"None","9-14",5,"Niekro","Everitt","None","2:20","N",6885,"---","None",1969,-7,-3,61,98,-37,8,14,0.363636363636364,NA
"Thursday, May 1","boxscore","SDP","@","ATL","W",4,3,"None","10-14",5,"Baldschun","Upshaw","None","2:27","N",5854,"+","None",1969,-6,1,65,101,-36,9,14,0.391304347826087,NA
"Friday, May 2","boxscore","SDP","@","CIN","W",8,5,"None","11-14",4,"Podres","Culver","Reberger","2:40","N",7453,"++","None",1969,-5,3,73,106,-33,10,14,0.416666666666667,NA
"Saturday, May 3","boxscore","SDP","@","CIN","W",13,5,"None","12-14",4,"Niekro","Cloninger","Sisk","2:57","D",4952,"+++","None",1969,-5,8,86,111,-25,11,14,0.44,NA
"Sunday, May 4","boxscore","SDP","@","CIN","L",2,3,"None","12-15",5,"Fisher","Santorini","Carroll","2:06","D",NA,"-","None",1969,-6.5,-1,88,114,-26,11,15,0.423076923076923,NA
"Sunday, May 4","boxscore","SDP","@","CIN","L",0,12,"None","12-16",5,"Cloninger","Ross","None","2:05","D",13705,"--","None",1969,-6.5,-12,88,126,-38,11,16,0.407407407407407,NA
"Tuesday, May 6","boxscore","SDP","@","PIT","W",4,2,"None","13-16",4,"Kelley","Blass","Reberger","2:24","N",5793,"+","None",1969,-5.5,2,92,128,-36,12,16,0.428571428571429,NA
"Wednesday, May 7","boxscore","SDP","@","PIT","L",0,2,"None","13-17",5,"Veale","Kirby","Hartenstein","2:16","N",4189,"-","None",1969,-6.5,-2,92,130,-38,12,17,0.413793103448276,NA
"Friday, May 9","boxscore","SDP","@","STL","L",6,7,"None","13-18",5,"Torrez","Reberger","Hoerner","2:28","N",32353,"--","None",1969,-7,-1,98,137,-39,12,18,0.4,NA
"Saturday, May 10","boxscore","SDP","@","STL","W",5,3,"None","14-18",5,"Podres","Carlton","Reberger","2:41","N",21558,"+","None",1969,-7,2,103,140,-37,13,18,0.419354838709677,NA
"Sunday, May 11","boxscore","SDP","@","STL","W",4,2,"None","15-18",4,"Baldschun","Giusti","Sisk","2:21","D",13423,"++","None",1969,-7,2,107,142,-35,14,18,0.4375,NA
"Monday, May 12","boxscore","SDP","@","CHC","L",0,2,"None","15-19",5,"Jenkins","Ross","None","2:31","D",3887,"-","None",1969,-7.5,-2,107,144,-37,14,19,0.424242424242424,NA
"Tuesday, May 13","boxscore","SDP","@","CHC","L",0,19,"None","15-20",5,"Selma","Kelley","None","2:49","D",5080,"--","None",1969,-8.5,-19,107,163,-56,14,20,0.411764705882353,NA
"Wednesday, May 14","boxscore","SDP","@","CHC","L-wo",2,3,"None","15-21",5,"Nottebart","Podres","None","2:07","D",9622,"---","None",1969,-8.5,-1,109,166,-57,14,21,0.4,NA
"Friday, May 16","boxscore","SDP","None","STL","W-wo",2,1,"None","16-21",5,"McCool","Washburn","None","2:17","N",16314,"+","None",1969,-9,1,111,167,-56,15,21,0.416666666666667,NA
"Saturday, May 17","boxscore","SDP","None","STL","L",1,5,"None","16-22",5,"Carlton","Kirby","None","2:37","N",15110,"-","None",1969,-9.5,-4,112,172,-60,15,22,0.405405405405405,NA
"Sunday, May 18","boxscore","SDP","None","STL","L",5,6,"None","16-23",5,"Giusti","Ross","Waslewski","2:41","D",15230,"--","None",1969,-10.5,-1,117,178,-61,15,23,0.394736842105263,NA
"Tuesday, May 20","boxscore","SDP","None","PIT","L",3,6,"None","16-24",5,"Bunning","Niekro","Hartenstein","2:30","N",4947,"---","None",1969,-11,-3,120,184,-64,15,24,0.384615384615385,NA
"Wednesday, May 21","boxscore","SDP","None","PIT","L",1,11,"None","16-25",6,"Moose","Sisk","None","2:27","N",34334,"----","None",1969,-11,-10,121,195,-74,15,25,0.375,NA
"Thursday, May 22","boxscore","SDP","None","PIT","L",1,7,"None","16-26",6,"Blass","Kirby","None","2:17","N",4001,"-----","None",1969,-12,-6,122,202,-80,15,26,0.365853658536585,NA
"Friday, May 23","boxscore","SDP","None","CHC","L",0,6,"None","16-27",6,"Selma","Ross","None","2:23","N",7936,"------","None",1969,-12,-6,122,208,-86,15,27,0.357142857142857,NA
"Saturday, May 24","boxscore","SDP","None","CHC","L",5,7,"None","16-28",6,"Abernathy","Kelley","Regan","2:40","D",4432,"-------","None",1969,-12,-2,127,215,-88,15,28,0.348837209302326,NA
"Sunday, May 25","boxscore","SDP","None","CHC","W",10,2,"None","17-28",6,"Podres","Nye","None","2:21","D",NA,"+","None",1969,-12.5,8,137,217,-80,16,28,0.363636363636364,NA
"Sunday, May 25","boxscore","SDP","None","CHC","L",0,1,"None","17-29",6,"Abernathy","Niekro","None","2:06","D",13115,"-","None",1969,-12.5,-1,137,218,-81,16,29,0.355555555555556,NA
"Tuesday, May 27","boxscore","SDP","@","NYM","W",3,2,"None","18-29",6,"Santorini","McAndrew","None","2:40","N",11772,"+","None",1969,-13,1,140,220,-80,17,29,0.369565217391304,NA
"Wednesday, May 28","boxscore","SDP","@","NYM","L-wo",0,1,"11","18-30",6,"McGraw","McCool","None","3:01","N",11860,"-","None",1969,-13,-1,140,221,-81,17,30,0.361702127659574,NA
"Friday, May 30","boxscore","SDP","@","MON","W",3,2,"10","19-30",6,"Baldschun","McGinn","None","3:14","N",14320,"+","None",1969,-12,1,143,223,-80,18,30,0.375,NA
"Saturday, May 31","boxscore","SDP","@","MON","W",6,2,"None","20-30",6,"Niekro","Jaster","None","2:31","N",20667,"++","None",1969,-11,4,149,225,-76,19,30,0.387755102040816,NA
"Sunday, Jun 1","boxscore","SDP","@","MON","W",5,2,"None","21-30",6,"Podres","Robertson","Sisk","2:19","N",14005,"+++","None",1969,-10,3,154,227,-73,20,30,0.4,NA
"Monday, Jun 2","boxscore","SDP","@","PHI","W",6,4,"None","22-30",6,"Santorini","Johnson","Ross","2:38","N",3292,"++++","None",1969,-10,2,160,231,-71,21,30,0.411764705882353,NA
"Tuesday, Jun 3","boxscore","SDP","@","PHI","W",6,5,"None","23-30",6,"Kirby","Fryman","McCool","2:46","N",3646,"+++++","None",1969,-9,1,166,236,-70,22,30,0.423076923076923,NA
"Wednesday, Jun 4","boxscore","SDP","@","PHI","W",3,0,"None","24-30",6,"Kelley","Champion","McCool","2:17","N",3428,"++++++","None",1969,-8,3,169,236,-67,23,30,0.433962264150943,NA
"Friday, Jun 6","boxscore","SDP","None","NYM","L",3,5,"None","24-31",6,"Gentry","Ross","Taylor","2:34","N",11203,"-","None",1969,-9,-2,172,241,-69,23,31,0.425925925925926,NA
"Saturday, Jun 7","boxscore","SDP","None","NYM","L",1,4,"None","24-32",6,"Koosman","Podres","None","2:13","N",10827,"--","None",1969,-9,-3,173,245,-72,23,32,0.418181818181818,NA
"Sunday, Jun 8","boxscore","SDP","None","NYM","L",2,3,"None","24-33",6,"Seaver","Santorini","Taylor","2:15","D",8568,"---","None",1969,-10.5,-1,175,248,-73,23,33,0.410714285714286,NA
"Tuesday, Jun 10","boxscore","SDP","None","MON","L",4,7,"None","24-34",6,"Face","Baldschun","None","3:16","N",3194,"----","None",1969,-10.5,-3,179,255,-76,23,34,0.403508771929825,NA
"Wednesday, Jun 11","boxscore","SDP","None","MON","W-wo",6,5,"10","25-34",6,"McCool","Reed","None","3:04","N",3111,"+","None",1969,-10.5,1,185,260,-75,24,34,0.413793103448276,NA
