date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Tuesday, Apr 4",boxscore,SEA,@,HOU,L,1,2,None,0-2,4, 2.0,McCullers,Iwakuma,Giles,2:41,N,"21,406",--,None
"Wednesday, Apr 5",boxscore,SEA,@,HOU,L-wo,3,5,13,0-3,4, 3.0,Peacock,De Jong,None,4:25,N,"20,303",---,None
"Thursday, Apr 6",boxscore,SEA,@,HOU,W,4,2,None,1-3,4, 2.0,Altavilla,Giles,Diaz,2:57,N,"18,362",+,None
"Friday, Apr 7",boxscore,SEA,@,LAA,L,1,5,None,1-4,5, 2.0,Chavez,Gallardo,None,2:56,N,"43,911",-,None
"Saturday, Apr 8",boxscore,SEA,@,LAA,L,4,5,None,1-5,5, 3.0,Ramirez,Scribner,Bedrosian,3:05,N,"42,668",--,None
"Sunday, Apr 9",boxscore,SEA,@,LAA,L-wo,9,10,None,1-6,5, 4.0,Bailey,Diaz,None,3:27,D,"37,175",---,None
"Monday, Apr 10",boxscore,SEA,None,HOU,W,6,0,None,2-6,5, 3.5,Paxton,Morton,None,2:56,D,"44,856",+,None
"Tuesday, Apr 11",boxscore,SEA,None,HOU,L,5,7,None,2-7,5, 4.5,Musgrove,Miranda,None,3:29,N,"18,527",-,None
"Wednesday, Apr 12",boxscore,SEA,None,HOU,L,5,10,None,2-8,5, 4.5,Peacock,Altavilla,None,3:12,N,"14,479",--,None
"Friday, Apr 14",boxscore,SEA,None,TEX,W,2,1,None,3-8,5, 4.0,Hernandez,Leclerc,Diaz,3:05,N,"41,855",+,None
"Saturday, Apr 15",boxscore,SEA,None,TEX,W,5,0,None,4-8,5, 4.0,Paxton,Cashner,None,2:24,N,"34,927",++,None
"Sunday, Apr 16",boxscore,SEA,None,TEX,W-wo,8,7,None,5-8,4, 3.5,Diaz,Dyson,None,3:39,D,"19,678",+++,None
"Monday, Apr 17",boxscore,SEA,None,MIA,W,6,1,None,6-8,2, 3.5,Miranda,Koehler,None,2:31,N,"16,990",++++,None
"Tuesday, Apr 18",boxscore,SEA,None,MIA,L,0,5,None,6-9,4, 3.5,Chen,Gallardo,None,2:33,N,"16,126",-,None
"Wednesday, Apr 19",boxscore,SEA,None,MIA,W,10,5,None,7-9,3, 3.5,Hernandez,Volquez,None,3:32,D,"27,147",+,None
"Thursday, Apr 20",boxscore,SEA,@,OAK,L,6,9,None,7-10,3, 4.5,Dull,Scribner,None,3:09,N,"10,707",-,None
"Friday, Apr 21",boxscore,SEA,@,OAK,L,1,3,None,7-11,4, 5.5,Manaea,Iwakuma,Casilla,2:51,N,"15,255",--,None
"Saturday, Apr 22",boxscore,SEA,@,OAK,L,3,4,None,7-12,5, 5.5,Cotton,Miranda,Madson,3:07,D,"20,722",---,None
"Sunday, Apr 23",boxscore,SEA,@,OAK,W,11,1,None,8-12,4, 5.5,Gallardo,Triggs,None,3:11,D,"24,165",+,None
"Tuesday, Apr 25",boxscore,SEA,@,DET,L,9,19,None,8-13,5, 6.5,Zimmermann,Hernandez,None,3:43,N,"22,728",-,None
"Wednesday, Apr 26",boxscore,SEA,@,DET,W,8,0,None,9-13,5, 5.5,Paxton,Norris,None,3:18,N,"23,327",+,None
"Thursday, Apr 27",boxscore,SEA,@,DET,W,2,1,None,10-13,5, 4.5,Zych,Rodriguez,Diaz,3:22,D,"25,325",++,None
"Friday, Apr 28",boxscore,SEA,@,CLE,W,3,1,None,11-13,3, 4.5,Miranda,Carrasco,Diaz,2:36,N,"20,842",+++,None
"Saturday, Apr 29",boxscore,SEA,@,CLE,L,3,4,None,11-14,5, 4.5,Salazar,Gallardo,Allen,2:42,D,"21,221",-,None
"Sunday, Apr 30",boxscore,SEA,@,CLE,L,4,12,None,11-15,5, 5.5,Tomlin,De Jong,None,2:58,D,"21,824",--,None
"Tuesday, May 2",boxscore,SEA,None,LAA,L,4,6,11,11-16,4, 7.0,Guerra,Pazos,None,4:40,N,"15,080",---,None
"Wednesday, May 3",boxscore,SEA,None,LAA,W,8,7,None,12-16,3, 7.0,Machi,Parker,Diaz,3:19,N,"13,799",+,None
"Thursday, May 4",boxscore,SEA,None,LAA,W,11,3,None,13-16,3, 6.0,Miranda,Meyer,None,2:53,N,"15,915",++,None
"Friday, May 5",boxscore,SEA,None,TEX,L,1,3,13,13-17,3, 7.0,Bush,Pagan,Claudio,5:02,N,"26,938",-,None
"Saturday, May 6",boxscore,SEA,None,TEX,W,8,2,None,14-17,3, 6.0,Pazos,Perez,None,3:12,N,"36,044",+,None
"Sunday, May 7",boxscore,SEA,None,TEX,W,4,3,None,15-17,3, 6.0,Rzepczynski,Dyson,Diaz,3:09,D,"32,518",++,None
"Tuesday, May 9",boxscore,SEA,@,PHI,W,10,9,None,16-17,2, 6.0,Vincent,Neris,Diaz,3:48,N,"31,715",+++,None
"Wednesday, May 10",boxscore,SEA,@,PHI,W,11,6,None,17-17,2, 6.0,Zych,Benoit,None,3:40,D,"26,697",++++,None
"Thursday, May 11",boxscore,SEA,@,TOR,L,2,7,None,17-18,2, 7.0,Estrada,De Jong,None,2:45,N,"29,120",-,None
