"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Thursday, Apr 7","boxscore","SEA","None","CAL","L",0,2,"None","0-2",7,"Ryan","Romo","None","3:04","N",10144,"--","None",1977,-2,-2,0,2,-2,0,1,-1,0,10144
"Friday, Apr 8","boxscore","SEA","None","CAL","W-wo",7,6,"None","1-2",6,"Laxton","Verhoeven","None","2:51","N",11845,"+","None",1977,-1,1,7,8,-1,1,1,0,0.5,21989
"Saturday, Apr 9","boxscore","SEA","None","CAL","W",5,1,"None","2-2",4,"Wheelock","Simpson","Montague","2:25","N",27668,"++","None",1977,-1,4,12,9,3,2,1,1,0.666666666666667,49657
"Sunday, Apr 10","boxscore","SEA","None","CAL","L",5,12,"None","2-3",5,"Tanana","Abbott","None","2:48","N",10405,"-","None",1977,-2,-7,17,21,-4,2,2,0,0.5,60062
"Monday, Apr 11","boxscore","SEA","None","MIN","L",3,12,"None","2-4",7,"Zahn","Segui","None","2:41","N",8979,"--","None",1977,-3,-9,20,33,-13,2,3,-1,0.4,69041
"Tuesday, Apr 12","boxscore","SEA","None","MIN","L",2,3,"None","2-5",7,"Schueler","Laxton","Burgmeier","2:31","N",8589,"---","None",1977,-3.5,-1,22,36,-14,2,4,-2,0.333333333333333,77630
"Wednesday, Apr 13","boxscore","SEA","None","MIN","W-wo",3,2,"13","3-5",6,"Moore","Burgmeier","None","3:44","N",11635,"+","None",1977,-3,1,25,38,-13,3,4,-1,0.428571428571429,89265
"Thursday, Apr 14","boxscore","SEA","None","MIN","W",4,3,"None","4-5",5,"Wheelock","Redfern","Montague","2:18","D",9167,"++","None",1977,-3,1,29,41,-12,4,4,0,0.5,98432
"Friday, Apr 15","boxscore","SEA","@","CAL","L",0,7,"None","4-6",5,"Ryan","Abbott","None","2:11","N",34654,"-","None",1977,-4,-7,29,48,-19,4,5,-1,0.444444444444444,133086
"Saturday, Apr 16","boxscore","SEA","@","CAL","L",4,6,"None","4-7",7,"Hartzell","Montague","Kirkwood","2:51","N",19690,"--","None",1977,-4,-2,33,54,-21,4,6,-2,0.4,152776
