"team","var","min_val","max_val"
"SEA","date",Inf,-Inf
"SEA","boxscore",Inf,-Inf
"SEA","team",Inf,-Inf
"SEA","home_or_away",Inf,-Inf
"SEA","opponent",Inf,-Inf
"SEA","win_or_loss",Inf,-Inf
"SEA","runs",0,22
"SEA","runs_allowed",0,22
"SEA","innings",5,20
"SEA","win_loss_record",Inf,-Inf
"SEA","rank",1,7
"SEA","games_behind",0.5,41
"SEA","win",Inf,-Inf
"SEA","loss",Inf,-Inf
"SEA","save",Inf,-Inf
"SEA","time",Inf,-Inf
"SEA","day_or_night",Inf,-Inf
"SEA","attendance",653,61065
"SEA","streak",Inf,-Inf
"SEA","originally_scheduled",Inf,-Inf
"SEA","year",1977,2017
"SEA","games_ahead",-41,21
"SEA","run_diff",-17,17
"SEA","r_so_far",0,28831
"SEA","ra_so_far",2,30476
"SEA","rd_so_far",-1762,3
"SEA","wins_so_far",0,3046
"SEA","losses_so_far",1,3444
"SEA","record_so_far",0,0.666666666666667
"SEA","attendance_so_far",10144,240275
