date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Apr 7",boxscore,SFG,@,CIN,W,7,5,11,2-0,1, Tied,Sosa,Carroll,None,3:03,D,"10,464",++,None
"Sunday, Apr 8",boxscore,SFG,@,CIN,L,1,3,None,2-1,1, Tied,Grimsley,Bradley,Borbon,2:19,D,"20,026",-,None
"Monday, Apr 9",boxscore,SFG,None,SDP,W,2,1,None,3-1,1, Tied,Bryant,Caldwell,None,2:24,D,"18,560",+,None
"Tuesday, Apr 10",boxscore,SFG,None,SDP,W,11,2,None,4-1,1, Tied,Marichal,Corkins,Barr,2:20,N,"6,098",++,None
"Wednesday, Apr 11",boxscore,SFG,None,HOU,W-wo,5,4,None,5-1,1,up 1.0,Moffitt,Cosgrove,None,2:13,N,"4,133",+++,None
"Thursday, Apr 12",boxscore,SFG,None,HOU,W,9,3,None,6-1,1,up 1.5,Bradley,Forsch,None,2:11,D,"3,704",++++,None
"Friday, Apr 13",boxscore,SFG,None,CIN,W,5,4,None,7-1,1,up 2.5,Sosa,Hall,McDowell,2:33,N,"7,353",+++++,None
"Saturday, Apr 14",boxscore,SFG,None,CIN,L,0,3,None,7-2,1,up 1.5,Nelson,Barr,Carroll,2:06,D,"21,247",-,None
"Sunday, Apr 15",boxscore,SFG,None,CIN,L,0,11,None,7-3,2, 0.5,Gullett,Marichal,None,2:45,D,None,--,None
"Sunday, Apr 15",boxscore,SFG,None,CIN,L,3,7,None,7-4,2, 0.5,McGlothlin,Willoughby,Carroll,2:35,D,"27,651",---,None
"Tuesday, Apr 17",boxscore,SFG,None,ATL,W,15,2,None,8-4,2, 0.5,Bradley,Dobson,Barr,2:54,N,None,+,None
"Tuesday, Apr 17",boxscore,SFG,None,ATL,W,2,0,None,9-4,2, 0.5,Bryant,Reed,Moffitt,2:09,N,"10,829",++,None
"Wednesday, Apr 18",boxscore,SFG,None,ATL,W-wo,4,3,11,10-4,1,up 0.5,Barr,House,None,3:13,D,"6,964",+++,None
"Thursday, Apr 19",boxscore,SFG,@,LAD,W,8,6,None,11-4,1,up 1.0,Willoughby,Osteen,Moffitt,2:51,N,"25,858",++++,None
"Friday, Apr 20",boxscore,SFG,@,LAD,W,7,3,None,12-4,1,up 1.0,Marichal,Downing,None,2:25,N,"27,437",+++++,None
"Saturday, Apr 21",boxscore,SFG,@,LAD,L,0,1,None,12-5,1,up 1.0,Sutton,Bryant,None,2:03,N,"24,540",-,None
"Sunday, Apr 22",boxscore,SFG,@,LAD,W,4,2,None,13-5,1,up 1.0,Barr,Messersmith,Moffitt,2:10,D,"20,317",+,None
"Tuesday, Apr 24",boxscore,SFG,@,CHC,W,4,2,10,14-5,1,up 2.0,Moffitt,Locker,None,2:58,D,"14,832",++,None
"Wednesday, Apr 25",boxscore,SFG,@,CHC,W,5,0,None,15-5,1,up 2.0,Marichal,Jenkins,None,2:10,D,"13,299",+++,None
"Thursday, Apr 26",boxscore,SFG,@,CHC,W,7,3,None,16-5,1,up 2.5,Bryant,Hooton,None,2:26,D,"7,482",++++,None
"Friday, Apr 27",boxscore,SFG,@,STL,W,5,0,None,17-5,1,up 3.5,Barr,Gibson,None,1:42,N,"14,370",+++++,None
"Saturday, Apr 28",boxscore,SFG,@,STL,W,1,0,None,18-5,1,up 4.5,Willoughby,Cleveland,None,2:12,N,"11,896",++++++,None
"Sunday, Apr 29",boxscore,SFG,@,STL,L,3,8,None,18-6,1,up 3.5,Wise,Marichal,None,2:33,D,"9,415",-,None
"Tuesday, May 1",boxscore,SFG,None,PIT,W-wo,8,7,None,19-6,1,up 4.0,Sosa,Hernandez,None,2:45,N,"7,972",+,None
"Wednesday, May 2",boxscore,SFG,None,PIT,L,1,2,None,19-7,1,up 3.0,Walker,Barr,Giusti,2:10,D,"4,818",-,None
"Thursday, May 3",boxscore,SFG,None,PIT,L,5,14,None,19-8,1,up 2.0,Briles,Willoughby,None,2:40,D,"4,198",--,None
"Friday, May 4",boxscore,SFG,None,CHC,W,5,4,None,20-8,1,up 2.5,Sosa,Jenkins,Moffitt,2:25,N,"7,181",+,None
"Saturday, May 5",boxscore,SFG,None,CHC,L,4,7,None,20-9,1,up 1.5,Hooton,Bryant,Aker,2:58,D,"9,725",-,None
"Sunday, May 6",boxscore,SFG,None,CHC,&V,11,9,12,21-9,1,up 2.0,Carrithers,Aker,None,4:06,D,None,+,None
"Sunday, May 6",boxscore,SFG,None,CHC,W,4,3,None,22-9,1,up 2.0,Willoughby,Gura,McDowell,2:24,D,"19,499",++,None
"Tuesday, May 8",boxscore,SFG,None,STL,W,9,7,None,23-9,1,up 2.5,Barr,Gibson,Moffitt,2:24,N,"4,777",+++,None
"Wednesday, May 9",boxscore,SFG,None,STL,L,1,3,None,23-10,1,up 2.0,Cleveland,Bryant,Segui,2:19,D,"3,655",-,None
"Thursday, May 10",boxscore,SFG,None,STL,W,6,3,None,24-10,1,up 2.5,McDowell,Wise,Moffitt,2:37,D,"3,236",+,None
"Friday, May 11",boxscore,SFG,None,LAD,L,2,3,None,24-11,1,up 1.5,Downing,Marichal,Brewer,2:35,N,"21,234",-,None
"Saturday, May 12",boxscore,SFG,None,LAD,W-wo,5,4,None,25-11,1,up 1.5,Bryant,Culver,None,2:57,D,"14,758",+,None
"Sunday, May 13",boxscore,SFG,None,LAD,L,3,15,None,25-12,1,up 1.5,Messersmith,Barr,None,2:45,D,"31,626",-,None
"Monday, May 14",boxscore,SFG,@,SDP,L,1,7,None,25-13,1,up 1.5,Corkins,Bradley,None,2:30,N,"4,008",--,None
"Tuesday, May 15",boxscore,SFG,@,SDP,W,4,2,None,26-13,1,up 2.5,Bryant,Romo,Moffitt,2:43,N,"7,322",+,None
"Wednesday, May 16",boxscore,SFG,@,SDP,L,1,4,None,26-14,1,up 2.5,Caldwell,Marichal,None,2:21,N,"7,989",-,None
"Friday, May 18",boxscore,SFG,@,HOU,L,1,3,None,26-15,1,up 1.0,Roberts,Willoughby,None,2:05,N,"35,169",--,None
"Saturday, May 19",boxscore,SFG,@,HOU,L,1,2,None,26-16,1, Tied,Wilson,Barr,None,2:01,N,"32,928",---,None
"Sunday, May 20",boxscore,SFG,@,HOU,L-wo,7,8,None,26-17,2, 1.0,York,McDowell,None,2:50,D,"29,231",----,None
"Monday, May 21",boxscore,SFG,@,HOU,W,9,4,None,27-17,1, Tied,Bryant,Forsch,Moffitt,2:52,N,"24,186",+,None
"Tuesday, May 22",boxscore,SFG,@,ATL,W,7,3,None,28-17,1,up 1.0,Marichal,Dobson,None,2:27,N,"8,846",++,None
"Thursday, May 24",boxscore,SFG,@,ATL,L,1,2,None,28-18,1,up 0.5,Morton,McDowell,None,2:30,N,"4,520",-,None
"Friday, May 25",boxscore,SFG,None,MON,L,2,5,None,28-19,1, Tied,Marshall,Barr,None,2:31,N,"4,177",--,None
"Saturday, May 26",boxscore,SFG,None,MON,W,10,3,None,29-19,1,up 1.0,Bradley,Moore,Sosa,2:38,D,"5,038",+,None
"Sunday, May 27",boxscore,SFG,None,MON,W,6,3,None,30-19,1,up 1.0,Bryant,Renko,None,2:09,D,"9,613",++,None
"Monday, May 28",boxscore,SFG,None,NYM,W,6,5,None,31-19,1,up 1.5,Marichal,Moore,Sosa,2:26,D,"18,101",+++,None
"Tuesday, May 29",boxscore,SFG,None,NYM,L,2,5,None,31-20,1,up 0.5,Seaver,Moffitt,None,2:21,N,"7,289",-,None
"Wednesday, May 30",boxscore,SFG,None,NYM,W,3,2,None,32-20,1,up 0.5,Bradley,Matlack,McDowell,2:12,D,"5,296",+,None
"Friday, Jun 1",boxscore,SFG,None,PHI,W,2,1,None,33-20,1,up 0.5,Bryant,Twitchell,None,2:05,N,"5,359",++,None
"Saturday, Jun 2",boxscore,SFG,None,PHI,W,11,7,None,34-20,1,up 1.5,Williams,Lonborg,Sosa,2:31,D,"5,949",+++,None
"Sunday, Jun 3",boxscore,SFG,None,PHI,W-wo,5,4,None,35-20,1,up 2.5,Williams,Wilson,None,2:10,D,"15,483",++++,None
"Monday, Jun 4",boxscore,SFG,@,PIT,W,7,2,None,36-20,1,up 3.0,Bradley,Moose,None,2:27,N,"12,570",+++++,None
"Tuesday, Jun 5",boxscore,SFG,@,PIT,W,3,2,None,37-20,1,up 3.0,Bryant,Briles,Moffitt,2:33,N,"14,975",++++++,None
"Wednesday, Jun 6",boxscore,SFG,@,PIT,W,9,7,None,38-20,1,up 4.0,Williams,Rooker,Moffitt,3:16,N,"13,884",+++++++,None
"Friday, Jun 8",boxscore,SFG,@,MON,L,3,17,None,38-21,1,up 2.5,Renko,Barr,None,2:54,N,"15,137",-,None
"Saturday, Jun 9",boxscore,SFG,@,MON,L,6,9,None,38-22,1,up 2.5,Walker,Bradley,Marshall,2:50,N,"21,334",--,None
"Sunday, Jun 10",boxscore,SFG,@,MON,L,6,7,None,38-23,1,up 1.5,Marshall,Moffitt,None,3:08,D,"21,738",---,None
"Monday, Jun 11",boxscore,SFG,@,NYM,W,2,1,None,39-23,1,up 1.5,Bryant,Stone,Moffitt,2:45,N,"29,160",+,None
"Tuesday, Jun 12",boxscore,SFG,@,NYM,L,4,5,None,39-24,1,up 0.5,Parker,Marichal,Hennigan,2:51,N,"24,135",-,None
"Wednesday, Jun 13",boxscore,SFG,@,NYM,L,1,3,None,39-25,1,up 0.5,Seaver,Bradley,None,2:27,N,"25,776",--,None
"Friday, Jun 15",boxscore,SFG,@,PHI,W,4,3,10,40-25,1,up 1.5,Bryant,Wilson,Sosa,2:41,N,"23,585",+,None
