"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, Apr 16","boxscore","SFG","None","LAD","L",1,13,"None","1-1",4,"Podres","Monzant","None","3:03","N",22735,"-","None",1958,-0.5,-12,1,13,-12,0,1,0,22735
"Thursday, Apr 17","boxscore","SFG","None","LAD","W",7,4,"None","2-1",2,"Barclay","Newcombe","Grissom","2:50","D",12520,"+","None",1958,-0.5,3,8,17,-9,1,1,0.5,35255
"Friday, Apr 18","boxscore","SFG","@","LAD","L",5,6,"None","2-2",3,"Erskine","Worthington","Labine","3:00","D",78672,"-","None",1958,-1.5,-1,13,23,-10,1,2,0.333333333333333,113927
"Saturday, Apr 19","boxscore","SFG","@","LAD","W",11,4,"None","3-2",3,"Gomez","McDevitt","None","2:37","D",41303,"+","None",1958,-1.5,7,24,27,-3,2,2,0.5,155230
"Sunday, Apr 20","boxscore","SFG","@","LAD","W",12,2,"None","4-2",2,"Monzant","Drysdale","None","2:30","D",47234,"++","None",1958,-0.5,10,36,29,7,3,2,0.6,202464
"Tuesday, Apr 22","boxscore","SFG","None","STL","L",5,7,"None","4-3",3,"McDaniel","Antonelli","Muffett","3:00","N",22786,"-","None",1958,-0.5,-2,41,36,5,3,3,0.5,225250
"Wednesday, Apr 23","boxscore","SFG","None","STL","W-wo",8,7,"None","5-3",2,"Grissom","Clark","None","3:01","D",14715,"+","None",1958,-0.5,1,49,43,6,4,3,0.571428571428571,239965
"Thursday, Apr 24","boxscore","SFG","None","STL","W-wo",6,5,"None","6-3",2,"Crone","Muffett","None","3:20","D",13674,"++","None",1958,-0.5,1,55,48,7,5,3,0.625,253639
"Friday, Apr 25","boxscore","SFG","None","CHC","W",2,0,"None","7-3",1,"Monzant","Brosnan","None","2:05","N",16870,"+++","None",1958,0.5,2,57,48,9,6,3,0.666666666666667,270509
"Saturday, Apr 26","boxscore","SFG","None","CHC","W",3,1,"None","8-3",1,"Antonelli","Hobbie","None","2:06","D",19284,"++++","None",1958,0.5,2,60,49,11,7,3,0.7,289793
"Sunday, Apr 27","boxscore","SFG","None","CHC","L",4,5,"None","8-4",1,"Elston","Grissom","Rodriguez","2:36","D",22696,"-","None",1958,0.5,-1,64,54,10,7,4,0.636363636363636,312489
"Tuesday, Apr 29","boxscore","SFG","None","PHI","L",4,7,"None","8-5",2,"Simmons","Monzant","Farrell","2:49","D",6801,"--","None",1958,-0.5,-3,68,61,7,7,5,0.583333333333333,319290
"Wednesday, Apr 30","boxscore","SFG","None","PHI","W",10,1,"None","9-5",1,"Antonelli","Roberts","None","2:13","D",7886,"+","None",1958,0.5,9,78,62,16,8,5,0.615384615384615,327176
"Thursday, May 1","boxscore","SFG","None","PHI","L",0,7,"None","9-6",2,"Semproch","Gomez","None","2:10","D",6728,"-","None",1958,-0.5,-7,78,69,9,8,6,0.571428571428571,333904
"Friday, May 2","boxscore","SFG","None","PHI","W",4,2,"None","10-6",2,"McCormick","Sanford","Grissom","2:38","N",13486,"+","None",1958,-0.5,2,82,71,11,9,6,0.6,347390
"Saturday, May 3","boxscore","SFG","None","PHI","L",2,4,"None","10-7",2,"Simmons","Monzant","Farrell","2:28","D",13073,"-","None",1958,-0.5,-2,84,75,9,9,7,0.5625,360463
"Sunday, May 4","boxscore","SFG","None","PIT","L",2,6,"None","10-8",2,"Kline","Antonelli","Face","2:27","D",NA,"--","None",1958,-0.5,-4,86,81,5,9,8,0.529411764705882,NA
"Sunday, May 4","boxscore","SFG","None","PIT","W-wo",4,3,"10","11-8",2,"Worthington","Face","None","3:04","D",22721,"+","None",1958,-0.5,1,90,84,6,10,8,0.555555555555556,NA
"Monday, May 5","boxscore","SFG","None","PIT","L",10,11,"None","11-9",4,"Law","Gomez","Gross","3:01","D",5506,"-","None",1958,-1,-1,100,95,5,10,9,0.526315789473684,NA
"Tuesday, May 6","boxscore","SFG","None","PIT","W",7,0,"None","12-9",3,"McCormick","Daniels","None","2:14","N",10849,"+","None",1958,-1,7,107,95,12,11,9,0.55,NA
"Wednesday, May 7","boxscore","SFG","None","PIT","W",8,6,"None","13-9",3,"Worthington","Friend","Grissom","2:49","D",8052,"++","None",1958,-1,2,115,101,14,12,9,0.571428571428571,NA
"Friday, May 9","boxscore","SFG","None","LAD","W",11,3,"None","14-9",2,"Monzant","McDevitt","None","2:37","N",20653,"+++","None",1958,-0.5,8,126,104,22,13,9,0.590909090909091,NA
"Saturday, May 10","boxscore","SFG","None","LAD","W-wo",3,2,"None","15-9",2,"Grissom","Podres","None","1:57","D",20774,"++++","None",1958,-0.5,1,129,106,23,14,9,0.608695652173913,NA
"Monday, May 12","boxscore","SFG","@","LAD","W",12,3,"None","16-9",2,"Gomez","Drysdale","None","3:05","N",29770,"+++++","None",1958,-0.5,9,141,109,32,15,9,0.625,NA
"Tuesday, May 13","boxscore","SFG","@","LAD","W",16,9,"None","17-9",1,"Worthington","Kipp","Grissom","3:16","D",10507,"++++++","None",1958,0.5,7,157,118,39,16,9,0.64,NA
"Wednesday, May 14","boxscore","SFG","@","STL","L",2,3,"None","17-10",3,"Mizell","Antonelli","None","2:07","N",20442,"-","None",1958,-0.5,-1,159,121,38,16,10,0.615384615384615,NA
"Thursday, May 15","boxscore","SFG","@","STL","W",4,2,"None","18-10",1,"McCormick","McDaniel","Constable","2:08","D",8580,"+","None",1958,0,2,163,123,40,17,10,0.62962962962963,NA
"Friday, May 16","boxscore","SFG","@","CHC","L-wo",5,6,"None","18-11",2,"Elston","Crone","None","2:27","D",5676,"-","None",1958,-0.5,-1,168,129,39,17,11,0.607142857142857,NA
"Saturday, May 17","boxscore","SFG","@","CHC","W",9,4,"None","19-11",2,"Gomez","Hobbie","None","2:20","D",17419,"+","None",1958,-0.5,5,177,133,44,18,11,0.620689655172414,NA
"Sunday, May 18","boxscore","SFG","@","CHC","W",7,3,"None","20-11",1,"Antonelli","Drabowsky","None","2:48","D",NA,"++","None",1958,1,4,184,136,48,19,11,0.633333333333333,NA
"Sunday, May 18","boxscore","SFG","@","CHC","W",4,0,"None","21-11",1,"Miller","Brosnan","None","2:11","D",33224,"+++","None",1958,1,4,188,136,52,20,11,0.645161290322581,NA
"Tuesday, May 20","boxscore","SFG","@","CIN","W",4,2,"None","22-11",1,"McCormick","Haddix","None","2:14","N",8096,"++++","None",1958,1.5,2,192,138,54,21,11,0.65625,NA
"Wednesday, May 21","boxscore","SFG","@","CIN","W",5,4,"10","23-11",1,"Grissom","Jeffcoat","None","2:34","N",8669,"+++++","None",1958,2.5,1,197,142,55,22,11,0.666666666666667,NA
"Thursday, May 22","boxscore","SFG","@","MLN","L",3,9,"None","23-12",1,"Burdette","Gomez","None","2:28","N",15424,"-","None",1958,1.5,-6,200,151,49,22,12,0.647058823529412,NA
"Friday, May 23","boxscore","SFG","@","MLN","W",5,3,"None","24-12",1,"Antonelli","Spahn","None","1:51","N",24430,"+","None",1958,2.5,2,205,154,51,23,12,0.657142857142857,NA
"Saturday, May 24","boxscore","SFG","@","MLN","L",3,6,"None","24-13",1,"McMahon","Worthington","None","2:19","D",26948,"-","None",1958,1.5,-3,208,160,48,23,13,0.638888888888889,NA
"Sunday, May 25","boxscore","SFG","@","PIT","W",5,2,"None","25-13",1,"Gomez","Law","None","2:28","D",NA,"+","None",1958,2.5,3,213,162,51,24,13,0.648648648648649,NA
"Sunday, May 25","boxscore","SFG","@","PIT","W",6,1,"None","26-13",1,"Monzant","Raydon","None","2:13","D",35797,"++","None",1958,2.5,5,219,163,56,25,13,0.657894736842105,NA
"Tuesday, May 27","boxscore","SFG","@","PHI","L",1,5,"None","26-14",1,"Sanford","Miller","None","2:23","N",15718,"-","None",1958,1,-4,220,168,52,25,14,0.641025641025641,NA
"Wednesday, May 28","boxscore","SFG","@","PHI","W",7,6,"None","27-14",1,"Grissom","Farrell","None","3:08","N",10561,"+","None",1958,2,1,227,174,53,26,14,0.65,NA
