"team","var","min_val","max_val"
"SFG","date",Inf,-Inf
"SFG","boxscore",Inf,-Inf
"SFG","team",Inf,-Inf
"SFG","home_or_away",0,0
"SFG","opponent",Inf,-Inf
"SFG","win_or_loss",Inf,-Inf
"SFG","runs",0,23
"SFG","runs_allowed",0,20
"SFG","innings",0,23
"SFG","win_loss_record",Inf,-Inf
"SFG","rank",1,10
"SFG","games_behind",0.5,41
"SFG","win",0,0
"SFG","loss",0,0
"SFG","save",0,0
"SFG","time",Inf,-Inf
"SFG","day_or_night",Inf,-Inf
"SFG","attendance",0,78672
"SFG","streak",Inf,-Inf
"SFG","originally_scheduled",0,0
"SFG","year",1958,2017
"SFG","games_ahead",-41,15.5
"SFG","run_diff",-17,19
"SFG","r_so_far",1,41358
"SFG","ra_so_far",13,40083
"SFG","rd_so_far",-17,1417
"SFG","wins_so_far",0,4928
"SFG","losses_so_far",1,4605
"SFG","record_so_far",0,0.7
"SFG","attendance_so_far",22735,237233716
